,cash-on-hand,receivables-total,total-current-assets,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,7097.00000,15799.00000,22896.00000,46878.00000,85534.00000,135572.00000,158468.00000,33218.00000,5184.00000,116453.00000,121637.00000,154855.00000,3.00000,19531.00000,-2349.00000,3613.00000,158468.00000
2021-12-31,7248.00000,16222.00000,23470.00000,37994.00000,111664.00000,152440.00000,175910.00000,22954.00000,4996.00000,142019.00000,147015.00000,169969.00000,3.00000,17525.00000,259.00000,5941.00000,175910.00000
2020-12-31,6845.00000,7835.00000,14680.00000,42949.00000,105722.00000,151203.00000,165883.00000,19839.00000,4744.00000,135433.00000,140177.00000,160016.00000,3.00000,15292.00000,629.00000,5867.00000,165883.00000
2019-12-31,3827.00000,7210.00000,11037.00000,39521.00000,98572.00000,140791.00000,151828.00000,16515.00000,4725.00000,124859.00000,129584.00000,146099.00000,3.00000,14279.00000,262.00000,5729.00000,151828.00000
2018-12-31,3097.00000,6185.00000,9282.00000,37531.00000,87627.00000,127934.00000,137216.00000,13608.00000,4610.00000,113410.00000,118020.00000,131628.00000,3.00000,12909.00000,-291.00000,5588.00000,137216.00000
2017-12-31,2620.00000,5787.00000,8407.00000,38056.00000,98341.00000,139073.00000,147480.00000,12478.00000,5097.00000,123910.00000,129007.00000,141485.00000,3.00000,11326.00000,229.00000,5995.00000,147480.00000
2016-12-31,2486.00000,5310.00000,7796.00000,38088.00000,91289.00000,132025.00000,139821.00000,11963.00000,5236.00000,116330.00000,121566.00000,133529.00000,3.00000,10351.00000,200.00000,6292.00000,139821.00000
2015-12-31,2859.00000,5274.00000,8133.00000,40714.00000,93762.00000,137206.00000,145339.00000,10486.00000,10223.00000,116251.00000,126474.00000,136960.00000,3.00000,9662.00000,253.00000,8379.00000,145339.00000
2014-12-31,3028.00000,5027.00000,8055.00000,41730.00000,96417.00000,140755.00000,148810.00000,9387.00000,9929.00000,120189.00000,130118.00000,139505.00000,3.00000,8703.00000,662.00000,9305.00000,148810.00000
2013-12-31,3051.00000,4610.00000,7661.00000,40737.00000,93515.00000,136915.00000,144576.00000,8991.00000,8456.00000,117897.00000,126353.00000,135344.00000,3.00000,7626.00000,595.00000,9232.00000,144576.00000
2012-12-31,2950.00000,4315.00000,7265.00000,41247.00000,83818.00000,127464.00000,134729.00000,8351.00000,7384.00000,109282.00000,116666.00000,125017.00000,3.00000,6717.00000,1194.00000,9712.00000,134729.00000
2011-12-31,3251.00000,4440.00000,7691.00000,44742.00000,77434.00000,124616.00000,132307.00000,11419.00000,7571.00000,103623.00000,111194.00000,122613.00000,3.00000,6031.00000,751.00000,9694.00000,132307.00000
2010-12-31,3310.00000,4909.00000,8219.00000,42199.00000,76177.00000,122995.00000,131214.00000,10310.00000,7852.00000,101767.00000,109619.00000,119929.00000,3.00000,6748.00000,565.00000,11285.00000,131214.00000
2009-12-31,3278.00000,4484.00000,7762.00000,36974.00000,64700.00000,106008.00000,113770.00000,9500.00000,2249.00000,92149.00000,94398.00000,103898.00000,3.00000,5276.00000,265.00000,9872.00000,113770.00000
