,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,185.66700,184.36800,33.14900,79.54900,482.73300,2713.72700,2776.47200,722.37300,10102.31000,10585.04000,696.76400,12844.16000,248.06700,15164.59000,15861.36000,1.08000,-7482.06100,-590.51000,-5276.31500,10585.04000
2021-12-31,432.83900,101.95000,30.81300,48.84400,614.44600,2575.48700,2803.24700,575.64400,9187.25300,9801.69900,616.33100,12278.69000,191.47500,14468.77000,15085.10000,1.08900,-7203.53100,-762.30900,-5283.40400,9801.69900
2020-12-31,340.23100,74.08800,23.87500,34.79600,472.99000,2677.32600,3156.15000,477.99200,8685.02700,9158.01800,614.80100,11071.80000,186.24600,13367.60000,13982.40000,1.09800,-6604.02800,-807.58200,-4824.38200,9158.01800
2019-12-31,138.55200,132.12500,37.28100,26.31300,334.27100,2794.60200,3626.77300,432.07800,9425.67000,9759.94100,1048.29300,9812.33500,270.86800,12378.66000,13426.95000,1.11800,-5560.69500,-568.76500,-3667.00700,9759.94100
2018-12-31,175.90800,111.03500,63.12600,23.78500,373.85400,2786.35500,3331.46500,722.03300,6839.85400,7213.70700,1206.27900,8996.82500,387.42600,9384.25100,10590.53000,1.12400,-5136.36800,-511.90500,-3376.82300,7213.70700
2017-12-31,101.70700,90.67300,49.71600,17.43700,259.53300,2812.34600,3598.13100,650.19500,7060.67200,7320.20500,278.90500,9290.68600,349.72800,9640.41300,9919.31900,1.16400,-4388.28800,-379.46000,-2599.11400,7320.20500
2016-12-31,182.89500,78.34400,52.20500,11.12700,324.57100,2792.07600,3656.92400,587.37400,7036.37400,7360.94500,873.44700,8148.42600,334.99300,8483.41900,9356.86600,1.21000,-3637.46700,-370.18400,-1995.92100,7360.94500
2015-12-31,144.09800,83.32600,49.60200,16.93400,293.96000,2782.35300,3735.41300,501.25400,7019.02000,7312.98000,273.37100,8432.07000,313.68300,8745.75300,9019.12400,1.25700,-3168.06900,-502.04500,-1706.14400,7312.98000
2014-12-31,97.51100,104.26800,95.03100,30.07800,326.88800,2762.41700,4189.54000,467.04300,7514.23700,7841.12500,331.05000,7828.29900,342.57600,8170.87500,8501.92500,1.29100,-2542.38000,-182.48600,-660.80000,7841.12500
2013-12-31,174.86300,71.33900,69.58600,27.86400,343.65200,2578.44400,3387.19800,400.85200,6439.53600,6783.18800,747.67300,5394.72100,283.82800,5678.54900,6426.22200,1.28400,-2518.08500,-33.67900,356.96600,6783.18800
2012-12-31,266.27800,39.09900,59.83600,23.64400,388.85700,2671.31700,3134.13300,355.28000,6227.05400,6615.91100,863.68800,4880.75200,206.76900,5099.23200,5962.92000,1.26900,-2462.17600,2.79100,652.99100,6615.91100
2011-12-31,75.35500,22.10000,14.24600,17.65500,129.35600,1583.39300,1639.78400,211.80200,3477.04300,3606.39900,126.88100,3349.48500,129.28200,3490.83100,3617.71200,1.09700,-2281.13900,0.48500,-11.31300,3606.39900
2010-12-31,97.72600,18.78400,12.44200,17.77500,146.72700,1534.31800,1500.01200,174.00800,3253.44800,3400.17500,130.58400,2827.45000,112.00800,2952.48100,3083.06500,1.14800,-1929.67000,2.17500,317.11000,3400.17500
2009-12-31,196.95400,19.64400,9.84800,10.39200,236.83800,1496.93800,1435.59100,106.37700,3076.80800,3313.64600,158.72500,2460.40200,94.57000,2554.97200,2713.69700,1.17100,-1627.60200,-2.80300,599.94900,3313.64600
