,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4862.00000,11919.00000,6752.00000,600.00000,,24133.00000,30978.00000,,,36849.00000,60982.00000,17461.00000,10526.00000,2310.00000,18053.00000,35514.00000,7.00000,38247.00000,-1359.00000,25468.00000,60982.00000
2021-12-31,4122.00000,10378.00000,6265.00000,400.00000,,21165.00000,30847.00000,,,36723.00000,57888.00000,16851.00000,12606.00000,3404.00000,21220.00000,38071.00000,7.00000,28281.00000,-1008.00000,19817.00000,57888.00000
2020-12-31,3313.00000,6109.00000,6038.00000,384.00000,,15844.00000,30389.00000,,,35930.00000,51774.00000,9283.00000,13954.00000,3620.00000,22849.00000,32132.00000,7.00000,28953.00000,-1254.00000,19642.00000,51774.00000
2019-12-31,2583.00000,8988.00000,7013.00000,385.00000,,18969.00000,29264.00000,,,34895.00000,53864.00000,13160.00000,9178.00000,3887.00000,18168.00000,31328.00000,7.00000,31974.00000,-1351.00000,22536.00000,53864.00000
2018-12-31,2982.00000,7345.00000,6532.00000,816.00000,,17675.00000,28848.00000,,,32480.00000,50155.00000,10724.00000,8871.00000,2867.00000,16700.00000,27424.00000,7.00000,31044.00000,-1507.00000,22731.00000,50155.00000
2017-12-31,5850.00000,6922.00000,6384.00000,156.00000,,19312.00000,27480.00000,,,30846.00000,50158.00000,11071.00000,8750.00000,2729.00000,16187.00000,27258.00000,7.00000,29200.00000,-940.00000,22900.00000,50158.00000
2016-12-31,4816.00000,5901.00000,5709.00000,374.00000,,16800.00000,26472.00000,,,29373.00000,46173.00000,8328.00000,7886.00000,1744.00000,16991.00000,25319.00000,7.00000,26366.00000,-1410.00000,20854.00000,46173.00000
2015-12-31,4114.00000,4682.00000,5898.00000,204.00000,,14898.00000,26703.00000,,,29329.00000,44227.00000,6994.00000,7208.00000,1611.00000,15879.00000,22873.00000,7.00000,25188.00000,-933.00000,21354.00000,44227.00000
2014-12-31,3689.00000,5976.00000,6623.00000,164.00000,,16614.00000,26735.00000,,,28936.00000,45550.00000,9980.00000,5780.00000,1939.00000,14326.00000,24306.00000,7.00000,22046.00000,-367.00000,21244.00000,45550.00000
2013-12-31,4292.00000,8823.00000,5758.00000,138.00000,,19277.00000,25707.00000,,,27983.00000,47260.00000,13123.00000,6261.00000,1329.00000,14191.00000,27314.00000,7.00000,18970.00000,350.00000,19946.00000,47260.00000
2012-12-31,1723.00000,8336.00000,5973.00000,154.00000,,16460.00000,26300.00000,213.00000,,28017.00000,44477.00000,11929.00000,6463.00000,2130.00000,14453.00000,26382.00000,7.00000,17032.00000,108.00000,18095.00000,44477.00000
2011-12-31,1024.00000,8918.00000,5623.00000,124.00000,,15972.00000,25177.00000,227.00000,,26811.00000,42783.00000,12708.00000,6732.00000,1881.00000,13630.00000,26338.00000,7.00000,15309.00000,96.00000,16445.00000,42783.00000
2010-12-31,3334.00000,4926.00000,4947.00000,121.00000,,13518.00000,22669.00000,224.00000,,24103.00000,37621.00000,8784.00000,7515.00000,1767.00000,13812.00000,22596.00000,7.00000,13388.00000,388.00000,15025.00000,37621.00000
2009-12-31,825.00000,4666.00000,4578.00000,384.00000,289.00000,10922.00000,21615.00000,227.00000,1461.00000,24650.00000,35572.00000,7809.00000,7163.00000,1869.00000,13038.00000,20847.00000,7.00000,13178.00000,365.00000,14725.00000,35572.00000
