,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,367.00000,648.00000,,594.00000,,1609.00000,1171.00000,,992.00000,1324.00000,4237.00000,5846.00000,1665.00000,11453.00000,1604.00000,13057.00000,14722.00000,,-8507.00000,-369.00000,-8876.00000,5846.00000
2021-12-31,486.00000,596.00000,,450.00000,,1532.00000,1207.00000,,1016.00000,1487.00000,4434.00000,5966.00000,1415.00000,11178.00000,1746.00000,12924.00000,14339.00000,,-8048.00000,-325.00000,-8373.00000,5966.00000
2020-12-31,730.00000,534.00000,,425.00000,,1689.00000,1235.00000,,940.00000,1435.00000,4163.00000,5852.00000,1675.00000,10272.00000,1796.00000,12068.00000,13743.00000,,-7480.00000,-411.00000,-7891.00000,5852.00000
2019-12-31,605.00000,584.00000,,338.00000,,1527.00000,1170.00000,,774.00000,1313.00000,3704.00000,5231.00000,1541.00000,10131.00000,1575.00000,11706.00000,13247.00000,,-7628.00000,-388.00000,-8016.00000,5231.00000
2018-12-31,292.00000,561.00000,,354.00000,,1207.00000,1237.00000,,767.00000,724.00000,2923.00000,4130.00000,1301.00000,9751.00000,1004.00000,10755.00000,12056.00000,,-7592.00000,-334.00000,-7926.00000,4130.00000
2017-12-31,1522.00000,400.00000,,384.00000,201.00000,2507.00000,1594.00000,,726.00000,345.00000,2804.00000,5311.00000,1512.00000,9429.00000,704.00000,10133.00000,11645.00000,,-6063.00000,-271.00000,-6334.00000,5311.00000
2016-12-31,725.00000,370.00000,37.00000,236.00000,137.00000,1505.00000,2113.00000,,687.00000,376.00000,3948.00000,5453.00000,1306.00000,9059.00000,703.00000,9762.00000,11068.00000,,-5157.00000,-458.00000,-5615.00000,5453.00000
2015-12-31,313.00000,324.00000,40.00000,133.00000,103.00000,1687.00000,2347.00000,,735.00000,330.00000,6374.00000,8061.00000,3087.00000,3007.00000,745.00000,4005.00000,7092.00000,,1150.00000,-239.00000,969.00000,8061.00000
2014-12-31,578.00000,325.00000,301.00000,254.00000,95.00000,1553.00000,4498.00000,52.00000,1018.00000,560.00000,6781.00000,8334.00000,2409.00000,3077.00000,1235.00000,4321.00000,6730.00000,,1737.00000,-190.00000,1604.00000,8334.00000
2013-12-31,573.00000,319.00000,294.00000,286.00000,96.00000,1691.00000,4459.00000,53.00000,1527.00000,566.00000,7004.00000,8695.00000,2265.00000,2918.00000,1244.00000,4201.00000,6466.00000,0.00000,2102.00000,64.00000,2229.00000,8695.00000
2012-12-31,776.00000,301.00000,313.00000,272.00000,136.00000,1925.00000,4250.00000,72.00000,1724.00000,575.00000,7088.00000,9013.00000,2279.00000,2932.00000,1490.00000,4481.00000,6760.00000,0.00000,2286.00000,-132.00000,2253.00000,9013.00000
2011-12-31,1198.00000,286.00000,273.00000,338.00000,114.00000,2321.00000,4042.00000,167.00000,980.00000,775.00000,6513.00000,8834.00000,2450.00000,2997.00000,1471.00000,4468.00000,6918.00000,18.00000,2052.00000,-247.00000,1916.00000,8834.00000
2010-12-31,1426.00000,256.00000,189.00000,269.00000,112.00000,2313.00000,3830.00000,154.00000,1134.00000,519.00000,6003.00000,8316.00000,2448.00000,2915.00000,1284.00000,4199.00000,6647.00000,86.00000,1717.00000,-227.00000,1669.00000,8316.00000
2009-12-31,353.00000,239.00000,122.00000,314.00000,99.00000,1208.00000,3899.00000,144.00000,1102.00000,544.00000,5940.00000,7148.00000,1653.00000,3207.00000,1174.00000,4381.00000,6034.00000,253.00000,996.00000,-224.00000,1114.00000,7148.00000
