,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,92.86800,,92.86800,9997.97800,1854.88700,11852.86000,12167.46000,171.68000,7331.46200,357.00700,7688.46900,8089.18400,1.33900,-135.87200,48.79800,4078.27400,12167.46000
2021-12-31,71.12600,,71.12600,8834.64900,1340.75300,10175.40000,10474.48000,142.28500,5957.74700,355.11300,6312.85900,6688.50100,1.33900,-128.24500,-42.54600,3785.97600,10474.48000
2020-12-31,128.00900,,128.00900,7893.80200,1121.86500,9015.66700,9395.84800,130.01200,5746.30300,319.92400,6066.22700,6459.72400,1.31400,-354.90000,-99.09300,2936.12400,9395.84800
2019-12-31,70.73300,,70.73300,7696.86400,500.13700,8197.00100,8532.37700,111.38200,5046.48600,178.03200,5224.51800,5610.68300,1.29500,-301.04900,-28.96600,2921.69400,8532.37700
2018-12-31,72.69000,,72.69000,7491.83100,283.45700,7775.28800,7847.97800,101.46100,4811.51500,149.58000,4961.09500,5062.55600,1.27100,-262.90200,34.65000,2785.42200,7847.97800
2017-12-31,86.04400,,86.04400,7132.43100,242.47800,7374.90900,7460.95300,96.08700,4554.21700,86.84200,4641.05900,4737.14600,1.26000,-253.28400,33.29000,2723.80700,7460.95300
2016-12-31,57.74200,16.61100,74.35300,6770.44700,246.64600,7017.09300,7091.44600,101.38800,4306.22300,87.66900,4393.89200,4495.28000,1.25900,-339.25700,16.77000,2596.16600,7091.44600
2015-12-31,106.53700,2.20500,108.74200,5689.30900,273.35600,5962.66500,6071.40700,82.69300,3535.62100,80.48900,3616.11000,3698.80300,1.24100,-337.56600,-6.35200,2372.60400,6071.40700
2014-12-31,72.90800,11.77800,84.68600,4135.69600,161.60500,4297.30100,4381.98700,65.52100,2349.76400,54.71900,2404.48300,2470.00400,1.16300,-257.73800,-1.48400,1911.98300,4381.98700
2013-12-31,148.17400,7.54200,155.71600,3636.54400,184.88000,3821.42400,3977.14000,60.60100,1946.64700,37.99700,1984.64400,2045.24500,1.15700,-226.00200,10.15600,1931.89500,3977.14000
2012-12-31,47.76100,11.07800,58.83900,2991.72200,172.91600,3164.63800,3223.47700,52.29900,1577.59900,48.24800,1625.84700,1678.14600,1.10700,-235.06400,-14.27300,1545.33100,3223.47700
2011-12-31,52.25200,18.51700,70.76900,2263.79500,182.96000,2446.75500,2517.52400,46.35300,1363.65600,33.75400,1397.41000,1443.76300,0.94800,-264.08600,-7.93600,1073.76100,2517.52400
2010-12-31,77.24800,10.06100,87.30900,1972.40200,190.10900,2162.51100,2249.82000,35.24200,1246.91800,28.58900,1275.50700,1310.74900,0.87600,-262.50800,-5.78700,939.07100,2249.82000
2009-12-31,171.15800,5.11400,176.27200,2049.85900,181.42500,2231.28400,2407.55600,33.38600,1402.97700,24.97400,1427.95100,1461.33700,0.86700,-253.87500,-1.05600,946.21900,2407.55600
