,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,8897.00000,113643.00000,1003.00000,12208.00000,255.00000,4519.00000,17985.00000,131628.00000,96930.00000,20108.00000,20108.00000,117038.00000,6.00000,28453.00000,-339.00000,14590.00000,131628.00000
2021-12-31,11332.00000,98194.00000,983.00000,6904.00000,255.00000,3906.00000,12048.00000,110242.00000,78357.00000,18477.00000,18477.00000,96834.00000,6.00000,24766.00000,-94.00000,13408.00000,110242.00000
2020-12-31,13589.00000,95812.00000,1027.00000,12114.00000,350.00000,3586.00000,17077.00000,112889.00000,80764.00000,21241.00000,21241.00000,102005.00000,6.00000,19955.00000,45.00000,10884.00000,112889.00000
2019-12-31,6964.00000,99475.00000,1057.00000,10595.00000,410.00000,2459.00000,14521.00000,113996.00000,76436.00000,25701.00000,25701.00000,102137.00000,6.00000,21290.00000,-119.00000,11859.00000,113996.00000
2018-12-31,15145.00000,102616.00000,936.00000,3370.00000,416.00000,2215.00000,6937.00000,109553.00000,71195.00000,27228.00000,27228.00000,98423.00000,6.00000,18906.00000,-156.00000,11130.00000,109553.00000
2017-12-31,13387.00000,95014.00000,825.00000,1568.00000,418.00000,2262.00000,5073.00000,100087.00000,62869.00000,26326.00000,26326.00000,89195.00000,6.00000,16687.00000,-152.00000,10892.00000,100087.00000
2016-12-31,12009.00000,87096.00000,734.00000,1757.00000,421.00000,2300.00000,5212.00000,92308.00000,55542.00000,25443.00000,25443.00000,80985.00000,5.00000,15130.00000,-161.00000,11323.00000,92308.00000
2015-12-31,9671.00000,80187.00000,693.00000,3084.00000,423.00000,2412.00000,6612.00000,86799.00000,50874.00000,24650.00000,24650.00000,75524.00000,5.00000,13250.00000,-160.00000,11275.00000,86799.00000
2014-12-31,7390.00000,75613.00000,670.00000,3949.00000,433.00000,2461.00000,7513.00000,83126.00000,49448.00000,22544.00000,22544.00000,71992.00000,5.00000,11467.00000,-138.00000,11134.00000,83126.00000
2013-12-31,6736.00000,70859.00000,654.00000,4991.00000,469.00000,2367.00000,8481.00000,79340.00000,48057.00000,20474.00000,20474.00000,68531.00000,5.00000,9611.00000,-68.00000,10809.00000,79340.00000
2012-12-31,2874.00000,63684.00000,538.00000,6232.00000,475.00000,2562.00000,9807.00000,73491.00000,45952.00000,17666.00000,17666.00000,63618.00000,5.00000,7472.00000,-72.00000,9873.00000,73491.00000
2012-11-30,6270.00000,65562.00000,534.00000,6221.00000,476.00000,2490.00000,9721.00000,75283.00000,45776.00000,19729.00000,19729.00000,65505.00000,5.00000,7373.00000,-75.00000,9778.00000,75283.00000
2011-11-30,4136.00000,59601.00000,483.00000,6206.00000,443.00000,2384.00000,9516.00000,69117.00000,42588.00000,18287.00000,18287.00000,60875.00000,5.00000,5243.00000,-52.00000,8242.00000,69117.00000
2010-11-30,6462.49100,51994.79000,460.73200,5450.39500,444.39400,2434.66100,8790.18200,60784.97000,36622.39000,17705.73000,17705.73000,54328.12000,5.47100,3126.48800,-82.54800,6456.84600,60784.97000
2009-11-30,13664.03000,35531.21000,499.30300,6385.29700,451.05700,3154.11500,10489.77000,46020.99000,34348.58000,2428.10100,2428.10100,37585.44000,5.44800,3873.26200,-154.81800,8435.54700,46020.99000
