,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2545.30000,7339.00000,440.90000,10325.20000,637.40000,5868.70000,464.50000,8519.80100,18845.00000,9983.20000,2870.70000,572.60000,5155.80000,15139.00000,38.90000,3632.10000,-960.40000,3706.00000,18845.00000
2021-12-31,3270.00000,7524.90000,436.90000,11231.80000,675.80000,5756.20000,399.60000,8677.39900,19909.20000,10890.00000,2908.60000,600.70000,5430.00000,16320.00000,39.30000,3154.30000,-894.20000,3589.20000,19909.20000
2020-12-31,2509.00000,6467.10000,391.50000,9367.60000,690.30000,5879.10000,424.40000,8675.10100,18042.70000,9580.50000,2915.80000,655.20000,5518.30000,15098.80000,39.00000,2636.90000,-880.20000,2943.90000,18042.70000
2019-12-31,1192.20000,7143.30000,435.20000,8770.70000,778.10000,5908.70000,467.90000,8981.20000,17751.90000,9420.40000,2771.90000,714.70000,5505.90000,14926.30000,38.70000,2689.90000,-930.00000,2825.60000,17751.90000
2018-12-31,673.40000,7027.20000,482.30000,8182.90000,790.90000,5970.60000,428.90000,7437.39900,15620.30000,8123.90000,3660.20000,812.80000,5063.60000,13187.50000,38.30000,2400.10000,-941.10000,2432.80000,15620.30000
2017-12-31,790.90000,6332.40000,352.20000,7475.50000,650.40000,3961.10000,383.70000,5229.20000,12704.70000,7675.30000,1285.60000,768.80000,2783.10000,10458.40000,38.60000,2104.50000,-827.80000,2246.30000,12704.70000
2016-12-31,1097.60000,5907.80000,432.60000,7438.00000,622.00000,3674.40000,530.50000,5047.20000,12485.20000,7706.00000,1280.70000,708.30000,2722.50000,10428.50000,39.40000,1804.30000,-962.50000,2056.70000,12485.20000
2015-12-31,1509.70000,5955.40000,228.00000,7693.10000,567.20000,3608.50000,487.90000,4892.00000,12585.10000,7584.30000,1610.30000,672.60000,2999.00000,10583.30000,40.40000,1437.60000,-845.60000,2001.80000,12585.10000
2014-12-31,1667.20000,5800.80000,342.20000,7810.20000,548.20000,3669.20000,516.10000,4926.40000,12736.60000,7463.30000,1612.90000,723.90000,3122.10000,10585.40000,41.20000,1183.30000,-636.70000,2151.20000,12736.60000
2013-12-31,1642.10000,6101.80000,340.10000,8084.00000,540.00000,3629.00000,508.00000,4821.00000,12905.00000,8165.30000,1129.80000,595.70000,2488.90000,10654.20000,53.00000,864.50000,-411.20000,2250.80000,12905.00000
2012-12-31,2590.80000,5815.40000,332.10000,8738.30000,504.80000,3580.60000,509.70000,4755.60100,13493.90000,7701.70000,2060.80000,558.60000,3335.60000,11037.30000,48.80000,738.30000,-288.00000,2456.60000,13493.90000
2011-12-31,2315.60000,5672.60000,364.00000,8352.20000,459.80000,3444.30000,471.20000,4556.50000,12908.70000,8035.50000,1210.90000,481.30000,2375.90000,10411.40000,48.20000,405.10000,-225.70000,2497.30000,12908.70000
2010-12-31,2689.40000,5534.70000,229.40000,8453.50000,454.30000,3368.50000,460.30000,4617.30000,13070.80000,7740.90000,1583.30000,402.40000,2763.00000,10503.90000,47.50000,-63.70000,-119.00000,2566.90000,13070.80000
2009-12-31,2506.10000,4856.60000,275.00000,7637.70000,490.10000,3321.00000,416.00000,4625.40000,12263.10000,6905.60000,1638.00000,402.20000,2821.20000,9726.80000,47.10000,-324.80000,-176.60000,2536.30000,12263.10000
