,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-03-31,3532.00000,18583.00000,18702.00000,898.00000,4516.00000,46231.00000,2092.00000,,11510.00000,1917.00000,17067.00000,63298.00000,48466.00000,12300.00000,1540.00000,16624.00000,65090.00000,2.00000,9030.00000,-1534.00000,,-1792.00000,63298.00000
2021-03-31,6278.00000,19181.00000,19246.00000,665.00000,12.00000,45382.00000,2581.00000,,12371.00000,2581.00000,19633.00000,65015.00000,44103.00000,14473.00000,1715.00000,20737.00000,64840.00000,2.00000,8202.00000,-1480.00000,,175.00000,65015.00000
2020-03-31,4015.00000,19950.00000,16734.00000,617.00000,906.00000,42222.00000,2365.00000,,12516.00000,2258.00000,19025.00000,61247.00000,42624.00000,6335.00000,1662.00000,13314.00000,55938.00000,2.00000,13022.00000,-1703.00000,,5309.00000,61247.00000
2019-03-31,2981.00000,18246.00000,16709.00000,529.00000,,38465.00000,2548.00000,3513.00000,13047.00000,2099.00000,21207.00000,59672.00000,37626.00000,7265.00000,2103.00000,13759.00000,51385.00000,3.00000,12409.00000,-1849.00000,-2.00000,8287.00000,59672.00000
2018-03-31,2672.00000,17711.00000,16310.00000,443.00000,,37136.00000,2464.00000,3728.00000,15026.00000,2027.00000,23245.00000,60381.00000,36685.00000,6751.00000,2625.00000,13639.00000,50324.00000,3.00000,12986.00000,-1717.00000,-1.00000,10057.00000,60381.00000
2017-03-31,2783.00000,18215.00000,15278.00000,672.00000,,36948.00000,2292.00000,4063.00000,14251.00000,3415.00000,24021.00000,60969.00000,35612.00000,7305.00000,1774.00000,14084.00000,49696.00000,3.00000,13189.00000,-2141.00000,-2.00000,11273.00000,60969.00000
2016-03-31,4048.00000,17980.00000,15335.00000,1072.00000,,38435.00000,2278.00000,,12807.00000,3003.00000,18088.00000,56523.00000,35069.00000,6497.00000,1809.00000,12446.00000,47515.00000,3.00000,8360.00000,-1561.00000,-2.00000,9008.00000,56523.00000
2015-03-31,5341.00000,15914.00000,14296.00000,1119.00000,,36670.00000,2045.00000,,13258.00000,1897.00000,17200.00000,53870.00000,33497.00000,8180.00000,1863.00000,12288.00000,45785.00000,4.00000,12705.00000,-1713.00000,-7.00000,8085.00000,53870.00000
2014-03-31,4193.00000,13780.00000,12986.00000,1877.00000,,32836.00000,2196.00000,,14798.00000,1929.00000,18923.00000,51759.00000,29615.00000,8929.00000,2897.00000,11826.00000,41441.00000,4.00000,11453.00000,-3.00000,23.00000,10318.00000,51759.00000
2013-03-31,2456.00000,9975.00000,10335.00000,404.00000,,23170.00000,1321.00000,,8675.00000,1620.00000,11616.00000,34786.00000,21357.00000,4521.00000,1838.00000,6359.00000,27716.00000,4.00000,10402.00000,-65.00000,14.00000,7070.00000,34786.00000
2012-03-31,3149.00000,9977.00000,10073.00000,404.00000,,23603.00000,1043.00000,,6782.00000,1665.00000,9490.00000,33093.00000,21686.00000,3072.00000,1504.00000,4576.00000,26262.00000,4.00000,9451.00000,5.00000,4.00000,6831.00000,33093.00000
2011-03-31,3612.00000,9187.00000,9225.00000,333.00000,,22357.00000,991.00000,,5820.00000,1718.00000,8529.00000,30886.00000,18726.00000,3587.00000,1353.00000,4940.00000,23666.00000,4.00000,8250.00000,87.00000,10.00000,7220.00000,30886.00000
2010-03-31,3731.00000,8075.00000,9441.00000,257.00000,,21504.00000,851.00000,,4119.00000,1481.00000,6685.00000,28189.00000,17012.00000,2293.00000,1352.00000,3645.00000,20657.00000,4.00000,7236.00000,6.00000,-12.00000,7532.00000,28189.00000
2009-03-31,2109.00000,7774.00000,8527.00000,261.00000,,18671.00000,796.00000,,4189.00000,1390.00000,6596.00000,25267.00000,15606.00000,2290.00000,1178.00000,3468.00000,19074.00000,4.00000,6103.00000,-179.00000,-8.00000,6193.00000,25267.00000
