,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,235.66700,605.12900,92.94400,933.74000,3687.06800,,217.80200,3904.87000,4838.61000,529.79300,79.96300,265.42200,655.90000,1185.69300,11.02200,3397.30500,3652.91700,4838.61000
2021-12-31,716.99700,599.10200,67.68800,1383.78700,3215.68600,,222.07100,3437.75700,4821.54400,464.23400,99.94700,328.83800,677.50310,1141.73700,11.50100,3493.86100,3679.80700,4821.54400
2020-12-31,731.70400,454.22200,57.41300,1243.33900,2914.03100,,212.04000,3126.07100,4369.41000,373.13000,99.93100,349.85100,669.99200,1043.12200,11.70600,3088.13100,3326.28800,4369.41000
2019-12-31,403.57100,408.16500,55.09800,866.83400,2968.83500,,159.89900,3128.73400,3995.56800,366.08500,45.00000,241.80200,548.76600,914.85100,11.95300,2850.30200,3080.71700,3995.56800
2018-12-31,190.28200,468.26000,47.68700,706.22900,2754.94300,19.46300,64.64800,2839.05400,3545.28300,356.73200,45.00000,215.39900,508.06800,864.80000,8.12300,2530.18400,2680.48300,3545.28300
2017-12-31,127.46200,415.78100,41.41000,584.65300,2404.45900,19.46300,59.84900,2483.77100,3068.42400,351.04900,45.00000,205.56100,440.52100,791.57000,8.23800,2130.25700,2276.85400,3068.42400
2016-12-31,10.17100,334.48900,37.96200,382.62200,2241.40200,19.46300,52.76000,2313.62500,2696.24700,288.63600,104.97500,178.87900,556.45300,845.08900,8.24200,1707.45000,1851.15800,2696.24700
2015-12-31,11.47200,345.04800,25.21000,381.73000,2023.44800,19.46300,41.86300,2084.77400,2466.50400,285.40200,107.31700,154.09400,496.46500,781.86700,8.44100,1541.79500,1684.63700,2466.50400
2014-12-31,34.78700,347.90000,21.08500,403.77200,1743.24500,19.46300,40.38600,1803.09400,2206.86600,255.63800,120.00000,145.75200,457.16400,712.80200,8.60900,1351.05400,1494.06400,2206.86600
2013-12-31,30.17400,258.29400,21.26200,332.97900,1543.05900,19.46300,36.58800,1599.11000,1932.08900,232.12200,155.71400,123.05400,467.88500,700.00700,8.61600,1089.06500,1232.08200,1932.08900
2012-12-31,12.85700,220.36300,21.75400,275.02800,1379.30500,19.46300,38.71800,1437.48600,1712.51400,225.13900,201.42900,106.79100,461.40600,686.54500,8.61600,882.95200,1025.96900,1712.51400
2011-12-31,75.85000,217.92200,18.61400,331.85200,1126.95000,19.46300,34.80900,1181.22200,1513.07400,204.81000,229.83100,86.99800,451.74500,656.55500,8.61600,713.50000,856.51900,1513.07400
2010-12-31,5.45000,180.70000,17.76600,222.58200,964.21600,19.46300,33.62000,1017.29900,1239.88100,170.04600,234.08700,76.33100,401.18600,571.23200,5.59300,574.03000,668.64900,1239.88100
2009-12-31,4.17100,140.91800,12.84200,174.17500,939.49500,19.46300,26.14500,985.10300,1159.27800,148.12500,268.85600,68.57500,418.15300,566.27800,5.59300,498.37900,593.00000,1159.27800
