,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,400.73000,28.42600,1.60700,34.05600,2202.97500,2764.17200,402.44800,105.90600,62.01300,1138.34100,3902.51300,2377.03700,29.00000,75.24500,342.86900,2719.90600,0.62500,1196.96800,-3.70300,,1182.60700,3902.51300
2021-12-31,277.97800,25.90300,1.13100,23.72900,1846.57300,2252.03800,348.95300,109.91700,42.38500,963.10700,3215.14500,1990.41000,27.38000,72.98800,331.02100,2321.43100,0.62300,915.57900,,,893.71400,3215.14500
2020-12-31,151.71000,19.57700,1.15100,17.85400,1613.49400,1864.60500,285.21800,52.20800,34.52400,743.30690,2607.91200,1718.03000,29.11900,19.26300,234.23900,1952.26900,0.61800,719.61900,,,655.64300,2607.91200
2019-12-31,133.66700,13.31800,1.15800,13.56100,1662.77800,1871.10000,238.45800,51.88900,33.33600,615.81700,2486.91700,1753.52200,30.85800,19.55300,206.76700,1960.28900,0.61300,576.16600,,,526.62800,2486.91700
2018-12-31,45.71800,7.37600,0.79700,7.65800,967.78700,1064.62200,176.96200,51.88900,2.99400,457.30400,1521.92600,1028.68200,32.61400,,158.49100,1187.17300,0.60700,395.59000,,,334.75300,1521.92600
2017-12-31,46.07700,8.62300,0.97900,4.98200,1089.20100,1176.26500,147.70500,52.84700,1.45600,373.87300,1550.13800,1140.15200,34.41400,0.55400,128.73900,1268.89100,0.60100,258.52500,,,281.24700,1550.13800
2016-12-31,60.15800,2.03100,0.67500,4.47500,858.24400,925.58300,96.84800,53.76000,1.21500,153.03000,1078.61300,898.89400,28.71100,,63.19200,962.08600,0.58500,70.44800,,,116.52700,1078.61300
2015-12-31,50.71400,9.09700,1.09300,3.53100,696.70300,761.13800,58.85800,55.37300,1.28600,115.51700,876.65500,727.53400,24.85600,,50.80700,778.34100,0.57100,26.60800,,,98.31400,876.65500
2014-12-31,25.51500,3.72900,0.19500,1.95200,660.55700,691.94800,47.91900,56.98500,0.64500,105.54900,797.49700,678.77200,26.12300,,44.58700,723.35900,0.53800,5.66300,,,74.13800,797.49700
2013-12-31,13.73100,1.85500,0.57800,2.13300,455.77900,477.74800,38.67100,58.59800,0.46100,97.73000,575.47800,482.98300,72.42000,1.10700,87.41200,570.39500,0.45700,-29.34900,,,5.08300,575.47800
2012-12-31,13.80300,0.62200,0.71400,0.68600,324.26600,340.09100,25.13900,60.21000,0.41700,85.76600,425.85700,335.66400,26.39900,1.76700,35.52200,371.18600,,-8.87100,,63.54200,54.67100,425.85700
2011-12-31,,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
