,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,1436.30000,3170.60000,50198.00000,54804.90000,652.60000,,3633.60000,937.40000,8263.30000,63068.20000,55158.70000,2987.10000,924.20000,4684.20000,59842.90000,63.90000,20696.30000,-1993.70000,3225.30000,63068.20000
2021-06-30,2575.20000,2727.40000,35439.20000,40741.80000,684.50000,,3548.50000,825.80000,8030.70000,48772.50000,38094.80000,2985.00000,834.10000,5007.60000,43102.40000,63.90000,19451.10000,10.60000,5670.10000,48772.50000
2020-06-30,1908.50000,2441.30000,27214.30000,31564.10000,703.90000,,3525.20000,458.40000,7601.40000,39165.50000,30126.60000,1002.80000,837.00000,3286.70000,33413.30000,63.90000,18436.30000,-14.80000,5752.20000,39165.50000
2019-06-30,1959.70000,2439.30000,29943.30000,34342.30000,764.20000,,3394.50000,934.40000,7545.40000,41887.70000,32627.70000,2002.20000,798.70000,3860.10000,36487.80000,63.90000,17500.60000,-257.30000,5399.90000,41887.70000
2018-06-30,2170.00000,1984.20000,27669.10000,31823.30000,793.70000,,3129.90000,699.30000,7025.80000,38849.10000,30412.70000,2002.40000,728.00000,3700.50000,34113.20000,63.90000,16546.60000,-679.80000,4735.90000,38849.10000
2017-06-30,2780.40000,1703.60000,28174.70000,32658.70000,779.90000,,2361.20000,1352.20000,4521.30000,37180.00000,29815.90000,2002.40000,830.20000,3387.10000,33203.00000,63.90000,14728.20000,-379.20000,3977.00000,37180.00000
2016-06-30,3191.10000,1742.80000,34566.50000,39500.40000,685.00000,,2216.20000,1241.30000,4169.60000,43670.00000,35847.40000,2007.70000,701.10000,3341.00000,39188.40000,63.90000,14003.30000,-215.10000,4481.60000,43670.00000
2015-06-30,1665.90000,1546.90000,25596.40000,28809.20000,672.70000,28.90000,2296.70000,1270.80000,4301.30000,33110.50000,27113.70000,9.20000,644.30000,1188.30000,28302.00000,63.90000,13460.30000,-260.60000,4808.50000,33110.50000
2014-06-30,3616.20000,1498.80000,19947.80000,27493.00000,667.10000,54.10000,2374.50000,1315.70000,4566.80000,32059.80000,24167.60000,11.50000,619.40000,1222.00000,25389.60000,63.90000,13632.90000,178.20000,6670.20000,32059.80000
2013-06-30,1727.10000,1595.30000,22875.40000,26214.50000,728.60000,314.00000,3682.40000,1189.90000,6053.60000,32268.10000,24732.80000,14.70000,603.10000,1345.40000,26078.20000,63.90000,13020.30000,15.40000,6189.90000,32268.10000
2012-06-30,1578.50000,1391.70000,22177.40000,25272.60000,706.30000,86.90000,3750.30000,871.50000,5544.80000,30817.40000,23252.70000,16.80000,585.90000,1450.70000,24703.40000,63.90000,12438.30000,230.20000,6114.00000,30817.40000
2011-06-30,1425.70000,1364.80000,25793.00000,28583.50000,716.20000,98.00000,3789.30000,922.60000,5654.80000,34238.30000,26786.80000,34.20000,556.20000,1441.10000,28227.90000,63.90000,11803.90000,367.10000,6010.40000,34238.30000
2010-06-30,1671.20000,1127.70000,19517.80000,22316.70000,673.80000,104.30000,2925.70000,712.30000,4545.50000,26862.20000,20052.20000,39.80000,528.00000,1331.10000,21383.30000,63.90000,11252.00000,209.50000,5478.90000,26862.20000
2009-06-30,2296.10000,1050.70000,17350.20000,20705.50000,734.30000,92.40000,2954.20000,702.70000,4646.20000,25351.70000,18763.40000,42.70000,477.10000,1265.70000,20029.10000,63.90000,10716.60000,156.00000,5322.60000,25351.70000
