,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,313348.00000,1263338.00000,8350.00000,475067.00000,35653.00000,98608.00000,617678.00000,1881016.00000,1504186.00000,174870.00000,20085.00000,194955.00000,1699141.00000,9136.00000,187649.00000,-13381.00000,181875.00000,1881016.00000
2021-12-31,388718.00000,1295239.00000,8571.00000,522152.00000,33369.00000,88737.00000,652829.00000,1948068.00000,1587845.00000,160689.00000,9424.00000,170113.00000,1757958.00000,9136.00000,180322.00000,-1702.00000,190110.00000,1948068.00000
2020-12-31,405379.00000,1310884.00000,8895.00000,486120.00000,33829.00000,113183.00000,642027.00000,1952911.00000,1537740.00000,212950.00000,16509.00000,229459.00000,1767199.00000,9136.00000,162683.00000,194.00000,185712.00000,1952911.00000
2019-12-31,323123.00000,1300156.00000,9309.00000,485633.00000,39337.00000,93120.00000,627399.00000,1927555.00000,1502301.00000,228191.00000,9079.00000,237270.00000,1739571.00000,9136.00000,166697.00000,-1311.00000,187984.00000,1927555.00000
2018-12-31,323483.00000,1283985.00000,8920.00000,469848.00000,42510.00000,90620.00000,611898.00000,1895883.00000,1461274.00000,229044.00000,8499.00000,237543.00000,1698817.00000,9136.00000,158163.00000,-6336.00000,197066.00000,1895883.00000
2017-12-31,353596.00000,1320563.00000,8847.00000,478239.00000,41636.00000,102472.00000,631194.00000,1951757.00000,1509862.00000,225020.00000,8796.00000,233816.00000,1743678.00000,9136.00000,145263.00000,-2144.00000,208079.00000,1951757.00000
2016-12-31,361164.00000,1343738.00000,8333.00000,407947.00000,41058.00000,129039.00000,586377.00000,1930115.00000,1460049.00000,255077.00000,14492.00000,269569.00000,1729618.00000,9136.00000,133075.00000,-3137.00000,200497.00000,1930115.00000
2015-12-31,354056.00000,1278952.00000,8704.00000,347555.00000,39252.00000,113169.00000,508680.00000,1787632.00000,1380285.00000,199536.00000,13920.00000,213456.00000,1593741.00000,9136.00000,120866.00000,297.00000,193891.00000,1787632.00000
2014-12-31,356255.00000,1226745.00000,8743.00000,312925.00000,39685.00000,99057.00000,460410.00000,1687155.00000,1317950.00000,183943.00000,,183943.00000,1501893.00000,9136.00000,107040.00000,3518.00000,185262.00000,1687155.00000
2013-12-31,296525.00000,1121205.00000,9156.00000,264353.00000,42446.00000,86342.00000,402297.00000,1523502.00000,1199496.00000,152998.00000,,152998.00000,1352494.00000,9136.00000,92361.00000,1386.00000,171008.00000,1523502.00000
2012-12-31,216655.00000,1046428.00000,9428.00000,235199.00000,38335.00000,93578.00000,376540.00000,1422968.00000,1136678.00000,127379.00000,,127379.00000,1264057.00000,9136.00000,77679.00000,5650.00000,158911.00000,1422968.00000
2011-12-31,141621.00000,941575.00000,9531.00000,222613.00000,39126.00000,101022.00000,372292.00000,1313867.00000,1046826.00000,125354.00000,,125354.00000,1172180.00000,8931.00000,64385.00000,3207.00000,141687.00000,1313867.00000
2010-12-31,148095.00000,935393.00000,9644.00000,172654.00000,40656.00000,99781.00000,322735.00000,1258128.00000,973256.00000,156983.00000,,156983.00000,1130239.00000,8787.00000,51918.00000,4738.00000,127889.00000,1258128.00000
2009-12-31,111004.00000,914085.00000,10736.00000,172710.00000,41935.00000,104180.00000,329561.00000,1243646.00000,925426.00000,203861.00000,,203861.00000,1129287.00000,8743.00000,41563.00000,3009.00000,114359.00000,1243646.00000
