,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,984.00000,4281.00000,2059.00000,,1562.00000,8886.00000,58384.00000,3176.00000,63723.00000,72609.00000,7757.00000,19670.00000,7873.00000,34767.00000,42524.00000,220.00000,16499.00000,195.00000,30085.00000,72609.00000
2021-12-31,2764.00000,4208.00000,1846.00000,,1393.00000,10211.00000,59930.00000,2938.00000,64825.00000,75036.00000,8324.00000,29431.00000,7790.00000,46385.00000,54709.00000,217.00000,4480.00000,-208.00000,20327.00000,75036.00000
2020-12-31,2178.00000,2115.00000,1898.00000,,2628.00000,8819.00000,65889.00000,3250.00000,71245.00000,80064.00000,8223.00000,35745.00000,8006.00000,53268.00000,61491.00000,216.00000,2996.00000,-288.00000,18573.00000,80064.00000
2019-12-31,3517.00000,4233.00000,1581.00000,,5302.00000,14633.00000,82230.00000,6389.00000,92557.00000,107190.00000,12705.00000,38537.00000,9304.00000,60253.00000,72958.00000,209.00000,20180.00000,-221.00000,34232.00000,107190.00000
2018-12-31,3033.00000,4893.00000,1260.00000,,746.00000,9932.00000,31437.00000,1680.00000,33922.00000,43854.00000,7412.00000,10201.00000,3195.00000,15112.00000,22524.00000,179.00000,23750.00000,-172.00000,21330.00000,43854.00000
2017-12-31,1672.00000,4145.00000,1246.00000,,1207.00000,8270.00000,31174.00000,1515.00000,33756.00000,42026.00000,7400.00000,9328.00000,3140.00000,14054.00000,21454.00000,179.00000,21935.00000,-258.00000,20572.00000,42026.00000
2016-12-31,2233.00000,3989.00000,866.00000,,1340.00000,8428.00000,32337.00000,1401.00000,34681.00000,43109.00000,6362.00000,9819.00000,3336.00000,15250.00000,21612.00000,178.00000,22981.00000,-266.00000,21497.00000,43109.00000
2015-12-31,4394.00000,2970.00000,986.00000,,1052.00000,9402.00000,31639.00000,1434.00000,34007.00000,43409.00000,6842.00000,6855.00000,4039.00000,12217.00000,19059.00000,178.00000,25960.00000,-307.00000,24350.00000,43409.00000
2014-12-31,7808.00000,4206.00000,1052.00000,,807.00000,13873.00000,39730.00000,1565.00000,42386.00000,56259.00000,8244.00000,6838.00000,3203.00000,13056.00000,21300.00000,178.00000,36067.00000,-357.00000,34959.00000,56259.00000
2013-12-31,3393.00000,5674.00000,1200.00000,,1056.00000,11323.00000,55821.00000,1459.00000,58120.00000,69443.00000,8434.00000,6939.00000,3501.00000,17637.00000,26071.00000,178.00000,41831.00000,-303.00000,43372.00000,69443.00000
2012-12-31,1592.00000,4916.00000,1344.00000,,1640.00000,9492.00000,52064.00000,1894.00000,54718.00000,64210.00000,7290.00000,7023.00000,3810.00000,16872.00000,24162.00000,178.00000,37990.00000,-502.00000,40048.00000,64210.00000
2011-12-31,3781.00000,5395.00000,1069.00000,,1297.00000,11542.00000,45684.00000,2072.00000,48502.00000,60044.00000,7947.00000,5871.00000,3760.00000,14477.00000,22424.00000,177.00000,35142.00000,-483.00000,37620.00000,60044.00000
2010-12-31,2578.00000,5032.00000,1041.00000,647.00000,900.00000,13059.00000,36536.00000,2039.00000,39373.00000,52432.00000,7825.00000,5111.00000,3452.00000,12123.00000,19948.00000,177.00000,29868.00000,-524.00000,32484.00000,52432.00000
2009-12-31,1224.00000,4092.00000,998.00000,426.00000,1075.00000,10607.00000,31137.00000,1732.00000,33622.00000,44229.00000,6491.00000,2557.00000,3086.00000,8579.00000,15070.00000,177.00000,26534.00000,-596.00000,29159.00000,44229.00000
