,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-11-30,6096.00000,2065.00000,835.00000,8996.00000,1908.00000,,14236.00000,841.00000,18169.00000,27165.00000,8128.00000,3629.00000,823.00000,4986.00000,13114.00000,0.00000,28319.00000,-293.00000,14051.00000,27165.00000
2021-11-30,5798.00000,1878.00000,993.00000,8669.00000,1673.00000,,14488.00000,883.00000,18572.00000,27241.00000,6932.00000,4123.00000,791.00000,5512.00000,12444.00000,0.00000,23905.00000,-137.00000,14797.00000,27241.00000
2020-11-30,5992.00000,1398.00000,756.00000,8146.00000,1517.00000,,12101.00000,663.00000,16138.00000,24284.00000,5512.00000,4117.00000,752.00000,5508.00000,11020.00000,0.00000,19611.00000,-158.00000,13264.00000,24284.00000
2019-11-30,4177.00000,1535.00000,783.00000,6495.00000,1293.00000,,12412.00000,562.00000,14267.00000,20762.00000,8191.00000,989.00000,789.00000,2041.00000,10232.00000,0.00000,14829.00000,-188.00000,10530.00000,20762.00000
2018-11-30,3228.96200,1315.57800,312.49900,4857.03900,1075.07200,,12650.05000,186.52200,13911.64000,18768.68000,4301.12600,4124.80000,796.31000,5105.44200,9406.56800,0.06100,11815.60000,-148.13000,9362.11400,18768.68000
2017-11-30,5819.77400,1217.96800,210.07100,7247.81300,936.97600,,6207.21900,143.54800,7287.74300,14535.56000,3527.45700,1881.42100,298.27600,2548.23000,6075.68700,0.06100,9573.87000,-111.82100,8459.86900,14535.56000
2016-11-30,4761.30000,833.03300,245.44100,5839.77400,816.26400,80.43900,5820.87900,139.89000,6857.47200,12697.25000,2811.63500,1892.20000,281.78500,2460.77600,5272.41100,0.06100,8114.51700,-173.60200,7424.83500,12697.25000
2015-11-30,3988.08400,672.00600,161.80200,4821.89200,787.42100,80.43900,5876.88800,159.83200,6904.58000,11726.47000,2213.55600,1907.23100,344.80200,2511.33600,4724.89200,0.06100,7253.43100,-169.08000,7001.58000,11726.47000
2014-11-30,3739.49100,591.80000,175.75800,4602.32800,785.12300,80.43900,5191.62400,126.31500,6183.50100,10785.83000,2494.43500,911.08600,204.68700,1515.48900,4009.92400,0.06100,6924.29400,-8.09400,6775.90500,10785.83000
2013-11-30,3173.75200,599.82000,170.11000,4045.92900,659.77400,207.23900,5377.23500,90.12100,6334.36900,10380.30000,1525.64800,1499.29700,201.81700,2130.01600,3655.66400,0.06100,6928.96400,46.10300,6724.63400,10380.30000
2012-11-30,3538.35300,617.23300,116.23700,4397.06600,664.30200,207.23900,4678.29500,93.32700,5643.16300,10040.23000,1271.75200,1496.93800,217.44300,2103.29500,3375.04700,0.06100,7003.00300,30.71200,6665.18200,10040.23000
2011-11-30,2911.69200,634.37300,133.42300,3771.45100,527.82800,207.23900,4394.74300,89.92200,5219.73200,8991.18300,1250.77900,1505.09600,215.29000,1957.29100,3208.07000,0.06100,6528.73500,29.95000,5783.11300,8991.18300
2010-11-30,2468.01500,554.32800,110.46000,3216.05000,448.88100,207.23900,4170.62800,98.35000,4925.09800,8141.14800,1068.08800,1513.66200,214.98400,1880.67300,2948.76100,0.06100,5980.91400,17.42800,5192.38700,8141.14800
2009-11-30,1904.47300,410.87900,80.85500,2473.62400,388.13200,207.23900,4021.97700,191.26500,4808.61300,7282.23700,844.55300,1000.00000,257.91300,1547.11600,2391.66900,0.06100,5299.91400,24.44600,4890.56800,7282.23700
