,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2023-01-31,6121.39400,1570.08600,225.69000,8108.22400,1201.25400,3145.50900,360.98500,5378.01400,13486.24000,4628.16600,2975.93400,40.23100,3272.50400,7900.67000,0.25900,-3111.33400,53.05100,5585.56800,13486.24000
2022-01-31,3644.16100,1242.54500,174.40200,5214.06500,1123.07500,3231.04600,341.25200,5284.44000,10498.50000,5067.85500,617.35400,24.22500,895.56800,5963.42300,0.25100,-2744.58500,7.70900,4535.08200,10498.50000
2021-01-31,3535.65300,1032.48400,111.16000,4802.06100,972.40300,2068.25100,189.75700,3916.35000,8718.41100,4282.64800,691.91300,35.85400,1157.92900,5440.57700,0.24200,-2909.99000,-54.97000,3277.83400,8718.41100
2020-01-31,1944.57300,877.57800,172.01200,3094.62200,936.17900,2127.66200,144.60500,3721.74300,6816.36500,2969.40400,1017.96700,14.99300,1360.41000,4329.81400,0.23100,-2627.35900,23.49200,2486.55100,6816.36500
2019-01-31,1778.41800,704.68000,136.68900,2700.59600,796.90700,1692.36500,147.36000,2820.15000,5520.74600,2430.69100,972.26400,47.69700,1131.61300,3562.30400,0.22100,-2146.30400,-0.80900,1958.44200,5520.74600
2018-01-31,3267.85000,528.20800,97.86000,3956.97800,546.60900,193.61000,109.71800,990.44600,4947.42400,2058.87400,1149.84500,47.43400,1308.18500,3367.05900,0.21100,-1727.85600,-46.41300,1580.36500,4947.42400
2017-01-31,1996.74500,409.78000,66.59000,2524.44500,365.87700,207.14100,53.57000,743.83700,3268.28200,1285.24300,534.42300,36.67700,706.43100,1991.67400,0.20200,-1406.86500,2.07100,1276.60800,3268.28200
2016-01-31,1969.45900,293.40700,77.62500,2362.30800,214.15800,65.81600,57.73800,367.78600,2730.09400,922.67900,507.47600,32.79400,671.25800,1593.93700,0.19300,-1112.28900,0.79900,1136.15700,2730.09400
2015-01-31,1857.70900,188.35700,41.85000,2108.38700,140.13600,34.77900,45.79000,241.70300,2350.09000,641.26500,481.95800,15.29900,582.85000,1224.11500,0.18600,-822.37100,-0.14000,1125.97500,2350.09000
2014-01-31,1886.57900,92.18400,28.44900,2023.65800,77.66400,8.48800,45.65800,152.60700,2176.26500,421.89000,472.00100,14.27400,567.15800,989.04800,0.18100,-574.38900,0.26900,1187.21700,2176.26500
2013-01-31,790.33910,67.43700,16.71000,884.30200,44.58500,8.48800,3.13000,74.77800,959.08000,254.77400,12.97200,13.13100,112.02300,366.79700,0.16200,-401.88000,0.06800,592.28300,959.08000
2012-01-31,111.16300,54.46700,8.09200,183.17200,25.86100,8.57800,1.87100,49.46600,232.63800,145.23800,8.64100,10.05100,92.05500,237.29300,0.03300,-282.12200,0.00300,-4.65500,232.63800
2011-01-31,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000
2010-12-31,35.38500,21.36400,3.95200,67.27500,12.89600,8.67600,0.27600,33.33000,100.60500,71.34000,2.49500,6.99100,51.34900,122.68900,0.02600,-196.70100,0.00300,-22.08400,100.60500
2010-01-31,,21.36400,,21.36400,,0.00000,,,21.36400,,,,,,,,,75.62300,75.62300
2009-12-31,,,,,,,,,0.00000,,,,,,,,,,
2009-01-31,,,,,,,,,0.00000,,,,,,,,,,
