,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1601.00000,5093.00000,1934.00000,4862.00000,13490.00000,111059.00000,6582.00000,4854.00000,15126.00000,145445.00000,158935.00000,26695.00000,55256.00000,18476.00000,83914.00000,110609.00000,20.00000,26707.00000,-218.00000,48326.00000,158935.00000
2021-12-31,639.00000,4108.00000,1561.00000,2980.00000,9288.00000,99348.00000,6159.00000,4844.00000,14452.00000,131624.00000,140912.00000,17437.00000,50960.00000,18536.00000,78051.00000,95488.00000,20.00000,25911.00000,,45424.00000,140912.00000
2020-12-31,1105.00000,2974.00000,1552.00000,1751.00000,7382.00000,91803.00000,5728.00000,4254.00000,13098.00000,120302.00000,127684.00000,15558.00000,41944.00000,17233.00000,67197.00000,82755.00000,20.00000,25363.00000,-92.00000,44929.00000,127684.00000
2019-12-31,600.00000,2807.00000,1328.00000,2673.00000,7408.00000,82010.00000,7453.00000,4204.00000,11892.00000,110283.00000,117691.00000,13853.00000,37543.00000,16087.00000,62478.00000,76331.00000,20.00000,25199.00000,-169.00000,41360.00000,117691.00000
2018-12-31,638.00000,2969.00000,1223.00000,1563.00000,6393.00000,70334.00000,6748.00000,891.00000,14762.00000,97309.00000,103702.00000,17563.00000,26782.00000,14109.00000,48726.00000,66289.00000,5.00000,23837.00000,-188.00000,37413.00000,103702.00000
2017-12-31,1714.00000,2737.00000,1273.00000,1457.00000,7181.00000,72289.00000,2321.00000,,12276.00000,90782.00000,97963.00000,11243.00000,31410.00000,20015.00000,57189.00000,68432.00000,5.00000,19020.00000,111.00000,29531.00000,97963.00000
2016-12-31,1292.00000,2439.00000,1289.00000,2389.00000,7409.00000,66912.00000,2482.00000,,10119.00000,82584.00000,89993.00000,10919.00000,27818.00000,14824.00000,53743.00000,64662.00000,5.00000,15458.00000,-70.00000,25331.00000,89993.00000
2015-12-31,571.00000,2265.00000,1259.00000,2700.00000,6795.00000,61386.00000,1786.00000,,8377.00000,75684.00000,82479.00000,10107.00000,26681.00000,12752.00000,49260.00000,59367.00000,5.00000,14140.00000,-167.00000,23112.00000,82479.00000
2014-12-31,577.00000,2159.00000,1292.00000,2177.00000,6944.00000,55705.00000,1399.00000,,7353.00000,67661.00000,74605.00000,9663.00000,24044.00000,11469.00000,44774.00000,54437.00000,4.00000,12773.00000,-40.00000,20168.00000,74605.00000
2013-12-31,438.00000,2289.00000,1153.00000,1209.00000,5842.00000,52720.00000,1121.00000,,7369.00000,63464.00000,69306.00000,9189.00000,23969.00000,9964.00000,42077.00000,51266.00000,4.00000,11569.00000,56.00000,18040.00000,69306.00000
2012-12-31,329.00000,2056.00000,1073.00000,1382.00000,5237.00000,49413.00000,976.00000,,5819.00000,59202.00000,64439.00000,8879.00000,23177.00000,9612.00000,39492.00000,48371.00000,4.00000,10783.00000,-255.00000,16068.00000,64439.00000
2011-12-31,377.00000,1802.00000,1074.00000,1609.00000,4872.00000,42490.00000,907.00000,,6760.00000,52316.00000,57188.00000,6719.00000,20810.00000,9035.00000,35526.00000,42245.00000,4.00000,9876.00000,-154.00000,14943.00000,57188.00000
2010-12-31,302.00000,2582.00000,857.00000,1517.00000,5258.00000,39075.00000,971.00000,,4932.00000,47736.00000,52994.00000,6904.00000,18013.00000,8507.00000,31629.00000,38533.00000,4.00000,8873.00000,166.00000,14461.00000,52994.00000
2009-12-31,238.00000,2247.00000,877.00000,975.00000,4337.00000,36078.00000,935.00000,,5015.00000,44121.00000,48458.00000,6449.00000,16300.00000,7882.00000,29042.00000,35491.00000,4.00000,7739.00000,169.00000,12967.00000,48458.00000
