,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1906.42100,855.38000,543.45400,3305.25500,16649.53000,,7551.86600,1376.13700,27005.48000,30310.74000,1838.29800,14895.94000,797.86300,16966.61000,18804.91000,0.09300,-4352.73200,-1389.44600,11505.83000,30310.74000
2021-12-31,1536.35800,681.80900,738.93400,2957.10100,15445.78000,,7307.33800,926.06600,24961.60000,27918.70000,1605.95400,13560.39000,763.41100,15430.98000,17036.93000,0.09100,-3904.64700,-1085.75100,10881.76000,27918.70000
2020-12-31,1609.40100,676.73800,323.01600,2609.15500,14503.08000,,7643.49800,776.04700,24397.69000,27006.84000,2024.75000,12090.35000,948.99900,14347.97000,16372.72000,0.08900,-3358.97200,-913.36800,10634.12000,27006.84000
2019-12-31,1879.93900,689.13400,303.54300,2872.61600,12152.60000,,6884.24700,580.78800,21093.00000,23965.62000,2157.86300,11029.99000,621.72500,12967.37000,15125.23000,0.08600,-2777.04400,-934.61300,8840.38200,23965.62000
2018-12-31,610.70600,630.11900,274.85700,1515.68200,11026.02000,,7169.68400,-935.50990,18728.96000,20244.64000,1515.07100,10880.53000,629.76300,11510.29000,13025.36000,0.08100,-2441.25200,-945.70200,7219.27900,20244.64000
2017-12-31,1440.78800,576.31300,232.02700,2249.12800,9394.60200,9.24300,6796.73400,241.75000,16442.33000,18691.46000,1242.73400,9937.22300,661.71000,10598.93000,11841.67000,0.07900,-2340.10300,-785.18900,6849.79000,18691.46000
2016-12-31,751.88500,396.24500,319.39600,1467.52600,7199.21000,10.04200,3705.29500,226.29800,11140.84000,12608.37000,1028.69500,6590.59900,623.24800,7213.84700,8242.54200,0.07200,-1951.06100,-949.14200,4365.82900,12608.37000
2015-12-31,2721.13000,291.96400,246.18600,3259.28000,5606.43600,4.58400,1287.76500,198.63000,7097.41500,10356.70000,1656.35400,5564.54200,390.41300,5954.95500,7611.30900,0.06200,-1576.68800,-509.05900,2745.38600,10356.70000
2014-12-31,1143.36900,262.57000,85.00400,1490.94300,4998.27000,0.43900,1149.65600,142.67000,6291.03500,7781.97800,643.75700,4563.12600,304.96400,4868.09000,5511.84700,0.05700,-720.37700,-332.44300,2270.13100,7781.97800
2013-12-31,631.70200,184.84000,72.11800,888.66000,4591.65000,398.39000,1226.33500,387.32400,6603.69900,7492.35900,546.50400,4087.93400,274.95500,4486.79100,5033.29500,0.05000,-36.44300,-113.76700,2459.06400,7492.35900
2012-12-31,418.70500,163.84000,57.54700,640.09200,3915.73800,127.81900,1244.12600,208.02200,5495.70500,6135.79700,549.07200,2943.38100,245.72500,3273.28400,3822.35600,0.04900,-131.12800,-101.04200,2313.44100,6135.79700
2011-12-31,914.54400,139.05700,182.15600,1235.75700,3225.91200,161.80100,1015.13000,146.72400,4549.56700,5785.32400,725.25400,2753.83300,286.42400,3107.85800,3833.11200,0.04800,-255.09500,-143.69800,1952.21200,5785.32400
2010-12-31,590.03300,116.35800,71.65700,778.04800,2650.95300,2.80600,925.31000,90.89200,3669.96100,4448.00900,318.11500,2020.61900,228.76000,2249.37900,2567.49400,0.04600,-349.09900,-112.01800,1880.51500,4448.00900
2009-12-31,594.56400,64.76700,21.73400,727.88700,1808.11500,9.80300,432.06500,55.10900,2310.26300,3038.15000,315.45900,1419.60500,94.66600,1540.20800,1855.66700,0.03900,-385.98000,-97.23800,1182.48300,3038.15000
