,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2816.10000,483.20000,135779.00000,139078.30000,455.50000,30927.50000,3714.40000,35097.40000,174175.70000,137687.50000,3422.40000,826.00000,9609.50000,147297.00000,3.60000,4746.80000,-133.30000,26878.70000,174175.70000
2021-12-31,2949.90000,434.50000,158377.40000,161761.80000,505.30000,31235.30000,3277.90000,35018.50000,196780.30000,160398.40000,2695.70000,896.50000,8982.60000,169381.00000,3.60000,5151.90000,53.50000,27399.30000,196780.30000
2020-12-31,1734.10000,461.30000,87088.50000,89283.90000,579.20000,32839.40000,1957.10000,35375.70000,124659.60000,88197.90000,3443.80000,1059.40000,10110.20000,98308.10000,3.60000,4995.90000,134.90000,26351.50000,124659.60000
2019-12-31,1634.60000,491.80000,37441.40000,39567.80000,544.00000,33035.50000,2068.00000,35647.50000,75215.30000,38522.50000,3743.20000,1155.10000,10533.50000,49056.00000,3.60000,5008.70000,3.40000,26159.30000,75215.30000
2018-12-31,1447.40000,553.30000,39886.00000,41886.70000,448.70000,33480.70000,1659.60000,35589.00000,77475.70000,41272.60000,3826.80000,745.10000,10237.80000,51510.40000,3.60000,4855.30000,5.30000,25965.30000,77475.70000
2017-12-31,1993.70000,359.70000,44553.10000,46906.50000,399.70000,27090.60000,1394.40000,28884.70000,75791.20000,45672.90000,2233.10000,615.70000,7706.50000,53379.40000,3.40000,4497.20000,14.30000,22411.80000,75791.20000
2016-12-31,1951.90000,364.40000,37715.20000,40031.50000,425.20000,27186.10000,1726.60000,29337.90000,69369.40000,38945.60000,2231.20000,560.90000,10083.10000,49028.70000,3.40000,2524.50000,-14.10000,20340.70000,69369.40000
2015-12-31,1765.10000,357.80000,35781.60000,37904.50000,491.70000,27282.20000,1681.00000,29454.90000,67359.40000,36824.50000,2229.30000,395.50000,9983.10000,46807.60000,3.40000,2907.60000,-80.80000,20551.80000,67359.40000
2014-12-31,1440.80000,341.20000,40763.30000,42545.30000,508.90000,27381.70000,1805.60000,29696.20000,72241.50000,41531.20000,2107.90000,376.20000,9786.80000,51318.00000,3.40000,3317.30000,6.20000,20923.50000,72241.50000
2013-12-31,2538.10000,302.70000,21564.80000,24405.60000,513.40000,27485.50000,1873.30000,29872.20000,54277.80000,23311.00000,2107.20000,449.40000,9806.30100,33117.30000,3.30000,3494.60000,152.00000,21160.50000,54277.80000
2012-12-31,1661.30000,267.50000,6789.10000,8717.90000,724.00000,27595.90000,1825.40000,30145.30000,38863.20000,7616.90000,2106.80000,220.50000,9821.39900,17438.30000,3.30000,3993.40000,209.30000,21424.90000,38863.20000
2011-12-31,1089.90000,289.40000,9566.50000,10945.80000,821.90000,28337.30000,653.70000,29812.90000,40758.70000,9615.20000,2106.80000,187.60000,9591.49900,19206.70000,3.30000,4324.60000,111.60000,21552.00000,40758.70000
2010-12-31,905.40000,297.50000,4184.60000,5387.50000,786.80000,28477.40000,394.40000,29658.60000,35046.10000,4781.20000,2104.80000,191.50000,10204.80000,14986.00000,0.70000,2885.80000,-104.10000,20060.10000,35046.10000
2009-12-31,303.20010,248.30000,6147.50000,6699.00000,738.50000,27777.70000,435.80000,28952.00000,35651.00000,6523.60000,2014.70000,165.80000,9826.39900,16350.00000,0.70000,2239.90000,-126.20000,19301.00000,35651.00000
