,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,709.20000,958.50000,536.70000,272.60000,2477.00000,421.90000,12535.90000,455.80000,13413.60000,15890.60000,2727.10000,2251.60000,1223.30000,3474.90000,6202.00000,3.60000,6742.10000,-325.70000,,9688.60000,15890.60000
2021-12-31,819.30000,930.20000,512.70000,252.70000,2514.90000,395.50000,13042.20000,512.90000,13950.60000,16465.50000,3714.90000,1807.30000,1426.30000,3233.60000,6948.50000,3.60000,6023.60000,-185.00000,,9517.00000,16465.50000
2020-12-31,2944.00000,810.30000,455.50000,206.70000,4446.90000,422.00000,10649.80000,344.10000,11604.60000,16051.50000,2860.80000,2830.30000,1233.40000,4218.00000,7078.80000,3.40000,5547.40000,-141.10000,,8972.70000,16051.50000
2019-12-31,1205.20000,890.70000,416.20000,338.60000,3688.80000,416.00000,10812.20000,344.70000,13750.20000,17439.00000,3467.20000,4826.20000,1339.00000,6571.60000,10038.80000,3.40000,4128.80000,-56.30000,,7400.20000,17439.00000
2018-12-31,1178.40000,1195.10000,574.50000,193.20000,3171.20000,576.10000,8609.40000,548.90000,9734.40000,12905.60000,2192.10000,2974.70000,1125.90000,4100.60000,6292.70000,3.40000,3552.70000,-86.60000,,6612.90000,12905.60000
2017-12-31,962.10000,1020.50000,506.70000,243.70000,2936.80000,610.40000,5816.70000,469.50000,7563.80000,10500.60000,1602.30000,4056.20000,969.70000,5090.10000,6692.40000,3.50000,1350.30000,-7.60000,,3808.20000,10500.60000
2016-12-31,803.20000,945.40000,544.60000,195.50000,2488.70000,547.60000,4726.30000,427.20000,5701.10000,8189.80000,1466.50000,3358.00000,674.30000,4032.30000,5498.80000,3.50000,403.00000,-145.80000,,2691.00000,8189.80000
2015-12-31,,979.30000,522.90000,91.90000,1594.10000,514.80000,4708.00000,393.70000,5616.50000,7210.60000,1323.50000,,704.60000,704.60000,2028.10000,,,-14.40000,5193.90000,5182.50000,7210.60000
2014-12-31,,956.30000,511.20000,215.90000,1683.40000,480.80000,4852.60000,338.80000,5672.20000,7355.60000,1285.00000,,838.10000,838.10000,2123.10000,,,99.50000,5129.80000,5232.50000,7355.60000
2013-12-31,,911.50000,494.50000,249.00000,1655.00000,454.80000,4841.80000,288.50000,5585.10000,7240.10000,1276.90000,,838.10000,838.10000,2115.00000,,,272.80000,4850.60000,5125.10000,7240.10000
2012-12-31,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,,0.00000,0.00000,0.00000
