,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,132.72300,522.45800,1405.38400,121.78300,2182.34800,467.60400,2331.59400,,2987.11400,5169.46200,992.04400,1369.08500,,1918.16300,2910.20700,0.72800,2316.22400,-65.10200,-202.11600,2259.25500,5169.46200
2021-12-31,147.33900,546.46600,1089.70500,64.95400,1848.46400,440.85200,2450.83600,,3029.31600,4877.78000,1155.90700,902.09100,,1507.78600,2663.69300,0.72500,1965.95700,-54.75500,-202.11600,2214.08700,4877.78000
2020-12-31,655.12800,374.90600,603.31700,36.38200,1669.73300,343.93600,1147.25100,,1565.69000,3235.42300,641.52400,841.76400,,1203.69500,1845.21900,0.72100,1432.56500,-34.25400,-202.11600,1390.20400,3235.42300
2019-12-31,322.88300,319.53800,522.02400,31.38400,1195.82900,316.97600,1103.01800,,1469.84000,2665.66900,497.06400,837.76700,,1135.75400,1632.81800,0.71700,1084.38300,-24.91700,-202.11600,1032.85100,2665.66900
2018-12-31,224.48200,326.13300,544.75000,25.40400,1120.76900,278.92900,1011.14500,,1305.54500,2426.31400,560.70600,876.39600,,1104.34700,1665.05300,0.71200,831.12300,-23.81300,-202.11600,761.26100,2426.31400
2017-12-31,138.47200,279.29500,387.04900,19.74100,824.55700,230.38000,957.28800,10.50200,1201.40800,2025.96500,396.42300,906.54800,82.89300,1075.22200,1471.64500,0.70800,610.83600,-21.19800,-202.11600,554.32000,2025.96500
2016-12-31,67.27200,241.85700,349.73100,24.64900,683.50900,212.79300,959.81200,2.23300,1178.17500,1861.68400,341.93900,1006.75800,61.45900,1118.63300,1460.57200,0.70200,456.05200,-40.16300,-202.11600,401.11200,1861.68400
2015-12-31,115.85700,182.18500,325.37500,8.60000,632.01700,184.21300,926.62900,0.96400,1146.61800,1778.63500,213.22400,1037.13200,57.45800,1099.54000,1312.76400,0.69600,358.17300,-22.47500,-202.11600,465.87100,1778.63500
2014-12-31,189.76100,189.10700,319.38500,9.38400,730.47800,168.82100,920.44300,0.04800,1152.06400,1882.54200,240.52200,1082.10100,56.67100,1152.22100,1392.74300,0.69100,280.42600,-15.76700,-202.11600,489.79900,1882.54200
2013-12-31,156.79200,164.90700,300.25300,5.35800,654.17900,146.39000,891.11200,1.36900,1144.02600,1798.20500,250.84500,1175.34900,54.94000,1230.28900,1481.13400,0.68800,105.81300,-2.41500,-202.11600,317.07100,1798.20500
2012-12-31,108.02300,134.97800,225.81700,5.04800,522.55300,104.71800,825.68200,0.15300,1081.29400,1603.84700,294.85900,799.01800,46.34200,845.36000,1140.21900,0.68300,-63.79200,-14.49600,-202.11600,463.62800,1603.84700
2011-12-31,93.12600,109.70500,162.12400,3.91500,383.26500,84.38400,854.24400,0.07800,1169.52800,1552.79300,165.39000,575.00000,43.51400,618.51400,783.90400,0.67600,-157.01500,-15.35700,-202.11600,768.88900,1552.79300
2010-12-31,78.58300,63.15400,127.13700,3.64500,272.51900,75.28700,855.55800,0.69700,937.36400,1209.88300,86.68500,657.22900,24.90200,682.13100,768.81600,0.67500,-481.65800,-9.75200,-202.11600,441.06700,1209.88300
2009-12-31,161.30700,54.13000,123.70000,5.88000,345.01700,73.37400,905.50000,0.28200,992.22600,1337.24300,131.97100,1052.46300,17.41800,1069.88100,1201.85200,,-538.57100,-4.49200,-202.14500,135.39100,1337.24300
