,cash-on-hand,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,784.64000,839.34700,9807.57100,197.47100,10005.04000,11038.47000,237.57200,5487.30300,186.21200,6513.36500,6940.17500,3.29000,-3451.58700,8.34400,4098.29500,11038.47000
2021-12-31,730.87900,757.73900,9603.70700,216.31100,9820.01800,10775.22000,216.02900,5412.78700,180.17000,6892.39900,7300.91600,3.18100,-3485.08000,-4.26100,3474.30400,10775.22000
2020-12-31,624.40400,782.39600,8466.10600,188.11800,8654.22500,9637.53300,185.70500,4976.54800,164.80300,5997.64500,6378.94200,2.96600,-2685.77000,-9.14400,3258.59100,9637.53300
2019-12-31,621.55300,775.20300,8470.74800,186.29600,8657.04400,9636.47200,164.67600,4707.52400,157.73500,5883.92400,6247.15800,2.94600,-2462.13200,-10.44800,3389.31400,9636.47200
2018-12-31,989.76000,1032.01900,6541.99900,137.71000,6679.70900,7711.72800,135.69800,3547.78700,1105.46600,4653.25300,4788.95100,2.75500,-2063.99600,-0.06700,2922.77700,7711.72800
2017-12-31,742.66000,762.12900,6847.04000,124.10400,6971.14400,7733.27300,154.73700,3671.66300,1071.50900,4743.17200,4897.90900,2.67800,-1871.60300,-2.68100,2835.36400,7733.27300
2016-12-31,849.13100,868.92100,6692.12800,118.53500,6810.66300,7679.58400,150.48000,3401.47800,121.17400,4432.13400,4582.61400,2.67300,-1585.82500,-5.60900,3096.97000,7679.58400
2015-12-31,966.44600,983.14000,6543.40200,137.30200,6680.70400,7663.84400,129.30400,3570.79500,1063.13400,4633.92900,4763.23300,2.61800,-1584.45900,-12.67800,2900.61100,7663.84400
2014-12-31,755.79000,770.15910,5948.48700,110.08200,6058.56900,6828.72800,141.47500,3565.29900,386.00400,3951.30300,4092.77800,2.55100,-1528.91700,-8.85500,2735.95000,6828.72800
2013-12-31,53.04500,136.07800,5999.18300,645.53700,6671.64400,6807.72200,164.80800,3523.70300,306.70700,3830.41000,3995.21800,2.50700,-1342.07000,-5.12500,2812.50400,6807.72200
2012-12-31,35.67600,99.68200,6131.14600,603.28500,6759.42100,6859.10300,149.58000,3409.33300,306.35800,3715.69100,3865.27100,2.50100,-1143.78100,-11.25700,2993.83200,6859.10300
2011-12-31,37.13700,37.13700,6242.74400,411.40500,6684.21700,6721.35400,132.09000,3918.37000,115.63500,4270.47900,4402.57000,2.19700,-1142.89500,-13.90200,2318.78400,6721.35400
2010-12-31,28.79900,36.59900,5243.02100,222.65300,5492.94100,5529.54000,141.39900,3567.50400,91.55000,3778.11100,3919.51000,1.82500,-973.86400,-3.46900,1610.03000,5529.54000
2009-12-31,52.51400,60.31400,4963.75400,81.94800,5072.30300,5132.61700,116.80700,3426.58900,91.48100,3616.82800,3733.63500,1.55500,-687.18000,0.00200,1398.98200,5132.61700
