,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,171.10200,567.96300,739.06500,37781.96000,8899.84400,2252.22700,48934.03000,49673.09000,399.13700,18110.73000,2319.93300,20430.67000,20829.80000,34159.51000,-5493.19300,46.83300,28843.29000,49673.09000
2021-12-31,258.57900,426.76800,685.34700,31989.60000,8952.01000,1510.54600,42452.16000,43137.50000,351.12800,15442.64000,2214.33700,17656.97000,18008.10000,29578.21000,-4530.57100,4.93300,25129.40000,43137.50000
2020-12-31,824.47600,285.70100,1110.17700,17485.16000,1724.83500,420.11700,19630.11000,20740.29000,241.33600,8817.46700,663.75200,9481.21900,9722.55500,14700.05000,-3659.93300,-54.63400,11017.73000,20740.29000
2019-12-31,54.01100,181.96900,235.98000,16496.77000,1493.38300,328.66100,18318.81000,18554.80000,177.03900,7901.54700,672.05200,8573.59900,8750.63800,12873.85000,-3082.29100,-17.10200,9804.15800,18554.80000
2018-12-31,10.38700,144.99100,155.37800,13843.52000,1199.59700,61.99100,15105.10000,15260.48000,133.76500,6499.97600,505.76400,7005.74000,7139.50500,10754.50000,-2657.65500,-8.09800,8120.97800,15260.48000
2017-12-31,6.89800,119.53300,126.43100,12676.50000,1209.90000,45.33600,13931.74000,14058.17000,109.52300,6111.47100,446.46400,6557.93500,6667.45800,9624.26400,-2252.76300,,7390.70800,14058.17000
2016-12-31,9.42000,104.58400,114.00400,11903.79000,1097.38700,37.68900,13038.87000,13152.87000,121.15600,5839.60500,405.05700,6244.66200,6365.81800,8228.59400,-1857.16800,,6787.05300,13152.87000
2015-12-31,40.29400,81.67800,121.97200,10618.88000,1049.73800,54.78500,11723.41000,11845.38000,115.82600,4820.99500,355.22500,5176.22000,5292.04600,7666.42800,-1530.21000,,6553.33300,11845.38000
2014-12-31,3.85200,64.38600,68.23800,9781.54000,1055.19400,107.65000,10944.38000,11012.62000,123.28700,4930.94700,317.28900,5248.23600,5371.52300,6464.98700,-1246.96400,,5641.09900,11012.62000
2013-12-31,10.25700,39.32300,49.58000,8796.60900,951.11900,127.13300,9874.86100,9924.44100,102.51100,4166.84000,233.73200,4400.57200,4503.08300,5767.87800,-991.79400,,5421.35800,9924.44100
2012-12-31,5.24800,21.65900,26.90700,5042.13700,259.07000,101.23400,5402.44100,5429.34800,70.42600,2869.85300,76.27500,2946.12800,3016.55400,2572.09200,-768.66100,,2412.79400,5429.34800
2011-12-31,4.16500,15.37500,19.54000,4160.00800,17.20600,222.63500,4399.84900,4419.38900,58.77000,2055.18100,50.58400,2105.76500,2164.53500,2563.04800,-645.98400,,2254.85400,4419.38900
2010-12-31,17.60700,11.30100,28.90800,3404.87800,17.20600,84.59800,3506.68200,3535.59000,47.01900,1600.00000,41.60600,1641.60600,1688.62500,2066.28700,-557.11200,,1846.96500,3535.59000
2009-12-31,10.02600,10.39600,20.42200,2816.88200,17.20600,60.27700,2894.36500,2914.78700,38.44500,1354.60000,33.73300,1388.33300,1426.77800,1629.23700,-479.01800,,1488.00900,2914.78700
