,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,270.30000,422.00000,646.60000,57.00000,1395.90000,761.10000,12.70000,5858.40000,317.50000,6949.70000,8345.60000,1183.80000,2599.50000,315.40000,3671.90000,4855.70000,293.70000,5524.60000,-29.30000,3489.90000,8345.60000
2021-12-31,240.60000,405.50000,535.40000,51.90000,1233.40000,652.70000,9.10000,5768.80000,332.50000,6763.10000,7996.50000,2075.20000,1610.70000,332.30000,2688.10000,4763.30000,292.80000,5366.00000,-68.20000,3233.20000,7996.50000
2020-12-31,183.10000,398.80000,495.40000,35.10000,1112.40000,612.80000,9.10000,5339.80000,340.40000,6302.10000,7414.50000,1388.60000,1812.50000,485.70000,3005.50000,4394.10000,292.80000,4786.00000,-77.60000,3020.40000,7414.50000
2019-12-31,155.70000,356.40000,417.40000,26.90000,956.40000,573.00000,9.70000,4829.50000,288.80000,5701.00000,6657.40000,1092.30000,1810.20000,507.50000,2897.30000,3989.60000,292.80000,4237.40000,-66.70000,2667.80000,6657.40000
2018-12-31,316.70000,345.30000,382.80000,33.40000,1078.20000,598.20000,8.50000,4266.90000,117.40000,4991.00000,6069.20000,1326.30000,1508.80000,203.90000,2289.10000,3615.40000,292.80000,3832.60000,-53.60000,2453.80000,6069.20000
2017-12-31,278.90000,345.90000,330.70000,44.70000,1000.20000,607.70000,9.30000,4279.40000,118.20000,5014.60000,6014.80000,935.00000,2103.40000,197.20000,2861.80000,3796.80000,292.80000,3479.00000,-36.40000,2218.00000,6014.80000
2016-12-31,187.80000,287.00000,258.20000,23.80000,756.80000,588.60000,8.50000,2875.90000,124.30000,3597.30000,4354.10000,1001.90000,693.40000,168.70000,1374.30000,2376.20000,292.80000,2926.00000,-63.80000,1977.90000,4354.10000
2015-12-31,330.00000,276.20000,274.00000,25.80000,906.00000,609.60000,8.40000,2624.40000,108.50000,3350.90000,4256.90000,872.70000,692.80000,183.40000,1361.00000,2233.70000,292.80000,2650.00000,-45.90000,2023.20000,4256.90000
2014-12-31,423.00000,322.90000,245.90000,26.30000,1018.10000,616.20000,24.80000,2597.40000,102.70000,3341.10000,4359.20000,905.30000,690.00000,163.10000,1352.00000,2257.30000,146.40000,2414.90000,-34.70000,2101.90000,4359.20000
2013-12-31,496.90000,330.20000,250.50000,21.60000,1115.80000,594.10000,24.50000,2426.50000,98.80000,3143.90000,4259.70000,651.20000,649.50000,157.50000,1308.50000,1959.70000,146.40000,2168.50000,0.20000,2300.00000,4259.70000
2012-12-31,343.00000,303.10000,242.20000,27.90000,933.80000,586.00000,23.00000,2468.70000,86.60000,3164.30000,4098.10000,725.60000,649.40000,141.10000,1311.40000,2037.00000,146.40000,1929.30000,2.50000,2061.10000,4098.10000
2011-12-31,251.40000,264.60000,200.70000,32.50000,755.20000,506.00000,12.00000,1772.50000,71.90000,2362.40000,3117.60000,383.60000,249.70000,106.20000,693.20000,1076.80000,146.40000,1714.00000,2.90000,2040.80000,3117.60000
2010-12-31,189.20000,231.10000,195.40000,17.50000,649.50000,468.30000,9.20000,1729.90000,88.30000,2295.70000,2945.20000,447.10000,249.70000,85.20000,627.20000,1074.30000,146.40000,1501.80000,16.30000,1870.90000,2945.20000
2009-12-31,447.14300,222.15800,216.87000,21.66200,928.26500,455.63600,12.81500,1632.96900,88.76100,2190.18100,3118.44600,567.03200,597.34700,112.44000,949.64200,1516.67400,73.21400,1275.11700,10.07800,1601.77200,3118.44600
