,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,26596.81000,165165.90000,1653.62800,25210.87000,8699.46300,35563.96000,200729.80000,171447.30000,3964.53700,3964.53700,175411.80000,89.71800,15753.98000,-790.03000,25317.99000,200729.80000
2021-12-31,43259.63000,142209.40000,1144.76500,7155.86000,4597.11000,12897.73000,155107.20000,133718.40000,3485.36900,3485.36900,137203.80000,79.87100,14646.45000,-127.57800,17903.40000,155107.20000
2020-12-31,26285.13000,129786.60000,1161.55800,7045.69700,4607.27700,12814.53000,142601.10000,122031.60000,4382.19300,4382.19300,126413.80000,79.87100,13444.43000,-63.03200,16187.28000,142601.10000
2019-12-31,9096.58800,104612.40000,1140.92400,9497.25100,4622.14600,15260.32000,119872.80000,97169.92000,6986.18600,6986.18600,104156.10000,79.87100,12820.92000,-206.68000,15716.65000,119872.80000
2018-12-31,9896.22000,102117.00000,647.40800,12692.81000,4640.17900,17980.40000,120097.40000,96192.30000,8444.91400,8444.91400,104637.20000,79.88300,11516.67000,-420.08100,15460.19000,120097.40000
2017-12-31,6632.70000,98617.81000,646.45100,14664.53000,4664.70100,19975.68000,118593.50000,94201.24000,8141.43000,8141.43000,102342.70000,79.90900,10164.80000,-363.81400,16250.82000,118593.50000
2016-12-31,6645.05400,101832.70000,675.26300,16250.47000,4690.76700,21616.50000,123449.20000,97468.75000,9493.83500,9493.83500,106962.60000,79.97300,9222.48800,-294.63600,16486.62000,123449.20000
2015-12-31,9236.17400,101731.40000,666.68200,15656.44000,4733.38000,21056.50000,122787.90000,95960.73000,10653.86000,10653.86000,106614.60000,79.78200,8430.50200,-251.62700,16173.29000,122787.90000
2014-12-31,8152.39900,79519.35000,612.98400,12993.54000,3559.65200,17166.18000,96685.53000,75342.69000,9006.95900,9006.95900,84349.64000,66.15700,7807.11900,-180.99400,12335.90000,96685.53000
2013-12-31,3700.20300,72138.90000,633.52000,8796.49700,3593.47600,13023.49000,85162.39000,68747.98000,5108.87000,5108.87000,73856.86000,65.25800,7188.00400,-64.15900,11305.53000,85162.39000
2012-12-31,2605.52600,72699.40000,594.65200,6074.36100,3640.38800,10309.40000,83008.80000,68198.45000,4607.75800,4607.75800,72806.21000,64.08800,6477.27600,-240.26400,10202.59000,83008.80000
2011-12-31,2169.19100,65968.68000,581.43500,7673.15400,3701.01900,11955.61000,77924.29000,61966.85000,6686.22600,6686.22600,68653.08000,62.84200,5867.16500,-356.44100,9271.20900,77924.29000
2010-12-31,1558.81100,56784.34000,435.83700,7150.54000,3650.54200,11236.92000,68021.27000,51823.42000,7840.15100,7840.15100,59663.57000,60.19800,5426.70100,-205.22000,8357.69500,68021.27000
2009-12-31,1766.66100,56956.90000,435.84500,7780.60900,3707.04300,11923.50000,68880.40000,50887.48000,10240.02000,10240.02000,61127.49000,60.19800,5076.88400,-335.99700,7752.90700,68880.40000
