,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,658.62600,1018.28700,175.46500,2285.11200,109.68700,243.12700,,679.37600,2964.48800,1216.20200,,27.96000,179.72800,1395.93000,0.10800,318.50800,-43.62300,1568.55800,2964.48800
2021-12-31,619.00100,984.69100,169.86400,2268.54700,93.40300,226.18900,,683.81200,2952.35900,1358.67300,,31.34400,212.63500,1571.30800,0.11100,167.65900,-22.62200,1381.05100,2952.35900
2020-12-31,574.42600,714.16300,147.51500,1842.73800,109.81700,228.64900,,714.68600,2557.42400,1046.62600,,81.64000,305.50900,1352.13500,0.11300,29.93600,-4.73200,1205.28900,2557.42400
2019-12-31,270.47800,832.79700,127.13200,1628.84900,128.38500,212.11600,,682.55900,2311.40800,940.69200,0.23900,24.83300,227.03300,1167.72500,0.11500,36.06700,-19.98600,1143.68300,2311.40800
2018-12-31,276.57900,794.44600,402.58500,1473.61000,125.17600,213.10700,,429.48700,1903.09700,819.53600,0.45700,19.90600,20.36300,839.89900,0.11900,,-16.10900,1063.19800,1903.09700
2017-12-31,294.75300,732.40500,404.71100,1431.86900,144.88700,215.83100,,435.58500,1867.45400,747.89600,0.65700,13.63600,14.29300,762.18900,0.12400,37.03300,3.50700,1105.26500,1867.45400
2016-12-31,260.20100,703.22800,320.80500,1284.23400,161.50900,213.46400,,493.73700,1777.97100,679.89600,0.84000,10.63600,11.47600,691.37200,0.12800,84.56200,-20.50200,1086.59900,1777.97100
2015-12-31,224.57700,704.64000,268.78000,1197.99700,142.90600,213.08700,,473.04700,1671.04400,655.54900,1.00700,10.70700,11.71400,667.26300,0.13100,34.46700,-10.29400,1003.78100,1671.04400
2014-12-31,287.11900,657.67600,245.33700,1323.28300,121.75400,199.48800,2.74200,323.98400,1647.26700,623.36200,1.15900,42.88800,44.04700,667.40900,0.13500,36.83600,14.73000,979.85800,1647.26700
2013-12-31,275.76400,551.90500,231.97800,1172.52800,112.64400,201.38900,3.71000,317.74300,1490.27100,535.85300,1.30000,33.47500,34.77500,570.62800,0.13700,13.31500,38.07100,919.64300,1490.27100
2012-12-31,287.63500,512.85200,161.20500,1064.68500,107.68000,203.59500,5.31100,316.58600,1381.27100,501.63700,1.42800,36.19500,37.62300,539.26000,0.13900,,43.77900,842.01100,1381.27100
2011-12-31,279.33600,493.32700,145.43700,1006.67800,107.97200,189.47300,7.71300,305.15800,1311.83600,473.00100,1.54500,36.78500,38.33000,511.33100,0.14200,,40.88700,800.50500,1311.83600
2010-12-31,315.13700,423.17500,141.46100,971.86000,103.65100,190.00600,8.46700,302.12400,1273.98400,408.46000,1.65600,29.49700,31.15300,439.61300,0.14600,,47.12000,834.37100,1273.98400
2009-12-31,365.79400,362.39200,142.80500,922.63400,124.65800,189.72800,,360.90100,1283.53500,366.96800,1.77900,14.97800,16.75700,383.72500,0.14900,,45.58000,899.81000,1283.53500
