,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,2936.00000,1042.00000,5965.00000,596.00000,10539.00000,2250.00000,,1384.00000,677.00000,6965.00000,17504.00000,10674.00000,1216.00000,533.00000,3810.00000,14484.00000,23.00000,2668.00000,329.00000,,3020.00000,17504.00000
2021-01-31,5494.00000,1061.00000,5612.00000,373.00000,12540.00000,2260.00000,,986.00000,669.00000,6527.00000,19067.00000,10521.00000,1253.00000,694.00000,3959.00000,14480.00000,26.00000,4233.00000,328.00000,,4587.00000,19067.00000
2020-01-31,2229.00000,1149.00000,5174.00000,305.00000,8857.00000,2328.00000,,984.00000,713.00000,6734.00000,15591.00000,8060.00000,1257.00000,657.00000,4052.00000,12112.00000,26.00000,3158.00000,295.00000,,3479.00000,15591.00000
2019-01-31,1980.00000,1015.00000,5409.00000,466.00000,8870.00000,2510.00000,,915.00000,606.00000,4031.00000,12901.00000,7513.00000,1332.00000,750.00000,2082.00000,9595.00000,27.00000,2985.00000,294.00000,,3306.00000,12901.00000
2018-01-31,3133.00000,1049.00000,5209.00000,438.00000,9829.00000,2421.00000,,425.00000,374.00000,3220.00000,13049.00000,7817.00000,811.00000,809.00000,1620.00000,9437.00000,28.00000,3270.00000,314.00000,,3612.00000,13049.00000
2017-01-31,3921.00000,1347.00000,4864.00000,384.00000,10516.00000,2293.00000,,425.00000,622.00000,3340.00000,13856.00000,7122.00000,1321.00000,704.00000,2025.00000,9147.00000,31.00000,4399.00000,279.00000,,4709.00000,13856.00000
2016-01-31,3281.00000,1162.00000,5051.00000,392.00000,9886.00000,2346.00000,,425.00000,862.00000,3633.00000,13519.00000,6925.00000,1339.00000,877.00000,2216.00000,9141.00000,32.00000,4130.00000,271.00000,-55.00000,4378.00000,13519.00000
2015-01-31,3888.00000,1280.00000,5174.00000,1130.00000,11472.00000,2295.00000,,482.00000,996.00000,3773.00000,15245.00000,7777.00000,1572.00000,896.00000,2468.00000,10245.00000,35.00000,4141.00000,382.00000,,5000.00000,15245.00000
2014-01-31,2901.00000,1308.00000,5376.00000,900.00000,10485.00000,2598.00000,,526.00000,404.00000,3528.00000,14013.00000,7436.00000,1612.00000,976.00000,2588.00000,10024.00000,35.00000,3159.00000,492.00000,,3989.00000,14013.00000
2013-01-31,1826.00000,2704.00000,6571.00000,946.00000,12047.00000,3270.00000,,862.00000,608.00000,4740.00000,16787.00000,10810.00000,1153.00000,1109.00000,2262.00000,13072.00000,34.00000,2861.00000,112.00000,,3715.00000,16787.00000
2012-02-29,1199.00000,2288.00000,5731.00000,1079.00000,10297.00000,3471.00000,140.00000,1465.00000,632.00000,5708.00000,16005.00000,8855.00000,1685.00000,1099.00000,2784.00000,11639.00000,34.00000,3621.00000,90.00000,,4366.00000,16005.00000
2011-02-28,1125.00000,2348.00000,5897.00000,1103.00000,10473.00000,3823.00000,328.00000,2587.00000,638.00000,7376.00000,17849.00000,8663.00000,711.00000,1183.00000,1894.00000,10557.00000,39.00000,6372.00000,173.00000,,7292.00000,17849.00000
2010-02-28,1916.00000,2020.00000,5486.00000,1144.00000,10566.00000,4070.00000,324.00000,2611.00000,731.00000,7736.00000,18302.00000,8978.00000,1104.00000,1256.00000,2360.00000,11338.00000,42.00000,5797.00000,40.00000,,6964.00000,18302.00000
2009-02-28,509.00000,1868.00000,4753.00000,1062.00000,8192.00000,4174.00000,395.00000,2376.00000,689.00000,7634.00000,15826.00000,8435.00000,1126.00000,1109.00000,2235.00000,10670.00000,41.00000,4714.00000,-317.00000,,5156.00000,15826.00000
