,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,5924.00000,21961.00000,27885.00000,3774.00000,17193.00000,78303.00000,16777.00000,116047.00000,143932.00000,41229.00000,28100.00000,21901.00000,57818.00000,99047.00000,4.00000,37874.00000,-1395.00000,44885.00000,143932.00000
2021-12-31,5081.00000,20041.00000,25122.00000,3692.00000,19358.00000,79913.00000,26804.00000,129767.00000,154889.00000,37149.00000,31125.00000,31085.00000,70610.00000,107759.00000,4.00000,32593.00000,-884.00000,47130.00000,154889.00000
2020-12-31,10182.00000,17391.00000,27573.00000,4205.00000,24593.00000,79827.00000,15868.00000,127878.00000,155451.00000,36022.00000,29545.00000,30559.00000,69101.00000,105123.00000,4.00000,28575.00000,-861.00000,50328.00000,155451.00000
2019-12-31,4619.00000,15816.00000,20435.00000,4417.00000,22479.00000,81164.00000,14809.00000,135339.00000,155774.00000,33326.00000,31893.00000,28977.00000,77104.00000,110430.00000,4.00000,20162.00000,-941.00000,45344.00000,155774.00000
2018-12-31,3855.00000,15980.00000,19835.00000,4562.00000,28974.00000,83508.00000,13526.00000,133391.00000,153226.00000,31895.00000,39523.00000,31283.00000,80296.00000,112191.00000,4.00000,15088.00000,-1711.00000,41035.00000,153226.00000
2017-12-31,2972.00000,8918.00000,11890.00000,1563.00000,28619.00000,6509.00000,10902.00000,49869.00000,61759.00000,31539.00000,5199.00000,11261.00000,16509.00000,48048.00000,74.00000,15800.00000,-1082.00000,13711.00000,61759.00000
2016-12-31,3185.00000,9555.00000,12740.00000,1536.00000,26815.00000,5980.00000,10167.00000,46620.00000,59360.00000,32879.00000,4756.00000,7940.00000,12754.00000,45633.00000,74.00000,13855.00000,-1382.00000,13727.00000,59360.00000
2015-12-31,1968.00000,10507.00000,12475.00000,1534.00000,24713.00000,6019.00000,10309.00000,44613.00000,57088.00000,32122.00000,5020.00000,7833.00000,12922.00000,45044.00000,74.00000,12121.00000,-1250.00000,12044.00000,57088.00000
2014-12-31,1420.00000,9837.00000,11257.00000,1502.00000,24342.00000,5989.00000,10985.00000,44613.00000,55870.00000,31684.00000,4979.00000,8328.00000,13397.00000,45081.00000,74.00000,10289.00000,-936.00000,10789.00000,55870.00000
2013-12-31,2795.00000,9290.00000,12085.00000,1464.00000,22365.00000,6029.00000,10906.00000,42251.00000,54336.00000,30393.00000,5014.00000,8252.00000,13362.00000,43755.00000,92.00000,13676.00000,-520.00000,10581.00000,54336.00000
2012-12-31,2978.00000,8033.00000,11011.00000,1120.00000,23918.00000,6001.00000,10112.00000,42723.00000,53734.00000,31108.00000,4986.00000,7757.00000,12857.00000,43965.00000,92.00000,12330.00000,-671.00000,9769.00000,53734.00000
2011-12-31,4690.00000,7614.00000,12304.00000,1024.00000,22742.00000,3164.00000,9843.00000,38393.00000,50697.00000,29620.00000,4990.00000,8093.00000,13083.00000,42703.00000,92.00000,10787.00000,-787.00000,7994.00000,50697.00000
2010-12-31,1605.00000,7813.00000,9418.00000,912.00000,21183.00000,3119.00000,9146.00000,36264.00000,45682.00000,28823.00000,2288.00000,7908.00000,10196.00000,39019.00000,88.00000,9879.00000,-614.00000,6663.00000,45682.00000
2009-12-31,924.00000,7958.00000,8882.00000,862.00000,20077.00000,2876.00000,8344.00000,34131.00000,43013.00000,27837.00000,2436.00000,7311.00000,9747.00000,37584.00000,88.00000,8625.00000,-618.00000,5429.00000,43013.00000
