,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,8841.00000,7358.00000,1552.00000,2611.00000,29118.00000,5334.00000,1617.00000,67133.00000,98126.00000,127243.00000,31505.00000,46189.00000,12243.00000,73717.00000,105222.00000,58343.00000,149825.00000,-16740.00000,22021.00000,127243.00000
2021-12-31,7557.00000,7756.00000,1649.00000,3466.00000,29539.00000,5694.00000,1823.00000,68154.00000,102462.00000,132001.00000,33619.00000,44917.00000,13996.00000,79387.00000,113005.00000,57319.00000,154209.00000,-23234.00000,18996.00000,132001.00000
2020-12-31,14251.00000,6485.00000,1812.00000,2089.00000,39165.00000,6205.00000,2187.00000,67504.00000,116806.00000,155971.00000,39869.00000,54217.00000,14180.00000,95376.00000,135244.00000,56556.00000,162717.00000,-29337.00000,20727.00000,155971.00000
2019-12-31,9009.00000,9603.00000,1619.00000,2101.00000,38420.00000,10010.00000,2074.00000,73457.00000,113768.00000,152186.00000,37701.00000,54102.00000,14526.00000,93500.00000,131202.00000,55895.00000,162954.00000,-28597.00000,20985.00000,152186.00000
2018-12-31,12222.00000,8175.00000,1682.00000,2378.00000,49146.00000,10792.00000,2386.00000,39352.00000,74236.00000,123382.00000,38227.00000,35605.00000,12174.00000,68226.00000,106452.00000,55151.00000,159206.00000,-29490.00000,16929.00000,123382.00000
2017-12-31,12842.00000,9909.00000,1583.00000,1860.00000,49735.00000,11116.00000,2783.00000,40530.00000,75620.00000,125356.00000,37363.00000,39837.00000,9965.00000,70268.00000,107631.00000,54566.00000,153126.00000,-26592.00000,17725.00000,125356.00000
2016-12-31,8527.00000,10239.00000,1553.00000,4564.00000,43888.00000,10830.00000,4585.00000,40887.00000,73581.00000,117470.00000,36275.00000,34655.00000,7477.00000,62802.00000,99078.00000,53935.00000,152759.00000,-29398.00000,18392.00000,117470.00000
2015-12-31,8194.00000,9534.00000,1551.00000,4205.00000,42504.00000,10727.00000,5187.00000,35508.00000,67991.00000,110495.00000,34269.00000,33428.00000,8099.00000,61802.00000,96071.00000,53262.00000,146124.00000,-29607.00000,14424.00000,110495.00000
2014-12-31,8476.00000,11996.00000,2103.00000,4967.00000,47377.00000,10771.00000,5520.00000,33660.00000,69895.00000,117271.00000,39581.00000,34991.00000,8733.00000,65676.00000,105257.00000,52666.00000,137793.00000,-27875.00000,12014.00000,117271.00000
2013-12-31,11066.00000,12049.00000,2310.00000,4488.00000,51350.00000,13821.00000,4639.00000,35055.00000,74872.00000,126223.00000,40154.00000,32856.00000,9934.00000,63140.00000,103294.00000,51594.00000,130042.00000,-21602.00000,22929.00000,126223.00000
2012-12-31,11129.00000,12540.00000,2287.00000,4024.00000,49433.00000,13996.00000,5021.00000,33034.00000,69781.00000,119213.00000,43625.00000,24088.00000,7607.00000,56604.00000,100229.00000,50110.00000,117641.00000,-25759.00000,18984.00000,119213.00000
2011-12-31,11922.00000,12660.00000,2595.00000,5249.00000,50928.00000,13883.00000,4895.00000,29605.00000,65505.00000,116433.00000,42123.00000,22857.00000,8996.00000,54074.00000,96197.00000,48129.00000,104857.00000,-21885.00000,20236.00000,116433.00000
2010-12-31,11651.00000,11968.00000,2450.00000,4226.00000,48116.00000,14096.00000,5778.00000,28624.00000,65334.00000,113452.00000,40562.00000,21846.00000,8226.00000,49716.00000,90279.00000,45418.00000,92532.00000,-18743.00000,23172.00000,113452.00000
2009-12-31,13974.00000,11879.00000,2494.00000,3946.00000,48935.00000,14165.00000,5379.00000,22703.00000,60087.00000,109022.00000,36002.00000,21932.00000,8819.00000,50266.00000,86267.00000,41810.00000,80900.00000,-18830.00000,22755.00000,109022.00000
