,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,278.48300,,278.48300,72587.31000,15031.65000,87618.97000,87897.45000,1711.88500,23875.96000,4446.50900,28322.47000,30034.36000,9.23100,-457.69500,-443.60900,57863.09000,87897.45000
2021-12-31,556.11700,,556.11700,45337.00000,12593.10000,57930.10000,58486.22000,1252.76700,17715.05000,1776.18900,19491.24000,20744.01000,7.39800,-1327.82800,-878.25300,37742.21000,58486.22000
2020-12-31,598.08600,,598.08600,43845.17000,11621.75000,55466.92000,56065.00000,1143.37200,16849.08000,1747.97700,18597.05000,19740.43000,7.39400,-2394.69000,-1193.73900,36324.58000,56065.00000
2019-12-31,1088.85500,,1088.85500,29786.75000,8669.91300,38456.66000,40031.85000,704.95400,11905.88000,877.60100,12783.48000,13960.07000,6.31800,-2151.16800,-990.39800,26071.78000,40031.85000
2018-12-31,343.85600,,343.85600,29930.31000,8143.50100,38073.81000,38417.66000,760.51500,11089.82000,766.44600,11856.26000,12616.78000,6.29600,-2378.46700,-1084.67100,25800.89000,38417.66000
2017-12-31,447.04600,34.26000,481.30600,21779.30000,7220.47300,28999.77000,29481.07000,702.80400,9412.63100,659.89900,10072.53000,10775.33000,5.32200,-2904.46100,-901.65800,18705.74000,29481.07000
2016-12-31,807.31600,32.10000,839.41600,23360.96000,6049.55800,29410.52000,30249.93000,556.17900,10608.29000,627.31900,11235.61000,11791.79000,5.28700,-3610.00700,-937.47300,18458.14000,30249.93000
2015-12-31,264.08000,235.05000,499.13000,24247.08000,6648.55300,30895.64000,31394.77000,712.72500,11626.83000,634.37500,12261.21000,12973.93000,5.24500,-3926.48300,-791.42900,18420.84000,31394.77000
2014-12-31,350.69200,,350.69200,19399.36000,6024.94500,25424.31000,25775.00000,627.99900,9336.97700,626.42600,9963.40200,10591.40000,5.09500,-3974.49300,-600.33700,15183.60000,25775.00000
2013-12-31,491.12900,295.95500,787.08400,18255.48000,5529.74400,23785.22000,24572.31000,563.99300,9011.21600,820.64500,9831.86100,10395.85000,4.98800,-3932.66400,-435.67500,14176.45000,24572.31000
2012-12-31,277.73600,359.08400,636.81990,23328.46000,3344.86200,26673.32000,27310.14000,611.77000,11790.79000,1134.24500,12925.04000,13536.81000,4.61800,-3696.09300,-233.56300,13773.34000,27310.14000
2011-12-31,248.06400,470.83300,718.89700,22629.63000,4375.38500,27005.02000,27723.91000,639.49000,11382.41000,1246.54000,12628.95000,13268.44000,4.59400,-3092.16200,-182.32100,14455.47000,27723.91000
2010-12-31,64.71500,361.12300,425.83800,11283.96000,3192.86600,14476.83000,14902.67000,388.53600,6506.02900,487.74700,6993.77600,7382.31200,2.54500,-2515.72200,-3.16000,7520.35500,14902.67000
2009-12-31,206.07700,155.95800,362.03500,5809.27800,645.76200,6479.92300,6841.95800,238.71800,3212.59600,99.32400,3311.92000,3550.63800,1.48900,-29.00800,3.81600,3291.32000,6841.95800
