,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1493.11900,776.14200,2269.26100,9843.76400,139.63800,3182.77700,13539.73000,16493.38000,450.88100,8389.04300,404.37000,9230.14600,10417.00000,7.65400,-3894.58000,174.96700,6076.38000,16493.38000
2021-12-31,1930.35100,735.97900,2666.33000,9841.49800,154.89500,3874.97500,14263.06000,17266.59000,613.49700,8615.94600,463.01700,9767.64600,10751.35000,7.64800,-3079.32000,-17.53400,6515.23800,17266.59000
2020-12-31,1730.36900,751.73300,2482.10200,8918.49700,23.85600,4057.08300,13372.36000,16221.82000,427.20200,7398.99600,440.19400,8445.45700,9273.66700,7.63300,-2774.18200,-75.09900,6948.15500,16221.82000
2019-12-31,1607.13100,837.93900,2445.07000,10058.05000,30.96500,5019.39200,15462.40000,18287.01000,440.04900,7406.60900,1742.20800,10037.73000,10976.04000,7.61800,-1954.26600,-40.23300,7310.97800,18287.01000
2018-12-31,716.90500,1008.45300,1725.35800,13057.71000,136.78100,1860.63400,15455.44000,17180.79000,430.97600,9836.62100,1021.75200,11641.93000,12072.91000,7.60000,-4167.18400,7.66400,5107.88300,17180.79000
2017-12-31,1914.81200,985.41100,2900.22300,11871.01000,159.26000,2063.94700,14497.71000,17397.93000,415.79400,9729.48700,804.50100,11974.44000,12390.23000,7.57700,-4183.25300,128.68200,5007.70100,17397.93000
2016-12-31,1596.05900,946.23600,2542.29500,11606.31000,189.66800,2552.96800,18272.55000,20814.85000,397.13400,9446.67000,814.65800,12799.22000,13196.35000,7.54200,-1419.38200,118.97200,7618.49600,20814.85000
2015-12-31,1943.50600,1029.30700,2972.81300,14671.87000,227.90100,2753.26800,18170.48000,21143.29000,443.95500,11091.01000,890.55900,13223.26000,13667.21000,7.52100,-1766.78000,46.92100,7476.07800,21143.29000
2014-12-31,1374.68100,897.26900,2271.95000,13660.72000,225.15500,2383.58900,18886.03000,21157.98000,447.74500,9530.33700,851.72700,13220.85000,13668.60000,7.49300,-1505.38500,93.26700,7489.38200,21157.98000
2013-12-31,845.73000,911.11800,1756.84800,14122.23000,307.43600,2631.75400,18340.38000,20097.22000,422.27600,9978.71800,1081.87700,12080.20000,12502.48000,7.46900,-1734.83900,71.53700,7594.74400,20097.22000
2012-12-31,1143.57500,953.90900,2322.84300,15165.95000,415.33000,3084.35000,19742.21000,22065.05000,484.74600,11127.23000,1102.20100,13676.16000,14160.91000,7.44000,-1573.27500,-18.94600,7904.14400,22065.05000
2011-12-31,704.62100,874.15800,1725.85400,13809.38000,287.84400,3209.01000,18720.63000,20446.49000,423.51200,10076.61000,756.96900,12514.53000,12938.04000,7.37300,-1401.70400,73.72900,7508.44700,20446.49000
2010-12-31,891.61100,852.63200,1959.84200,14672.66000,346.15700,2664.66800,18557.63000,20517.47000,438.47900,10889.44000,750.24100,13248.59000,13687.07000,7.31700,-1480.87600,73.45300,6830.40500,20517.47000
2009-12-31,869.42900,827.55000,1913.41500,15132.90000,439.54900,2051.01200,18272.06000,20185.47000,475.24200,10685.70000,824.22800,13060.82000,13536.07000,7.21800,-1577.59100,28.44900,6649.40600,20185.47000
