,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,563.66100,2341.50400,2214.55300,6383.16900,12046.64000,2122.75800,788.05700,10875.90000,13897.30000,25943.94000,5859.31800,9755.82500,521.89700,11224.71000,17084.02000,90.52300,15661.81000,-1543.19800,8859.92000,25943.94000
2021-06-30,772.23300,2183.59400,2090.64200,243.96600,5616.75000,2266.47600,774.23900,11579.48000,14724.45000,20341.20000,3096.50300,6582.05300,639.35500,8831.02700,11927.53000,90.52300,14915.50000,-1566.72700,8413.67000,20341.20000
2020-06-30,756.31900,1854.39800,1964.19500,214.98600,5034.76800,2292.73500,764.56300,11668.85000,14852.98000,19887.75000,3148.37300,7652.25600,539.08900,10497.61000,13645.98000,90.52300,13643.91000,-2558.87500,6241.77000,19887.75000
2019-06-30,3370.69800,2131.05400,1678.13200,182.49400,7673.08600,1768.28700,747.77300,7237.08200,9903.60400,17576.69000,3151.77300,6520.83100,438.48900,8456.76500,11608.54000,90.52300,12777.54000,-2059.04800,5968.15200,17576.69000
2018-06-30,855.13200,2145.51700,1621.30400,134.88600,5085.23800,1856.23700,801.04900,7519.94000,10234.85000,15320.09000,3197.48300,4318.55900,526.08900,6257.11100,9454.59400,90.52300,11625.97000,-1763.08600,5865.49300,15320.09000
2017-06-30,924.20400,1930.75100,1549.49400,120.28200,4779.71800,1937.29200,842.47500,7894.36200,10710.19000,15489.90000,3395.86000,4861.89500,336.93100,6826.69800,10222.56000,90.52300,10930.35000,-1924.20400,5267.34600,15489.90000
2016-06-30,2103.99500,1593.92000,1173.32900,104.36000,5207.78700,1568.10000,827.49200,3825.60800,6826.35500,12034.14000,2365.88800,2652.45700,306.58100,5089.57600,7455.46400,90.52300,10302.87000,-2227.76500,4578.67800,12034.14000
2015-06-30,1914.07400,1620.19400,1300.45900,241.68400,5440.94500,1664.02200,811.93000,3956.11800,6838.33700,12279.28000,2349.12000,2723.96000,336.21400,4822.59300,7171.71300,90.52300,9841.88500,-1738.61800,5107.56900,12279.28000
2014-06-30,2187.25600,1858.17600,1371.68100,129.83700,6071.58000,1824.29400,1018.78100,4359.70700,7202.78200,13274.36000,3252.79600,1508.14200,409.57300,3358.75800,6611.55400,90.52300,9174.18900,-823.49800,6662.80800,13274.36000
2013-06-30,1781.41200,1840.82000,1377.40500,182.66900,5531.18600,1808.24000,687.45800,4514.01400,7009.71200,12540.90000,3520.20300,1495.96000,307.89700,3279.21400,6799.41700,90.52300,8421.27000,-1107.83300,5741.48100,12540.90000
2012-06-30,838.31700,1992.28400,1400.73200,137.42900,4498.11400,1719.96800,931.12600,4021.07400,6672.16800,11170.28000,2486.01300,1503.94600,276.74700,3778.53900,6264.55200,90.52300,7787.17500,-1415.90000,4905.73000,11170.28000
2011-06-30,657.46600,1977.85600,1412.15300,111.93400,4305.25600,1797.17900,597.53200,4186.83800,6581.54900,10886.80000,2391.04300,1691.08600,293.36700,3007.42600,5398.46900,90.52300,6891.40700,-450.99000,5488.33600,10886.80000
2010-06-30,575.52600,1599.94100,1171.65500,111.54500,3588.79600,1697.88100,687.32000,3936.38500,6321.58600,9910.38200,2204.89100,1413.63400,196.20800,3246.09100,5450.98200,90.52300,6086.54500,-1208.56100,4459.40000,9910.38200
2009-06-30,187.61100,1417.30500,1254.55000,142.33500,3123.78100,1880.55400,674.62800,4176.93900,6732.12100,9855.90200,2005.75400,1839.70500,243.27500,3499.70800,5505.46200,90.52300,5722.03800,-843.01900,4350.44000,9855.90200
