,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,5911.00000,,13902.00000,1760.00000,21573.00000,28181.00000,1501.00000,32238.00000,53811.00000,21747.00000,13549.00000,1629.00000,19237.00000,40984.00000,39.00000,6920.00000,-553.00000,12827.00000,53811.00000
2021-01-31,8511.00000,,10653.00000,1592.00000,20756.00000,26879.00000,1386.00000,30492.00000,51248.00000,20125.00000,11536.00000,1939.00000,16683.00000,36808.00000,42.00000,8825.00000,-756.00000,14440.00000,51248.00000
2020-01-31,2577.00000,,8992.00000,1333.00000,12902.00000,26283.00000,1358.00000,29877.00000,42779.00000,14487.00000,11338.00000,1724.00000,16459.00000,30946.00000,42.00000,6433.00000,-868.00000,11833.00000,42779.00000
2019-01-31,1556.00000,,9497.00000,1466.00000,12519.00000,25533.00000,1273.00000,28771.00000,41290.00000,15014.00000,10223.00000,1780.00000,14979.00000,29993.00000,43.00000,6017.00000,-805.00000,11297.00000,41290.00000
2018-01-31,2643.00000,,8597.00000,1300.00000,12540.00000,24536.00000,1343.00000,27763.00000,40303.00000,13052.00000,11117.00000,1866.00000,15600.00000,28652.00000,45.00000,6495.00000,-747.00000,11651.00000,40303.00000
2017-01-31,2512.00000,,8309.00000,1169.00000,11990.00000,24658.00000,783.00000,25441.00000,37431.00000,12707.00000,11031.00000,1879.00000,13771.00000,26478.00000,46.00000,5884.00000,-638.00000,10953.00000,37431.00000
2016-01-31,4046.00000,,8601.00000,1161.00000,14130.00000,25217.00000,840.00000,26132.00000,40262.00000,12622.00000,11945.00000,1897.00000,14683.00000,27305.00000,50.00000,8188.00000,-629.00000,12957.00000,40262.00000
2015-01-31,2210.00000,,8282.00000,2074.00000,13624.00000,25952.00000,879.00000,27548.00000,41172.00000,11736.00000,12634.00000,1452.00000,15439.00000,27175.00000,53.00000,9644.00000,-599.00000,13997.00000,41172.00000
2014-01-31,670.00000,,8278.00000,1832.00000,11573.00000,26412.00000,1107.00000,32980.00000,44553.00000,12777.00000,11429.00000,1471.00000,15545.00000,28322.00000,53.00000,12599.00000,-891.00000,16231.00000,44553.00000
2013-01-31,784.00000,5841.00000,7903.00000,1860.00000,16388.00000,30653.00000,1122.00000,31775.00000,48163.00000,14031.00000,14654.00000,1609.00000,17574.00000,31605.00000,54.00000,13155.00000,-576.00000,16558.00000,48163.00000
2012-01-31,794.00000,5927.00000,7918.00000,1810.00000,16449.00000,29149.00000,1032.00000,30181.00000,46630.00000,14287.00000,13697.00000,1634.00000,16522.00000,30809.00000,56.00000,12959.00000,-681.00000,15821.00000,46630.00000
2011-01-31,1712.00000,6153.00000,7596.00000,1752.00000,17213.00000,25493.00000,999.00000,26492.00000,43705.00000,10070.00000,15607.00000,1607.00000,18148.00000,28218.00000,59.00000,12698.00000,-581.00000,15487.00000,43705.00000
2010-01-31,2200.00000,6966.00000,7179.00000,2079.00000,18424.00000,25280.00000,829.00000,26109.00000,44533.00000,11327.00000,15118.00000,1906.00000,17859.00000,29186.00000,62.00000,12947.00000,-581.00000,15347.00000,44533.00000
2009-01-31,864.00000,8084.00000,6705.00000,1835.00000,17488.00000,25756.00000,862.00000,26618.00000,44106.00000,10512.00000,17490.00000,1937.00000,19882.00000,30394.00000,63.00000,11443.00000,-556.00000,13712.00000,44106.00000
