,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1499.14200,1376.78900,2076.03100,234.95500,5186.91700,6962.99700,1150.55300,1905.49700,250.55800,10269.60000,15456.52000,2741.01500,3214.97200,636.59600,4524.66000,7265.67500,1.17200,5601.27700,-560.66200,8190.84700,15456.52000
2021-12-31,439.27200,623.10600,798.62000,132.68300,1993.68100,5909.61600,912.00800,1906.57400,252.23900,8980.43800,10974.12000,1874.33500,2004.31900,663.69800,3294.17600,5168.51100,1.17000,3096.53900,-392.45000,5805.60700,10974.12000
2020-12-31,746.72400,592.79600,750.23700,116.42700,2206.18400,5354.62500,656.24400,2014.62500,219.26800,8244.76200,10450.95000,1801.84900,2767.38100,629.37700,4180.50300,5982.35200,1.06900,3155.25200,-326.13200,4468.59400,10450.95000
2019-12-31,613.11000,680.20200,768.98400,162.81300,2225.10900,4909.47300,579.81300,1933.40700,213.06100,7635.75400,9860.86300,1408.99600,2862.92100,754.53600,4358.28700,5767.28300,1.06100,2943.47800,-395.73500,4093.58000,9860.86300
2018-12-31,555.32000,657.77100,700.54000,84.79000,1998.42100,3021.08400,528.72200,1953.31200,80.13500,5583.25300,7581.67400,1183.17300,1397.91600,526.94200,2639.39300,3822.56600,1.05600,2566.05000,-350.68200,3759.10800,7581.67400
2017-12-31,1137.30300,572.26300,592.78100,175.21600,2477.56300,2493.31000,534.06400,2031.85800,213.97700,5273.20900,7750.77200,1200.92500,1415.36000,599.78800,2732.15100,3933.07600,1.10500,2035.16300,-225.66800,3817.69600,7750.77200
2016-12-31,2269.75600,528.02000,450.26300,58.57900,3306.61800,2360.14000,457.53300,1894.59600,142.32000,4854.58800,8161.20700,1140.10300,2121.71800,194.81000,3078.50000,4218.60300,1.12500,2121.93100,-412.41200,3942.60400,8161.20700
2015-12-31,213.73400,472.90100,439.51300,62.92200,1831.00200,2321.09500,435.58400,1844.42000,3165.85300,7766.95200,9597.95400,1616.68500,3142.16300,703.31100,4579.95600,6196.64100,1.12200,1615.40700,-421.28800,3401.31300,9597.95400
2014-12-31,2489.76800,434.63500,358.36100,66.08600,3348.85000,1231.86800,194.04200,287.38700,160.95600,1874.25300,5223.10300,1139.88600,2223.03500,87.70500,2594.58200,3734.46800,0.78000,1410.65100,-62.41300,1488.63500,5223.10300
2013-12-31,477.23900,491.95800,436.04900,77.66900,1482.91500,1357.06900,212.17800,372.40600,160.22900,2101.88200,3584.79700,436.36300,1054.31000,110.61000,1405.65800,1842.02100,0.80100,1500.35800,116.24500,1742.77600,3584.79700
2012-12-31,477.69600,422.81700,428.14500,78.65500,1407.31300,1296.57100,207.14100,371.43000,154.83600,2029.97800,3437.29100,385.00900,686.58800,114.02200,1120.27400,1505.28300,0.88900,1744.68400,85.26400,1932.00800,3437.29100
2011-12-31,469.41600,391.57100,431.49500,63.13800,1355.62000,1129.48000,198.42700,403.42600,116.87100,1848.20400,3203.82400,401.17800,749.25700,111.10700,1123.81900,1524.99700,0.88800,1514.86600,60.32900,1678.82700,3203.82400
2010-12-31,529.65000,374.66000,389.21000,54.67800,1348.19800,1006.31300,180.69000,407.00200,125.87800,1719.88300,3068.08100,364.17700,851.92700,108.81100,1228.15800,1592.33500,0.91600,1560.51900,-164.19600,1475.74600,3068.08100
2009-12-31,308.79100,329.21500,347.50600,46.57500,1032.08700,1026.88300,146.08400,443.24400,123.25900,1739.47000,2771.55700,353.26400,776.40300,104.78200,1164.97500,1518.23900,0.91500,1287.98300,-91.86000,1253.31800,2771.55700
