,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2021-12-31,5051.00000,693.00000,5744.00000,538.00000,138664.00000,3071.00000,151798.00000,157542.00000,105072.00000,7956.00000,6922.00000,19217.00000,124289.00000,135.00000,41381.00000,7393.00000,33253.00000,157542.00000
2020-12-31,5141.00000,796.00000,5937.00000,601.00000,145392.00000,2715.00000,159149.00000,165086.00000,114391.00000,7899.00000,4576.00000,17136.00000,131527.00000,135.00000,37984.00000,8934.00000,33559.00000,165086.00000
2019-12-31,4896.00000,828.00000,5724.00000,581.00000,133967.00000,2368.00000,147044.00000,152768.00000,106554.00000,6569.00000,5316.00000,17255.00000,123809.00000,135.00000,34291.00000,6615.00000,28959.00000,152768.00000
2018-12-31,4337.00000,851.00000,5188.00000,443.00000,122679.00000,2221.00000,135218.00000,140406.00000,103188.00000,5778.00000,3958.00000,13756.00000,116944.00000,135.00000,31788.00000,2151.00000,23462.00000,140406.00000
2017-12-31,3491.00000,827.00000,4318.00000,434.00000,120937.00000,2023.00000,132899.00000,137217.00000,99147.00000,5289.00000,3438.00000,13472.00000,112619.00000,135.00000,29895.00000,4028.00000,24598.00000,137217.00000
2016-12-31,4859.00000,669.00000,5528.00000,433.00000,112256.00000,2609.00000,124291.00000,129819.00000,93726.00000,5360.00000,4864.00000,15611.00000,109337.00000,67.00000,25981.00000,2630.00000,20482.00000,129819.00000
2015-12-31,4350.00000,705.00000,5055.00000,427.00000,102315.00000,1948.00000,113201.00000,118256.00000,87631.00000,4971.00000,3606.00000,12917.00000,100548.00000,67.00000,24007.00000,625.00000,17708.00000,118256.00000
2014-12-31,4658.00000,842.00000,5500.00000,429.00000,103445.00000,2120.00000,114267.00000,119767.00000,83933.00000,5282.00000,6912.00000,17487.00000,101420.00000,67.00000,22156.00000,1979.00000,18347.00000,119767.00000
2013-12-31,2543.00000,1165.00000,3708.00000,481.00000,106714.00000,1606.00000,117599.00000,121307.00000,89402.00000,4897.00000,8670.00000,17285.00000,106687.00000,67.00000,19885.00000,-563.00000,14620.00000,121307.00000
2012-12-31,2041.00000,976.00000,3017.00000,564.00000,117020.00000,835.00000,128077.00000,131094.00000,97720.00000,4352.00000,9186.00000,17396.00000,115116.00000,67.00000,17387.00000,2715.00000,15978.00000,131094.00000
2011-12-31,2249.00000,680.00000,2929.00000,617.00000,102015.00000,887.00000,113308.00000,116237.00000,94593.00000,3285.00000,3105.00000,8698.00000,103291.00000,66.00000,15148.00000,1965.00000,12946.00000,116237.00000
2010-12-31,2121.00000,661.00000,2782.00000,620.00000,86847.00000,1056.00000,98257.00000,101039.00000,82456.00000,3038.00000,2520.00000,7527.00000,89983.00000,66.00000,14194.00000,862.00000,11056.00000,101039.00000
2009-12-31,2323.00000,764.00000,3087.00000,593.00000,71518.00000,375.00000,81019.00000,84106.00000,69245.00000,2599.00000,2192.00000,6444.00000,75689.00000,66.00000,12410.00000,29.00000,8417.00000,84106.00000
