,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,217.48200,2991.75300,122.40600,257.59700,3589.23800,159.43200,1534.83900,117.31200,2365.32600,5954.56400,3322.85200,920.04900,30.24300,1278.29000,4601.14200,11.63200,5590.44000,-88.86000,1353.42200,5954.56400
2021-12-31,257.41300,3963.48700,129.59300,453.66000,4804.15300,139.83100,1574.36000,92.30900,2223.95900,7028.11200,3326.34200,1393.64900,28.70500,1679.83600,5006.17800,12.91900,4936.86100,-61.13400,2021.93400,7028.11200
2020-12-31,243.79600,2449.57700,51.15200,197.17600,2941.70100,178.94900,1601.09700,84.08600,2202.55700,5144.25800,1839.73200,1093.30100,40.53800,1424.59300,3264.32500,13.43000,4372.83300,-45.99800,1879.93300,5144.25800
2019-12-31,447.85800,1974.38100,85.00500,132.87400,2640.11800,208.42300,1382.69100,85.48300,2000.94200,4641.06000,1556.03800,1092.44800,22.62400,1414.29200,2970.33000,13.49000,4144.83400,-76.14900,1670.73000,4641.06000
2018-12-31,378.61500,2162.43800,52.38600,159.63500,2753.07400,228.30100,1367.74400,68.30000,1674.33800,4427.41200,1433.32300,1341.35200,21.89300,1399.00200,2832.32500,13.72800,3845.59300,-71.93500,1595.08700,4427.41200
2017-12-31,333.89000,2113.93000,63.11600,,2510.93600,230.32600,1427.40100,60.30100,1724.89800,4235.83400,1987.44900,750.00000,27.28500,822.64000,2810.08900,13.95400,3437.09300,-18.46000,1425.74500,4235.83400
2016-12-31,247.66600,1711.19100,49.24500,,2008.10200,232.95300,1400.32100,44.13200,1679.65600,3687.75800,1845.71800,500.00000,19.07100,584.19300,2429.91100,14.12600,3190.57800,-61.44200,1257.84700,3687.75800
2015-12-31,168.22900,1505.62000,40.06100,,1730.69800,190.87400,1228.57900,34.20700,1453.66000,3184.35800,1448.59700,500.00000,19.85100,585.31100,2033.90800,14.34500,2922.62000,-37.94600,1150.45000,3184.35800
2014-12-31,488.32800,1571.59100,37.79400,,2105.45900,152.47100,923.36800,33.04000,1108.87900,3214.33800,1575.86000,500.00000,24.50200,591.46300,2167.32300,14.64600,2648.53900,-28.61000,1047.01500,3214.33800
2013-12-31,162.04700,1449.58100,44.57100,,1664.48500,160.70300,946.54000,31.09000,1138.33300,2802.81800,1269.98100,500.00000,22.49500,593.11300,1863.09400,15.02000,2413.83300,-10.62000,939.72400,2802.81800
2012-12-31,210.01900,1412.13600,38.35500,,1672.29000,149.85100,959.62600,22.45800,1131.93500,2804.22500,1232.21700,,22.52300,67.63600,1299.85300,16.13300,2218.22900,-9.34500,1504.37200,2804.22500
2011-12-31,373.66900,1189.63700,39.85500,,1611.54300,126.83000,369.71700,29.95100,526.49800,2138.04100,876.63200,,12.09300,12.93500,889.56700,16.34400,1845.03200,-9.11500,1248.47400,2138.04100
2010-12-31,407.89700,1036.07000,32.33500,,1481.76800,114.33300,372.61100,19.15100,513.93100,1995.69900,771.60700,,20.02400,20.02400,791.63100,16.60500,1613.91200,-6.42500,1204.06800,1995.69900
2009-12-31,385.61800,885.54300,29.65400,,1307.26900,117.69900,380.03700,14.82100,526.97900,1834.24800,731.80700,,22.54100,22.54100,754.34800,16.71000,1402.30600,-1.63600,1079.90000,1834.24800
