,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,894.38500,491.14500,325.01900,532.96200,14.40400,2257.91500,418.68300,110.77700,456.67300,40.68600,1243.33700,3501.25200,746.26300,,75.11600,303.69500,1049.95800,19.47000,725.72900,-49.86800,2451.29400,3501.25200
2021-12-31,1366.43000,550.74900,243.33000,406.26600,9.45200,2576.22700,387.24000,133.85800,501.65900,39.20600,1233.19800,3809.42500,805.12000,89.24400,84.05000,441.86100,1246.98100,20.28100,736.56600,-5.94800,2562.44400,3809.42500
2020-12-31,1436.40100,497.50600,222.18900,250.09200,9.24600,2415.43400,394.80000,117.98000,554.79800,26.85200,1236.91200,3652.34600,700.87100,376.76800,105.29600,744.45700,1445.32800,20.76500,387.41400,33.51600,2207.01800,3652.34600
2019-12-31,911.22700,362.36800,196.69100,188.59800,,1658.88400,320.21600,104.49000,541.91100,28.78900,1128.13000,2787.01400,539.02900,394.68700,132.77600,767.82700,1306.85600,20.80100,-241.91800,-18.85400,1480.15800,2787.01400
2018-12-31,1116.84800,291.26700,153.54100,170.82600,,1732.48200,279.82100,87.73100,507.33200,28.39200,974.12410,2706.60600,476.28700,,537.09700,707.96500,1184.25200,21.94000,-158.19100,-13.04000,1522.35400,2706.60600
2017-12-31,1777.82200,272.78300,107.52500,112.15100,,2270.28100,268.44700,125.92600,331.09900,29.76600,839.26400,3109.54500,454.33600,365.98700,178.95300,701.56300,1155.89900,24.44400,272.01300,18.77600,1953.64600,3109.54500
2016-12-31,1178.90800,192.44400,135.95800,116.49300,,1623.80300,253.82100,433.84300,323.74400,19.87700,1138.69000,2762.49300,372.69600,352.66900,65.92400,561.13800,933.83400,24.89700,230.29200,-20.21400,1828.65900,2762.49300
2015-12-31,742.40100,211.29300,153.58800,91.51900,6.19400,1259.96800,273.41400,265.92800,728.24400,13.71600,1288.70600,2548.67400,372.85700,,54.09200,210.03100,582.88800,25.45500,467.82800,-8.14400,1965.78600,2548.67400
2014-12-31,828.04300,151.03400,105.12900,95.81900,6.58200,1243.84600,329.03800,470.78900,464.03800,23.31500,1294.67400,2538.52000,291.55100,,16.28500,167.98900,459.54000,27.07700,610.07900,4.68900,2078.98000,2538.52000
2013-12-31,928.52000,157.64200,137.93900,136.37400,7.32400,1440.27700,275.23600,271.07800,614.08300,23.93300,1189.54700,2629.82400,475.63200,,23.13900,169.09800,644.73000,23.96600,566.23200,4.00000,1985.09400,2629.82400
2012-12-31,770.43600,153.42300,139.41000,90.93100,4.55600,1236.06100,265.78200,235.87200,668.13900,18.11900,1193.28400,2429.34500,297.82800,171.05900,21.30200,353.16200,650.99000,23.48800,401.28500,5.82000,1778.35500,2429.34500
2011-12-31,670.23800,129.33000,160.06300,86.30800,,1099.88700,232.20700,84.40700,745.75310,26.38500,1088.75200,2188.63900,373.68400,159.95600,23.71100,309.89500,683.57900,22.94800,184.23600,4.74600,1505.06000,2188.63900
2010-12-31,806.79800,168.75600,116.84100,52.78000,,1176.61800,231.10800,248.69600,122.94100,30.52300,633.73700,1810.35500,363.70400,150.18200,19.44800,324.46300,688.16700,22.75500,-41.87600,-128.21600,1122.18800,1810.35500
2009-12-31,463.67000,125.23600,90.83600,63.60600,,762.29200,246.36200,55.13000,152.19200,19.36100,473.04500,1235.33700,283.35700,141.10000,20.84100,287.40100,570.75800,21.86400,-421.60600,-138.10500,664.57900,1235.33700
