,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2211.80000,8558.90000,4309.70000,2954.10000,18034.50000,10144.00000,2901.80000,11279.60000,4337.00000,31455.30000,49489.80000,17138.20000,14737.50000,5446.30000,21576.20000,38714.40000,594.10000,10042.60000,-3844.60000,-3013.20000,10775.40000,49489.80000
2021-12-31,3908.60000,8127.20000,3886.00000,2530.60000,18452.40000,8985.10000,3212.60000,11583.90000,4082.70000,30353.60000,48806.00000,15052.70000,15346.40000,5564.30000,24598.50000,39651.20000,596.30000,8958.50000,-4343.10000,-3013.20000,9154.80000,48806.00000
2020-12-31,3681.30000,6929.00000,3980.30000,2871.50000,17462.10000,8681.90000,2966.80000,11216.50000,3475.40000,29171.00000,46633.10000,12481.60000,16586.60000,5545.30000,28326.30000,40807.90000,598.20000,7830.20000,-6496.40000,-3013.20000,5825.20000,46633.10000
2019-12-31,2438.50000,5541.50000,3190.70000,2538.90000,13709.60000,7872.90000,1962.40000,10297.40000,2871.20000,25576.50000,39286.10000,11775.20000,13817.90000,5108.20000,24811.80000,36587.00000,598.80000,4920.40000,-6523.60000,-3013.20000,2699.10000,39286.10000
2018-12-31,7408.90000,5776.80000,3098.10000,2036.70000,20549.60000,7996.10000,2005.40000,2434.60000,1824.90000,23358.80000,43908.40000,11888.10000,9196.40000,5057.60000,21111.20000,32999.30000,661.00000,11395.90000,-5729.20000,-3013.20000,10909.10000,43908.40000
2017-12-31,8034.10000,5262.20000,4458.30000,1447.50000,19202.10000,8826.50000,5678.80000,8399.30000,1707.90000,25778.90000,44981.00000,14535.90000,9940.50000,5322.80000,18777.20000,33313.10000,687.90000,13894.10000,-5718.60000,-3013.20000,11667.90000,44981.00000
2016-12-31,6038.60000,4766.30000,3561.90000,734.60000,15101.40000,8252.60000,5207.50000,8330.60000,1913.80000,23704.50000,38805.90000,10986.60000,8367.80000,2917.10000,13738.80000,24725.40000,688.50000,16046.30000,-5274.00000,-3013.20000,14080.50000,38805.90000
2015-12-31,4451.80000,4071.60000,3445.80000,604.40000,12573.60000,8053.50000,3646.60000,9074.69900,2220.50000,22995.30000,35568.90000,8229.60000,7972.40000,2616.30000,12749.00000,20978.60000,691.30000,16011.80000,-4580.70000,-3013.20000,14590.30000,35568.90000
2014-12-31,4827.00000,3801.30000,2740.00000,560.00000,11928.30000,7963.90000,4568.90000,4642.30000,7204.20000,24379.30000,36307.60000,9741.00000,5332.80000,3282.80000,11178.50000,20919.50000,694.60000,16482.70000,-3991.80000,-3013.20000,15388.10000,36307.60000
2013-12-31,5397.30000,4022.80000,2928.80000,755.80000,13104.70000,7975.50000,7624.90000,4331.10000,2212.50000,22144.00000,35248.70000,8916.60000,4200.30000,2941.70000,8691.39900,17608.00000,698.50000,16992.40000,-2002.70000,-3013.20000,17640.70000,35248.70000
2012-12-31,5684.30000,3888.30000,2643.80000,822.30000,13038.70000,7760.20000,6313.90000,4752.70000,2533.40000,21360.20000,34398.90000,8389.50000,5519.40000,2703.70000,11235.50000,19625.00000,716.60000,16088.20000,-3797.10000,-3013.20000,14773.90000,34398.90000
2011-12-31,6897.10000,4237.90000,2299.80000,813.40000,14248.20000,7760.30000,4029.80000,5128.10000,2493.40000,19411.60000,33659.80000,8930.90000,5464.70000,2660.10000,11193.30000,20124.20000,724.10000,14897.80000,-3858.60000,-3013.10000,13535.60000,33659.80000
2010-12-31,6727.00000,4158.10000,2517.70000,1437.20000,14840.00000,7940.70000,1779.50000,4818.80000,1622.40000,16161.40000,31001.40000,6926.90000,6770.50000,3003.80000,11661.70000,18588.60000,721.30000,12732.60000,-2670.10000,-3013.20000,12412.80000,31001.40000
2009-12-31,4497.60000,3831.80000,2849.90000,1307.20000,12486.50000,8197.40000,1155.80000,3699.80000,1921.40000,14974.40000,27460.90000,6568.10000,6634.70000,2398.10000,11367.50000,17935.60000,718.70000,9830.40000,-2471.90000,-3013.20000,9525.30000,27460.90000
