,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1624.00000,246.40000,106.10000,36.90000,2013.40000,4515.50000,248.60000,4428.40000,192.90000,15488.70000,17502.10000,1158.70000,6692.00000,117.90000,12746.80000,13905.50000,1.70000,154.50000,-168.60000,3596.60000,17502.10000
2021-12-31,1863.90000,195.00000,132.30000,32.40000,2223.60000,4582.20000,255.10000,4695.10000,263.10000,14648.50000,16872.10000,1133.20000,6695.10000,129.00000,11641.80000,12775.00000,1.70000,-86.50000,-54.40000,4097.10000,16872.10000
2020-12-31,1853.80000,96.40000,103.50000,31.30000,2085.00000,4529.30000,266.80000,2670.60000,297.90000,12582.30000,14667.30000,860.00000,10905.80000,119.40000,11151.50000,12011.50000,1.60000,-507.30000,0.00000,2655.80000,14667.30000
2019-12-31,437.40000,88.70000,76.70000,40.00000,642.80000,5120.20000,128.30000,3297.20000,168.70000,13551.70000,14194.50000,905.60000,6424.40000,98.00000,11437.00000,12342.60000,1.20000,161.60000,,1851.90000,14194.50000
2018-12-31,479.60000,106.80000,63.00000,28.20000,677.60000,6868.80000,128.50000,3085.30000,120.20000,10283.40000,10961.00000,738.40000,9430.70000,60.70000,9491.40000,10229.80000,1.20000,-968.00000,,731.20000,10961.00000
2017-12-31,277.95300,62.80500,43.78000,16.49400,401.03200,2756.66900,148.91200,1430.70300,85.65300,4833.78000,5234.81200,530.00900,4697.19800,80.75100,4777.94900,5307.95800,0.93300,-1051.81800,-1.45300,-73.14600,5234.81200
2016-12-31,229.51000,61.85500,59.70700,48.19300,399.26500,2820.38300,156.17600,1425.17900,82.08000,4575.21900,4974.48400,536.31600,4787.42400,67.14000,4981.48800,5517.80400,0.93200,-1525.28100,-4.67600,-543.32000,4974.48400
2015-12-31,237.00900,45.18600,76.78400,13.49700,372.47600,2980.06800,168.14900,1303.38400,116.95300,4766.27600,5138.75200,557.77400,5132.93100,18.16900,5259.02100,5816.79500,0.83000,-1634.59100,-4.55400,-678.04300,5138.75200
2014-12-31,208.67300,41.61800,70.78500,11.18900,332.26500,2669.73200,179.55100,1293.63700,87.31800,4292.28600,4624.55100,484.58700,4775.20600,34.48200,4847.97800,5332.56500,0.81300,-1635.27700,-1.28200,-708.01400,4624.55100
2013-12-31,292.99500,52.53800,53.14500,29.52100,469.61300,2516.88000,193.33100,1186.21100,101.55200,3997.97400,4467.58700,408.44900,4510.19000,28.64800,4609.99000,5018.43900,0.79900,-1448.95500,0.38300,-550.85200,4467.58700
2012-12-31,260.46700,53.72000,94.62000,38.54000,487.14000,2730.79700,204.50600,2087.16600,98.44900,5156.91700,5644.05700,499.61900,2649.07300,28.07900,2893.50900,3393.12800,0.76900,795.17300,3.02200,2250.92900,5644.05700
2011-12-31,238.44000,56.52700,39.80100,48.71500,415.78900,2277.20000,174.11600,1601.95200,103.97900,4190.55700,4606.34600,426.34000,1998.60600,42.19300,2208.37500,2634.71500,0.75600,583.20200,2.31800,1971.63100,4606.34600
2010-12-31,246.38500,44.46300,72.39300,77.50600,465.95300,1965.77400,64.12000,1600.90800,107.88200,3996.92600,4462.87900,691.52900,1813.19600,45.81600,1993.58400,2685.11300,0.77900,337.94000,-7.88500,1777.76600,4462.87900
2009-12-31,713.11800,80.16600,70.94700,41.02100,928.87100,1837.50400,26.30500,1766.49200,112.55500,3783.74500,4712.61600,430.25600,2248.70600,54.47100,2430.28400,2860.54000,0.78600,397.40700,-26.02800,1852.07600,4712.61600
