,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,667.62300,1904.78600,2793.76500,498.22200,30.70300,5895.09900,4661.17800,2785.70700,8225.33300,14120.43000,3070.28500,1978.56300,312.87400,3032.23300,6102.51800,0.70900,7409.76000,-1114.25800,8017.91400,14120.43000
2021-12-31,591.89500,1839.98500,2391.67200,394.64900,20.15600,5238.35700,4636.86500,3507.88900,8986.16000,14224.52000,2946.35500,1700.28200,356.75300,2849.94600,5796.30100,0.72900,7692.06400,-966.95200,8428.21600,14224.52000
2020-12-31,1340.36600,1709.49300,1913.02000,369.43200,31.34300,5363.65400,4591.22900,3602.43800,8964.09700,14327.75000,2371.24800,2356.88700,330.06400,3415.34500,5786.59300,0.77600,7559.19100,-695.14500,8541.15800,14327.75000
2019-12-31,177.28500,1526.61900,2282.32800,415.54600,27.67900,4429.45700,4698.91700,3498.90600,8957.22400,13386.68000,2712.58300,1518.38800,327.22000,2547.64900,5260.23200,0.79000,7232.33700,-765.82400,8126.44800,13386.68000
2018-12-31,119.05000,1606.15900,2287.61500,421.55300,74.91900,4509.29600,4699.90200,3482.77600,8589.82700,13099.12000,3266.23900,1515.60100,463.48400,2392.82500,5659.06400,0.79700,6588.19700,-791.60800,7440.05900,13099.12000
2017-12-31,84.88400,1558.15900,1948.66300,376.83600,104.42500,4072.96700,4270.79000,3363.22600,8021.88600,12094.85000,2655.35500,1559.89500,455.02800,2372.48900,5027.84400,0.81800,6004.50600,-558.52700,7067.00900,12094.85000
2016-12-31,121.66500,1376.15100,1675.75100,267.72400,30.22100,3471.51200,3370.34800,3109.03200,6759.08400,10230.60000,2718.32000,1128.74700,214.93000,1728.78900,4447.10900,0.81500,5032.91400,-833.02700,5783.48700,10230.60000
2015-12-31,81.69200,1257.50500,1607.25600,258.63300,44.88600,3249.97200,3147.11800,3229.90600,6684.42800,9934.40000,3259.02800,1188.96400,215.46300,1814.50900,5073.53700,0.81300,4102.70700,-793.56800,4860.86300,9934.40000
2014-12-31,97.87700,1081.96300,1543.31300,225.75900,31.57400,2980.48600,2703.21000,2306.36100,5305.05800,8285.54400,1946.72400,1402.13500,103.10800,1916.00700,3862.73100,0.81100,3487.07900,-429.32100,4422.81300,8285.54400
2013-12-31,54.06600,1062.87500,1572.32500,204.03400,44.88400,3085.71800,2701.74300,2547.69400,5408.45900,8494.17700,1320.81100,2132.79000,124.44700,2703.06000,4023.87100,0.80800,2953.80900,178.68900,4470.30600,8494.17700
2012-12-31,477.67200,679.47300,1133.73600,138.11700,9.46300,2550.04600,1692.85200,1939.57000,3753.63800,6303.68400,828.64900,1327.72900,97.87900,1755.41800,2584.06700,0.80200,2605.02300,159.73300,3719.61700,6303.68400
2011-12-31,311.94500,686.16500,1113.63000,112.77900,22.73500,2398.16400,1712.15400,1980.27500,3808.06400,6206.22800,1101.34600,1200.18400,99.53700,1689.09700,2790.44300,0.79800,2354.76500,135.63900,3415.78500,6206.22800
2010-12-31,382.17100,614.47300,1007.50300,91.73100,19.43100,2248.61300,1687.12400,2046.52100,3850.31300,6098.92600,1048.91400,1302.99400,93.51800,1778.45600,2827.37000,0.79700,2180.84300,178.09700,3271.55600,6098.92600
2009-12-31,531.45800,673.93100,892.98100,108.94700,20.69300,2359.00000,1791.41200,2196.47000,4032.44600,6391.44600,884.02200,1801.57200,100.66700,2306.60100,3190.62300,0.79500,1998.61600,296.91700,3200.82300,6391.44600
