,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2021-12-31,29958.00000,1781.00000,1735.00000,33474.00000,3613.00000,10566.00000,4951.00000,4219.00000,26162.00000,59636.00000,11689.00000,10733.00000,625.00000,13925.00000,25614.00000,,22779.00000,-1.00000,,34022.00000,59636.00000
2020-12-31,24973.00000,1439.00000,1687.00000,28099.00000,2683.00000,11683.00000,4706.00000,1532.00000,22891.00000,50990.00000,10481.00000,9247.00000,552.00000,11583.00000,22064.00000,,20733.00000,30.00000,,28926.00000,50990.00000
2019-12-31,21168.00000,1294.00000,1320.00000,23782.00000,2630.00000,9970.00000,3754.00000,1264.00000,19498.00000,43280.00000,8243.00000,8358.00000,596.00000,10374.00000,18617.00000,,18137.00000,-199.00000,,24663.00000,43280.00000
2018-12-31,20573.00000,989.00000,995.00000,22557.00000,2604.00000,11702.00000,4031.00000,1422.00000,20722.00000,43279.00000,8269.00000,7985.00000,668.00000,9551.00000,17820.00000,,18798.00000,31.00000,,25459.00000,43279.00000
2017-12-31,18301.00000,729.00000,526.00000,23235.00000,1917.00000,8651.00000,3269.00000,848.00000,15454.00000,38689.00000,12611.00000,5504.00000,6.00000,7734.00000,20345.00000,,15728.00000,143.00000,,18344.00000,38689.00000
2016-12-31,12985.60000,641.64200,481.71000,14368.27000,1626.72400,6580.78100,2767.43900,319.64200,11844.81000,26213.08000,6640.07600,4964.84700,9.35500,6286.17500,12926.25000,0.00200,12348.22000,-256.80100,,13286.82000,26213.08000
2015-12-31,10501.28000,905.83400,670.08400,12077.20000,1640.54600,5859.79700,2891.44300,198.49900,10747.42000,22824.62000,4029.57800,5241.01200,19.42900,6403.82100,10433.40000,0.00200,11525.42000,-124.43400,,12391.21000,22824.62000
2014-12-31,9361.40500,590.61000,549.17700,10611.59000,1403.05000,463.99800,3383.49800,158.62200,5450.93200,16062.52000,3267.06200,3796.71600,23.29700,4316.08800,7583.15000,0.00200,7681.36100,37.37900,,8479.36800,16062.52000
2013-12-31,6390.48700,366.87500,303.16300,7107.90800,887.10500,104.85800,3385.47700,163.21800,4618.10800,11726.02000,1822.49300,2852.85900,72.78200,3186.10300,5008.59600,0.00200,5703.18700,139.27000,,6717.42000,11726.02000
2012-12-31,5277.58600,201.19800,61.05900,5565.57500,624.04700,128.97000,877.23000,125.98200,1764.78500,7330.36000,1322.05300,1563.01600,,1805.83100,3127.88400,0.00200,3858.40000,-12.56400,,4202.47600,7330.36000
2011-12-31,2272.67000,92.93000,90.85000,2456.46000,425.35000,113.82000,518.94000,95.10000,1161.28000,3617.78000,683.01000,357.73000,23.07000,404.29000,1087.32000,0.00230,2108.67000,,147.43000,2530.45000,3617.78000
2010-12-31,1213.11000,43.94000,42.74000,1299.80000,240.11000,42.61000,26.56000,21.50000,335.34000,1635.16000,377.67000,12.72000,,13.46000,391.14000,0.00220,1030.92000,,-17.37000,1244.02000,1635.16000
2009-12-31,671.57000,23.69000,14.69000,709.96000,146.24000,2.09000,27.30000,12.04000,192.62000,902.61000,205.19000,,0.60000,0.60000,205.80000,0.00220,504.38000,,-16.64000,696.80000,902.61000
