,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1536.70000,9412.30000,10949.00000,645.10000,7609.60000,3504.70000,738.30000,22174.80000,33123.80000,26398.60000,2129.90000,366.60000,2496.50000,28895.10000,0.60000,3699.30000,-986.20000,4228.70000,33123.80000
2021-12-31,2040.80000,8123.70000,10164.50000,561.40000,8733.69900,3874.20000,1775.80000,23756.10000,33920.60000,24825.00000,2202.50000,1429.00000,3631.50000,28456.50000,0.70000,4041.20000,-150.00000,5464.10000,33920.60000
2020-12-31,2207.60000,8154.30000,10361.90000,446.10000,8289.80000,4437.70000,13726.40000,34288.00000,44649.90000,23960.80000,2252.90000,12481.40000,14734.30000,38695.10000,0.60000,3548.70000,709.80000,5954.80000,44649.90000
2019-12-31,1867.10000,11286.20000,13153.30000,433.70000,16718.50000,4887.90000,2429.80000,31137.90000,44291.20000,32756.10000,2006.90000,3846.10000,5853.00000,38609.10000,1.60000,5966.40000,411.50000,5682.10000,44291.20000
2018-12-31,1254.00000,10809.50000,12063.50000,392.50000,15214.80000,6102.00000,2213.50000,29025.80000,41089.30000,30612.60000,2006.00000,3336.80000,5342.80000,35955.40000,1.60000,5759.70000,-155.40000,5133.90000,41089.30000
2017-12-31,996.80000,11027.50000,12024.30000,347.60000,12405.40000,1230.70000,2350.50000,19818.70000,31843.00000,23774.90000,1068.20000,2718.40000,3786.60000,27561.50000,1.50000,5697.30000,234.00000,4281.50000,31843.00000
2016-12-31,1032.00000,10301.20000,11333.20000,343.60000,11589.10000,1103.30000,2072.50000,18375.90000,29709.10000,22507.80000,1067.00000,2036.20000,3103.20000,25611.00000,1.50000,5296.70000,94.60000,4098.10000,29709.10000
2015-12-31,1288.30500,8731.12000,10019.42000,298.41400,13124.52000,1151.82900,2291.28500,20016.98000,30036.40000,22362.93000,1164.65600,1984.84800,3149.50400,25512.44000,1.49700,4856.67400,118.54900,4523.96700,30036.40000
2014-12-31,1318.65600,8700.21500,10018.87000,277.64500,14270.32000,1268.66100,2769.22900,21543.59000,31562.47000,23031.88000,1267.06500,2082.21500,3349.28000,26381.16000,1.49000,4809.28700,555.76700,5181.30700,31562.47000
2013-12-31,1717.18400,6832.30500,8549.48800,253.63000,14389.20000,1192.74600,2200.68900,21165.20000,29714.69000,21026.68000,1733.32400,2117.83600,3854.53100,24881.21000,1.48200,4415.87500,426.83000,4833.47900,29714.69000
2012-12-31,909.40400,6971.76400,7881.16700,250.79600,15125.35000,965.81700,1862.31300,21065.44000,28946.61000,20623.93000,1067.11300,1908.90600,3137.30700,23761.24000,1.47400,4001.09600,830.40300,5185.36600,28946.61000
2011-12-31,1166.71300,6060.18600,7226.89900,242.90800,14179.95000,1013.94300,1819.02700,19792.96000,27019.86000,19154.53000,1067.77200,1893.17500,2991.37800,22145.91000,1.46400,3586.78400,557.57600,4873.95000,27019.86000
2010-12-31,1150.51600,5540.24300,6690.75900,267.16900,13666.92000,1013.49600,2188.82500,19706.26000,26397.02000,18239.64000,1109.37600,2220.75800,3376.83600,21616.48000,1.45300,3264.02500,285.52400,4780.53700,26397.02000
2009-12-31,1318.55200,4739.66700,6058.21900,275.42000,13313.59000,1021.03000,2520.51500,19802.45000,25860.67000,17571.87000,1192.33700,2204.93100,3435.55400,21007.42000,1.44700,3054.46600,65.92500,4853.24900,25860.67000
