,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,285.20000,857.70000,134.30000,93.30000,1370.50000,1587.00000,8297.20000,293.20000,10177.40000,11547.90000,2015.20000,4820.10000,178.60000,5559.40000,7574.60000,236.60000,5256.00000,-473.70000,-5.90000,3973.30000,11547.90000
2021-12-31,224.70000,727.60000,108.40000,60.20000,1120.90000,1315.90000,8251.00000,353.10000,9920.00000,11040.90000,2291.30000,4470.10000,190.00000,5148.40000,7439.70000,236.60000,4751.60000,-295.40000,-5.90000,3601.20000,11040.90000
2020-12-31,1684.60000,630.60000,104.10000,59.00000,2478.30000,1139.40000,5588.50000,405.60000,7133.50000,9611.80000,2483.10000,3277.30000,178.10000,3918.40000,6401.50000,236.60000,4185.40000,-171.40000,-5.90000,3210.30000,9611.80000
2019-12-31,401.30000,532.10000,88.10000,187.90000,1209.40000,947.60000,5447.80000,304.20000,6699.60000,7909.00000,1359.10000,3379.50000,180.60000,3927.00000,5286.10000,236.60000,3854.60000,-354.40000,-5.90000,2622.90000,7909.00000
2018-12-31,223.60000,469.10000,100.00000,109.60000,902.30000,764.80000,5323.70000,162.40000,6250.90000,7153.20000,826.80000,2630.60000,84.60000,3170.70000,3997.50000,236.60000,4717.80000,-626.30000,-5.90000,3155.70000,7153.20000
2017-12-31,336.40000,444.80000,94.30000,122.90000,998.40000,567.00000,5526.00000,142.00000,6235.00000,7233.40000,1673.50000,1739.00000,101.00000,2320.90000,3994.40000,236.60000,4600.60000,-412.00000,-5.90000,3239.00000,7233.40000
2016-12-31,129.30000,433.30000,60.20000,50.10000,672.90000,466.90000,5392.90000,131.30000,5991.10000,6664.00000,1259.60000,2086.80000,86.50000,2683.10000,3942.70000,236.60000,4153.20000,-528.90000,-5.90000,2721.30000,6664.00000
2015-12-31,93.30000,349.80000,39.30000,79.20000,561.60000,366.80000,3493.60000,79.50000,3939.90000,4501.50000,603.80000,1138.40000,57.00000,1547.30000,2151.10000,236.60000,3834.40000,-484.80000,-5.90000,2350.40000,4501.50000
2014-12-31,128.30000,337.20000,35.70000,89.30000,590.50000,300.60000,3655.90000,114.00000,4070.50000,4661.00000,823.10000,1145.70000,56.30000,1603.30000,2426.40000,236.60000,3554.80000,-435.40000,-5.90000,2234.60000,4661.00000
2013-12-31,235.90000,309.70000,34.50000,68.30000,648.40000,288.90000,3463.80000,138.80000,3891.50000,4539.90000,662.50000,1145.50000,54.80000,1536.40000,2198.90000,236.60000,3309.20000,-312.60000,-5.90000,2341.00000,4539.90000
2012-12-31,146.80000,317.00000,26.20000,48.70000,538.70000,283.70000,3532.60000,165.10000,3981.40000,4520.10000,646.50000,1447.40000,54.00000,1914.40000,2560.90000,236.60000,3064.60000,-362.00000,-5.90000,1959.20000,4520.10000
2011-12-31,127.70000,284.40000,24.60000,20.20000,456.90000,292.90000,2607.00000,161.90000,3061.80000,3518.70000,364.90000,966.00000,53.40000,1431.70000,1796.60000,236.60000,2879.20000,-391.80000,-5.90000,1722.10000,3518.70000
2010-12-31,119.40000,262.60000,26.10000,25.00000,433.10000,298.40000,2604.20000,101.80000,3004.40000,3437.50000,319.50000,978.90000,53.60000,1409.60000,1729.10000,236.60000,2725.70000,-344.50000,-41.20000,1708.40000,3437.50000
2009-12-31,103.10000,258.70000,27.60000,27.40000,416.80000,319.30000,2725.70000,88.70000,3133.70000,3550.50000,492.20000,990.90000,60.60000,1443.30000,1935.50000,236.60000,2494.20000,-318.70000,-41.20000,1615.00000,3550.50000
