,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-01-31,1764.10000,716.10000,283.60000,2763.80000,162.50000,45.40000,4097.60000,492.30000,5843.00000,8606.80000,4009.40000,2277.90000,168.70000,3748.30000,7757.70000,2923.10000,-1950.00000,-124.00000,849.10000,8606.80000
2021-01-31,1776.20000,643.10000,206.20000,2625.50000,192.80000,,2905.80000,375.90000,4654.30000,7279.80000,3254.70000,1637.20000,155.70000,3059.60000,6314.30000,2578.90000,-1487.50000,-125.90000,965.50000,7279.80000
2020-01-31,1843.70000,652.30000,163.30000,2659.30000,161.70000,,2515.90000,347.20000,3520.00000,6179.30000,3219.20000,1635.10000,138.90000,3099.20000,6318.40000,2317.00000,-2295.80000,-160.30000,-139.10000,6179.30000
2019-01-31,953.60000,474.30000,192.10000,1620.00000,149.70000,,2556.40000,337.80000,3109.20000,4729.20000,2301.20000,2087.70000,143.30000,2638.90000,4940.10000,2071.50000,-2147.40000,-135.00000,-210.90000,4729.20000
2018-01-31,1323.20000,438.20000,116.50000,1877.90000,145.00000,190.80000,1647.30000,170.90000,2235.70000,4113.60000,2123.20000,1586.00000,190.30000,2246.40000,4369.60000,1952.70000,-2084.90000,-123.80000,-256.00000,4113.60000
2017-01-31,1899.90000,452.30000,108.40000,2460.60000,158.60000,306.20000,1606.80000,202.00000,2337.50000,4798.10000,2185.40000,1092.00000,177.70000,1879.10000,4064.50000,1876.30000,-964.20000,-178.50000,733.60000,4798.10000
2016-01-31,2250.90000,653.60000,88.60000,2993.10000,169.30000,532.30000,1605.80000,205.60000,2522.20000,5515.30000,1591.00000,1487.70000,299.00000,2304.70000,3895.70000,1821.50000,-80.80000,-121.10000,1619.60000,5515.30000
2015-01-31,2026.40000,458.90000,100.90000,2671.30000,159.20000,273.00000,1542.70000,163.50000,2238.40000,4909.70000,1400.10000,743.10000,291.00000,1290.40000,2690.50000,1773.10000,499.40000,-53.30000,2219.20000,4909.70000
2014-01-31,2267.10000,423.70000,87.40000,2835.00000,130.30000,277.30000,1073.00000,148.30000,1760.00000,4595.00000,1071.50000,746.40000,311.20000,1262.00000,2333.50000,1637.30000,624.80000,-0.60000,2261.50000,4595.00000
2013-01-31,1954.30000,495.10000,60.80000,2552.40000,114.90000,411.10000,947.50000,159.70000,1756.00000,4308.40000,1043.70000,745.60000,288.30000,1221.50000,2265.20000,1449.80000,599.10000,-5.70000,2043.20000,4308.40000
2012-01-31,1411.30000,395.10000,59.40000,1895.90000,104.50000,192.80000,767.00000,131.80000,1331.90000,3227.80000,954.10000,,253.90000,390.80000,1344.90000,1365.40000,511.60000,5.90000,1882.90000,3227.80000
2011-01-31,1274.30000,318.40000,64.80000,1714.30000,84.50000,192.60000,611.30000,94.20000,1073.30000,2787.60000,869.80000,,216.80000,308.50000,1178.30000,1267.20000,342.70000,-0.60000,1609.30000,2787.60000
2010-01-31,1000.60000,277.40000,57.40000,1379.60000,101.60000,125.60000,630.90000,107.60000,1067.60000,2447.20000,704.00000,,197.80000,269.70000,973.70000,1204.30000,272.70000,-3.50000,1473.50000,2447.20000
2009-01-31,981.10000,316.50000,59.30000,1388.00000,120.60000,7.60000,655.80000,123.00000,1032.70000,2420.70000,800.10000,,173.90000,309.90000,1110.00000,1080.40000,241.50000,-11.20000,1310.70000,2420.70000
