,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1997.56600,998.33200,,660.32100,2657.92900,6314.14800,1838.80900,32979.11000,3639.04000,38494.86000,44809.02000,6898.69100,12289.25000,652.45300,15370.11000,22268.80000,2731.38000,-405.96900,22540.21000,44809.02000
2021-12-31,1979.30800,946.24700,,637.11200,1148.31800,4710.98500,1687.58600,36446.98000,2422.04200,40568.73000,45279.71000,4463.01400,11414.81000,739.04600,14947.28000,19410.30000,2982.12200,-234.18200,25869.42000,45279.71000
2020-12-31,1945.86800,794.17200,,621.46700,1230.85300,4592.36000,1578.53200,35887.34000,2135.69200,39609.19000,44201.55000,4549.09100,8466.40700,750.61300,12165.41000,16714.50000,2570.87400,-202.27300,27487.04000,44201.55000
2019-12-31,1678.27300,895.23200,,439.16500,1353.77800,4366.44800,1382.80200,36914.39000,1810.22500,40113.71000,44480.16000,3579.34600,9090.36400,609.82200,12845.83000,16425.17000,2333.01100,-310.57100,28054.99000,44480.16000
2018-12-31,1210.87800,348.40000,,216.70800,1600.22200,3376.20800,653.54200,8829.97300,362.92300,9854.56500,13230.77000,3268.62000,5015.16800,175.61800,5775.81100,9044.43100,2066.41500,-310.17500,4186.34300,13230.77000
2017-12-31,1335.85500,301.88700,,206.54500,2459.29200,4303.57900,588.34800,7885.69900,207.29700,8694.49000,12998.07000,3815.59000,4559.40800,220.96100,5217.24800,9032.83800,1597.89700,-183.14400,3965.23100,12998.07000
2016-12-31,1162.77900,275.03200,,131.34100,1546.85400,3116.00600,526.37000,6892.88600,113.29900,7548.34400,10664.35000,2851.95600,4260.82700,95.75300,5033.05200,7885.00800,1137.23000,-322.71700,2779.34200,10664.35000
2016-05-31,1044.72800,288.41100,,181.84800,1336.32600,2851.31300,493.67800,7094.11300,48.12900,7658.63900,10509.95000,2430.70700,4379.74400,77.23500,5201.84100,7632.54800,1015.81100,-246.05000,2877.40400,10509.95000
2015-05-31,650.73900,202.93800,,41.41600,2394.82200,3289.91500,374.14300,2051.96900,32.84600,2489.38600,5779.30100,3015.18800,1678.28300,19.42200,1900.56000,4915.74800,795.22600,-185.99200,863.55300,5779.30100
2014-05-31,581.87200,215.38300,6.63600,45.67300,780.91700,1643.44400,369.75300,1872.45800,31.06700,2375.20600,4018.65000,1211.61800,1376.00200,89.13200,1674.23300,2885.85100,815.98000,-1.77600,1132.79900,4018.65000
2013-05-31,680.47000,190.59100,11.05700,66.68500,259.20400,1214.49200,348.06400,1445.07000,22.25200,1910.56400,3125.05600,704.11400,891.13400,72.47800,1134.33500,1838.44900,958.75100,-15.06200,1286.60700,3125.05600
2012-05-31,781.27500,183.99100,9.86400,33.64600,217.99400,1248.73900,305.84800,1014.87500,21.44600,1439.40400,2688.14300,837.28500,236.56500,62.30600,549.93700,1387.22200,843.45600,-30.00000,1300.92100,2688.14300
2011-05-31,1354.28500,167.45400,7.64000,35.29100,280.35900,1847.97500,256.30100,1121.13700,20.97800,1502.55600,3350.53100,1444.36400,268.21700,49.84300,568.35000,2012.71400,685.62400,79.32000,1337.81700,3350.53100
2010-05-31,769.94600,132.48100,9.74000,39.60400,13.74100,968.26400,183.93800,774.20000,22.45400,1071.06200,2039.32600,672.47100,272.96500,-71.23600,495.33800,1167.80900,544.77200,-44.25500,871.51700,2039.32600
2009-05-31,426.93500,123.43800,5.91400,28.43700,6.67500,595.18800,176.22600,883.21400,22.19300,1081.63300,1676.82100,336.17700,167.61000,-380.36800,662.40100,998.57800,273.09000,-10.90100,678.24300,1676.82100
