,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,980.40000,,,58.30000,1038.70000,232.00000,197.50000,30.60000,694.70000,1733.40000,1116.90000,1787.90000,62.10000,2178.70000,3295.60000,12644.50000,-14204.00000,-2.70000,-1562.20000,1733.40000
2021-12-31,1205.80000,,,62.90000,1268.70000,251.20000,197.50000,35.70000,715.10000,1983.80000,1074.00000,1785.70000,78.60000,2170.30000,3244.30000,13620.10000,-14877.80000,-2.80000,-1260.50000,1983.80000
2020-12-31,1166.90700,,,51.03300,1217.94000,245.57100,197.52700,37.95800,548.97000,1766.91000,988.69300,1790.08300,95.49400,2168.41500,3157.10800,14275.16000,-15662.60000,-2.75600,-1390.19800,1766.91000
2019-12-31,1218.05900,,,60.53000,1278.58900,250.28300,197.52700,39.81200,575.42000,1854.00900,965.16600,1787.56500,312.67600,2378.94300,3344.10900,14990.01000,-16477.49000,-2.62100,-1490.10000,1854.00900
2018-12-31,1269.66900,,,47.36500,1317.03400,253.90500,197.52700,41.04600,597.47000,1914.50400,947.59000,1785.04700,281.62100,2352.38800,3299.97800,0.35200,-17089.79000,-2.81100,-1385.47400,1914.50400
2017-12-31,2414.75100,,,31.40200,2446.15300,263.51300,197.52700,18.60300,495.03500,2941.18800,1560.52800,1782.52900,128.19700,2640.93100,4201.45900,0.32500,-17694.79000,-2.94100,-1260.27100,2941.18800
2016-12-31,1797.90700,,,44.43500,1842.34200,266.12500,197.52700,19.19300,492.23000,2334.57200,1521.94900,1237.18900,117.17200,2013.21800,3535.16700,0.32400,-18184.95000,-3.45300,-1200.59500,2334.57200
2015-12-31,1915.43000,12.63800,,39.85600,1967.92400,295.57000,54.52700,22.35500,389.81300,2357.73700,1502.98000,1235.35400,114.79700,1925.20400,3428.18400,0.32300,-18625.60000,-3.99300,-1070.44700,2357.73700
2014-12-31,1424.68400,13.44800,,41.65800,1479.79000,319.02800,52.52700,15.91800,421.36000,1901.15000,1432.20500,740.17500,98.72200,1352.41100,2784.61600,0.32200,-19000.84000,-2.99800,-883.46600,1901.15000
2013-12-31,1723.28500,13.63100,,66.28300,1803.19900,339.65300,52.52700,27.74500,857.56800,2660.76700,2029.18600,750.00000,44.52400,1055.13900,3084.32500,0.32000,-19356.10000,-3.08500,-423.55800,2660.76700
2012-12-31,1556.43600,11.47700,30.79500,,1643.46400,333.86100,52.52700,25.32500,419.01200,2062.47600,695.01800,697.61400,44.29800,1376.78100,2071.79900,0.31900,-19900.54000,-0.38800,-9.32300,2062.47600
2011-12-31,1346.20900,14.97400,21.84700,,1447.78100,327.13600,53.84800,24.65600,408.39800,1856.17900,658.92300,690.08600,43.71700,1285.36300,1944.28600,0.31700,-20220.58000,-3.08400,-88.10700,1856.17900
2010-12-31,2060.86600,14.87400,,,2177.95700,190.31900,55.14600,20.58400,266.04900,2444.00600,652.71300,581.62600,17.98100,1114.86300,1767.57600,0.31300,-20363.47000,-1.33400,676.43000,2444.00600
2009-12-31,1477.35100,63.13300,168.57400,,1709.05800,403.82100,312.40000,44.86500,761.08610,2470.14400,886.47400,574.37800,20.11700,985.00600,1871.48000,0.30800,-21194.44000,7.65900,598.66400,2470.14400
