,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,68.77600,188.86300,257.63900,9442.20400,197.74500,618.17400,10327.07000,10860.22000,317.25900,3726.75400,424.44600,4151.20000,4682.18100,1.71100,-1764.97700,7.56000,6178.03900,10860.22000
2021-12-31,95.02700,153.09100,248.11800,9320.61800,212.70700,664.59600,10263.66000,10792.56000,322.27100,3718.94400,425.62800,4144.57200,4682.63100,1.71200,-1814.81400,-10.22700,6109.93200,10792.56000
2020-12-31,378.45000,143.63300,522.08300,9107.75000,188.79900,762.53500,10126.99000,10936.90000,302.36100,3923.08400,432.92200,4356.00600,4878.75700,1.69700,-1765.80600,-18.62500,6058.14700,10936.90000
2019-12-31,115.56200,169.33700,284.89900,9329.13200,242.82200,905.81600,10554.57000,11132.25000,213.70500,3919.54400,486.12500,4405.66900,4842.29200,1.67600,-1408.06200,-11.99700,6289.96100,11132.25000
2018-12-31,45.19000,172.35900,217.54900,9327.71800,387.06900,927.34400,10727.11000,10944.66000,224.80700,3715.21200,554.47600,4269.68800,4494.49500,1.67900,-1255.46500,-0.92700,6450.16800,10944.66000
2017-12-31,49.38100,170.98500,220.36600,9553.05000,478.82600,813.43100,10925.35000,11145.72000,234.27200,3594.97700,583.41400,4178.39100,4412.66300,1.71400,-1158.17000,-6.28900,6733.05400,11145.72000
2016-12-31,17.87900,111.72200,129.60100,4105.80700,118.83100,65.66700,4359.30500,4488.90600,138.93600,1642.42000,83.04800,1725.46800,1864.40400,1.04500,-994.25900,-18.34600,2624.50200,4488.90600
2015-12-31,40.62300,106.16400,146.78700,3808.31900,105.38000,56.02800,4036.09400,4182.88100,164.51500,1864.28500,71.46100,1935.74600,2100.26100,0.97200,-936.02000,-58.69300,2082.62000,4182.88100
2014-12-31,121.78900,86.76700,220.68800,3809.34500,52.36500,43.27000,3976.48200,4197.17000,181.19700,2021.35700,58.13400,2079.49100,2260.68800,0.94100,-882.37200,-57.74800,1936.48200,4197.17000
2013-12-31,90.20400,76.93100,179.09500,3540.50700,44.80500,79.14600,3734.42100,3913.51600,147.04500,1854.69700,50.64000,1905.33700,2052.38200,0.92300,-874.91600,-17.40400,1861.13400,3913.51600
2012-12-31,28.82100,76.59100,129.16300,3570.09000,42.45900,42.24000,3724.29500,3853.45800,127.18500,1941.89100,38.47100,1980.36200,2107.54700,0.90400,-834.81000,-57.71500,1745.91100,3853.45800
2011-12-31,17.45200,85.86500,139.10100,3310.29300,27.05400,440.41900,3847.97000,3987.07100,101.89900,1982.44000,33.07800,2015.51800,2117.41700,0.89900,-662.73500,-71.42900,1869.65400,3987.07100
2010-12-31,22.46000,81.84100,140.23200,3716.86800,18.21900,56.05500,3854.30700,3994.53900,138.19600,2094.46900,17.47200,2111.94100,2250.13700,0.81900,-533.19400,-80.88500,1744.40200,3994.53900
2009-12-31,99.47700,80.16300,217.39300,3637.82700,10.00700,50.20300,3756.41300,3973.80600,99.14500,1886.38000,44.88700,1931.26700,2030.41200,0.81500,-373.34500,-49.97300,1943.39400,3973.80600
