,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,409.00000,4415.00000,3584.00000,4814.00000,13222.00000,111748.00000,455.00000,19303.00000,9034.00000,163822.00000,178086.00000,18873.00000,67061.00000,27778.00000,107360.00000,126233.00000,1.00000,2637.00000,-140.00000,51853.00000,178086.00000
2021-12-31,341.00000,3522.00000,3111.00000,2966.00000,9940.00000,105536.00000,457.00000,19303.00000,10327.00000,158511.00000,169587.00000,15931.00000,60448.00000,30065.00000,102520.00000,118451.00000,1.00000,3265.00000,-303.00000,51136.00000,169587.00000
2020-12-31,259.00000,3153.00000,3167.00000,2103.00000,8682.00000,106782.00000,961.00000,19303.00000,3601.00000,152182.00000,162388.00000,16305.00000,55625.00000,29034.00000,96899.00000,113204.00000,1.00000,2471.00000,-237.00000,49184.00000,162388.00000
2019-12-31,311.00000,3060.00000,3232.00000,2560.00000,9163.00000,102127.00000,1936.00000,19303.00000,3289.00000,148017.00000,158838.00000,14752.00000,54985.00000,29282.00000,96135.00000,110887.00000,1.00000,4108.00000,-130.00000,47951.00000,158838.00000
2018-12-31,442.00000,3134.00000,3084.00000,3054.00000,9714.00000,91694.00000,1409.00000,19303.00000,2935.00000,135678.00000,145392.00000,15041.00000,51123.00000,26032.00000,86517.00000,101558.00000,1.00000,3113.00000,-92.00000,43834.00000,145392.00000
2017-12-31,358.00000,2774.00000,3250.00000,2071.00000,8453.00000,86391.00000,1175.00000,19396.00000,2960.00000,129461.00000,137914.00000,12482.00000,49035.00000,26397.00000,83695.00000,96177.00000,1.00000,3013.00000,-67.00000,41737.00000,137914.00000
2016-12-31,392.00000,2644.00000,3522.00000,1481.00000,8039.00000,82520.00000,,19425.00000,3694.00000,124722.00000,132761.00000,11551.00000,45576.00000,18834.00000,80169.00000,91720.00000,1.00000,2384.00000,-93.00000,41041.00000,132761.00000
2015-12-31,383.00000,2263.00000,3746.00000,1930.00000,8322.00000,73779.00000,499.00000,16072.00000,5243.00000,112834.00000,121156.00000,11400.00000,36842.00000,19035.00000,69985.00000,81385.00000,1.00000,2564.00000,-806.00000,39771.00000,121156.00000
2014-12-31,2036.00000,2764.00000,3459.00000,3316.00000,11575.00000,70046.00000,358.00000,16321.00000,5650.00000,108982.00000,120557.00000,11233.00000,37061.00000,16369.00000,68425.00000,79658.00000,1.00000,2012.00000,-543.00000,40899.00000,120557.00000
2013-12-31,1545.00000,3005.00000,3250.00000,2716.00000,10516.00000,69490.00000,390.00000,16340.00000,3539.00000,104263.00000,114779.00000,8644.00000,38152.00000,12714.00000,64727.00000,73371.00000,1.00000,2363.00000,-399.00000,41408.00000,114779.00000
2012-12-31,1757.00000,2717.00000,3223.00000,2425.00000,10122.00000,68558.00000,483.00000,16365.00000,2904.00000,103734.00000,113856.00000,10029.00000,36351.00000,12974.00000,62886.00000,72915.00000,1.00000,1889.00000,-306.00000,40941.00000,113856.00000
2011-12-31,2300.00000,1941.00000,1588.00000,1051.00000,6880.00000,42661.00000,460.00000,4212.00000,2366.00000,55646.00000,62526.00000,5528.00000,18679.00000,6633.00000,34133.00000,39661.00000,1.00000,1873.00000,-234.00000,22865.00000,62526.00000
2010-12-31,1670.00000,2066.00000,1318.00000,1169.00000,6223.00000,40344.00000,444.00000,4325.00000,2563.00000,52867.00000,59090.00000,3897.00000,17935.00000,6324.00000,32540.00000,36437.00000,1.00000,1496.00000,2.00000,22653.00000,59090.00000
2009-12-31,1542.00000,1741.00000,1515.00000,968.00000,5766.00000,37950.00000,436.00000,4943.00000,2618.00000,51274.00000,57040.00000,4088.00000,16113.00000,9028.00000,31066.00000,35154.00000,1.00000,1460.00000,-372.00000,21886.00000,57040.00000
