,cash-on-hand,receivables-total,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,12396.00000,2229.00000,477.00000,696.00000,15798.00000,669.00000,2789.00000,4636.00000,824.00000,9563.00000,25361.00000,8474.00000,12696.00000,172.00000,14105.00000,22579.00000,,27541.00000,-267.00000,2782.00000,25361.00000
2021-12-31,11152.00000,1358.00000,404.00000,231.00000,13145.00000,822.00000,3175.00000,4944.00000,1059.00000,10496.00000,23641.00000,6246.00000,9762.00000,199.00000,11217.00000,17463.00000,,24453.00000,-144.00000,6178.00000,23641.00000
2020-12-31,11063.00000,529.00000,337.00000,277.00000,12206.00000,756.00000,3759.00000,3707.00000,917.00000,9668.00000,21874.00000,3425.00000,11952.00000,111.00000,13556.00000,16981.00000,,23288.00000,-118.00000,4893.00000,21874.00000
2019-12-31,7310.00000,1680.00000,479.00000,364.00000,9833.00000,738.00000,4477.00000,4867.00000,867.00000,11569.00000,21402.00000,5366.00000,8661.00000,104.00000,10103.00000,15469.00000,,23232.00000,-191.00000,5933.00000,21402.00000
2018-12-31,6284.00000,1523.00000,600.00000,,8407.00000,656.00000,8408.00000,5035.00000,181.00000,14280.00000,22687.00000,3555.00000,9815.00000,162.00000,10347.00000,13902.00000,,18367.00000,-316.00000,8785.00000,22687.00000
2017-12-31,7402.00000,1218.00000,415.00000,,9035.00000,480.00000,10873.00000,4915.00000,148.00000,16416.00000,25451.00000,3498.00000,10064.00000,147.00000,10692.00000,14190.00000,,13939.00000,238.00000,11261.00000,25451.00000
2016-12-31,4299.95500,860.11500,241.44900,,5401.51900,347.01700,9591.06700,4390.79100,108.57900,14437.45000,19838.97000,2858.67000,6199.06000,138.76700,7160.16100,10018.83000,0.48500,11326.85000,-134.68400,9820.14200,19838.97000
2015-12-31,2648.51100,645.16900,259.55700,,3553.23700,274.78600,7931.36300,5542.53300,118.65600,13867.34000,17420.57000,1439.31000,6158.44300,134.77700,7185.79600,8625.10600,0.48200,9191.86500,244.85200,8795.46900,17420.57000
2014-12-31,4291.67600,643.89400,178.05000,,5113.62000,198.95300,3755.65300,5661.23500,41.51600,9657.35700,14770.98000,1378.70300,3824.19900,103.53300,4825.58100,6204.28600,0.48000,6640.50500,-259.90200,8566.69400,14770.98000
2013-12-31,6763.19000,535.96200,107.10200,,7480.94100,135.05300,,2787.89700,40.56900,2963.51900,10444.46000,1381.74500,1750.58000,75.98100,2152.98600,3534.73100,0.47600,4218.75200,84.72900,6909.72900,10444.46000
2012-12-31,5189.83500,367.51200,84.29000,,5682.37500,89.26900,,730.78500,35.82800,887.36700,6569.74200,1461.72600,936.65100,229.23100,1211.04100,2672.76700,0.45000,2368.61100,-23.67600,3896.97500,6569.74200
2011-12-31,2661.43400,264.45300,104.20200,,3066.84400,64.32200,,704.93500,23.49000,903.82700,3970.67100,1105.79800,77.36000,39.18300,290.57800,1396.37600,0.44600,1033.73800,-87.58200,2574.29500,3970.67100
2010-12-31,1663.26800,162.42600,61.21100,,1957.46400,39.73900,,742.92400,14.41800,948.48910,2905.95300,471.16800,476.26800,42.99000,621.44900,1092.61700,0.43800,69.11000,-32.88900,1813.33600,2905.95300
2009-12-31,801.47400,118.65900,36.82800,,1022.94100,30.48900,,522.71000,4.38400,811.28300,1834.22400,408.76500,35.98500,24.05200,103.83000,512.59500,0.40500,-454.67300,-3.00000,1321.62900,1834.22400
