,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,4280.00000,1725.00000,280.00000,6654.00000,1053.00000,2117.00000,1056.00000,359.00000,6645.00000,13299.00000,6005.00000,1486.00000,56.00000,2262.00000,8267.00000,,338.00000,-102.00000,5032.00000,13299.00000
2021-12-31,3304.00000,1390.00000,223.00000,5220.00000,766.00000,1630.00000,1064.00000,212.00000,5578.00000,10798.00000,4949.00000,1484.00000,51.00000,2154.00000,7103.00000,,-4.00000,34.00000,3695.00000,10798.00000
2020-12-31,3092.00000,1009.00000,192.00000,4522.00000,660.00000,1468.00000,394.00000,100.00000,4193.00000,8715.00000,3737.00000,1640.00000,36.00000,2144.00000,5881.00000,,-234.00000,94.00000,2834.00000,8715.00000
2019-12-31,1691.09500,835.27900,125.48800,2826.90100,468.08500,1013.33200,300.60600,77.99700,3195.52900,6022.43000,2752.78500,694.98100,23.46400,1141.70400,3894.48900,0.18900,-352.24400,25.25500,2127.94100,6022.43000
2018-12-31,1497.92200,574.81000,132.07100,2344.69300,347.21600,581.85600,249.42700,52.81600,1534.44700,3879.14000,2012.57300,661.70700,55.06400,755.36800,2767.94100,0.18000,-978.78000,-4.03500,1111.19900,3879.14000
2017-12-31,1779.29800,437.05100,95.95900,2421.95100,245.12400,391.44200,215.64400,51.83200,1128.29400,3550.24500,2039.47900,630.01800,65.88400,732.02200,2771.50100,0.17400,-958.56400,5.76700,778.74400,3550.24500
2016-12-31,899.36200,322.75700,43.63600,1342.53500,181.62000,262.65800,148.38800,36.57600,691.23200,2033.76700,1071.49800,507.81200,34.17700,575.30800,1646.80600,0.16700,-997.39000,-21.13300,386.96100,2033.76700
2015-12-31,801.25000,203.33300,29.07600,1085.63500,144.71400,422.66700,98.67400,22.34600,721.41700,1807.05200,731.63600,474.53400,23.31700,508.60200,1240.23800,0.16000,-557.00900,-16.88200,566.81400,1807.05200
2014-12-31,668.79100,159.17100,35.79200,906.98600,104.23700,266.77200,109.54200,7.76200,517.76600,1424.75200,506.99700,443.43700,33.07600,489.08000,996.07700,0.15000,-358.58300,-12.11300,428.67500,1424.75200
2013-12-31,634.55400,108.33900,23.73300,797.74900,75.56000,255.35600,14.52000,3.97300,370.72700,1168.47600,328.08800,414.77700,17.18300,446.12900,774.21700,0.14000,-179.19600,-0.47600,394.25900,1168.47600
2012-12-31,314.69100,78.16300,14.25600,422.08900,42.34200,,0.59600,1.79100,56.02500,478.11400,211.62700,,6.68500,23.08200,234.70900,0.12600,-105.48800,-0.03600,243.40500,478.11400
2011-12-31,68.13300,44.86000,9.88300,130.50700,20.69500,,,0.52400,25.81600,156.32300,126.56100,,5.46700,19.01600,145.57700,0.02200,-68.14000,0.89900,10.74600,156.32300
2011-06-30,,,,,,,,,,0.00000,,,,,,,,,,
2010-12-31,,,,,,,,,,0.00000,,,,,,,,,,
2010-06-30,29.79700,9.73200,5.69600,47.49200,1.69800,,,0.12700,3.87700,51.36900,45.69400,,0.26100,9.71000,55.40400,0.01600,-71.28600,0.00800,-71.26200,51.36900
2009-12-31,29.79700,9.73200,,47.49200,1.69800,,,,1.69800,51.36900,45.69400,,,,55.40400,,-71.28600,,-71.26200,-15.85800
2009-06-30,,,,,,,,,,0.00000,,,,,,,,,,
