,cash-on-hand,receivables-total,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2021-12-31,2198.00000,86693.00000,88891.00000,,361531.00000,,123462.00000,507221.00000,596112.00000,359222.00000,30163.00000,137815.00000,167978.00000,527200.00000,4766.00000,23785.00000,6687.00000,68912.00000,596112.00000
2020-12-31,2827.00000,84874.00000,87701.00000,,362939.00000,,113412.00000,498780.00000,586481.00000,354336.00000,37534.00000,127412.00000,164946.00000,519282.00000,4766.00000,15504.00000,13511.00000,67199.00000,586481.00000
2019-12-31,2856.00000,48251.00000,51107.00000,,339949.00000,,109655.00000,473957.00000,525064.00000,302406.00000,35350.00000,119881.00000,155231.00000,457637.00000,4766.00000,23084.00000,4982.00000,67427.00000,525064.00000
2018-12-31,2873.00000,49183.00000,52056.00000,,316598.00000,,95415.00000,439928.00000,491984.00000,293652.00000,34540.00000,106483.00000,141023.00000,434675.00000,4766.00000,20884.00000,-1413.00000,57309.00000,491984.00000
2017-12-31,2362.00000,43272.00000,45634.00000,,324648.00000,,102992.00000,452667.00000,498301.00000,282105.00000,31640.00000,118848.00000,150488.00000,432593.00000,4766.00000,21457.00000,5465.00000,65708.00000,498301.00000
2016-12-31,1868.00000,32366.00000,34234.00000,,330670.00000,,100986.00000,464030.00000,498264.00000,275120.00000,30912.00000,115374.00000,146286.00000,421406.00000,4766.00000,28711.00000,3230.00000,76858.00000,498264.00000
2015-12-31,1629.00000,31864.00000,33493.00000,,340977.00000,,90863.00000,463349.00000,496842.00000,271645.00000,29249.00000,105738.00000,134987.00000,406632.00000,4766.00000,30943.00000,2537.00000,90210.00000,496842.00000
2014-12-31,1758.00000,33990.00000,35748.00000,,358478.00000,,92189.00000,479833.00000,515581.00000,270615.00000,31217.00000,106477.00000,137694.00000,408309.00000,4766.00000,29775.00000,10617.00000,107272.00000,515581.00000
2013-12-31,2241.00000,36768.00000,39009.00000,,359333.00000,,111626.00000,502320.00000,541329.00000,271252.00000,41693.00000,127273.00000,168996.00000,440248.00000,4766.00000,22965.00000,6360.00000,101081.00000,541329.00000
2012-12-31,1151.00000,39584.00000,40735.00000,,378878.00000,,103372.00000,507898.00000,548633.00000,280298.00000,48500.00000,120832.00000,169666.00000,449964.00000,4766.00000,14176.00000,12574.00000,98669.00000,548633.00000
2011-12-31,1474.00000,41932.00000,43406.00000,,413546.00000,,67550.00000,509648.00000,553054.00000,282516.00000,75253.00000,84369.00000,168145.00000,450661.00000,4766.00000,10774.00000,6481.00000,102393.00000,553054.00000
2010-12-31,1558.00000,41523.00000,43081.00000,,413372.00000,,212322.00000,640362.00000,683443.00000,274353.00000,85476.00000,207572.00000,295851.00000,570204.00000,368.00000,-3466.00000,7624.00000,113239.00000,683443.00000
2009-12-31,4400.00000,38974.00000,43374.00000,4142.00000,606317.00000,6195.00000,142635.00000,804211.00000,847585.00000,460523.00000,113298.00000,174729.00000,288986.00000,749509.00000,354.00000,-11491.00000,5693.00000,98076.00000,847585.00000
