,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,104757.00000,44261.00000,3742.00000,16924.00000,169684.00000,74398.00000,6891.00000,78822.00000,21897.00000,195156.00000,364840.00000,95082.00000,47032.00000,41595.00000,103216.00000,198298.00000,86939.00000,84281.00000,-4678.00000,166542.00000,364840.00000
2021-06-30,130334.00000,38043.00000,2636.00000,13393.00000,184406.00000,59715.00000,5984.00000,57511.00000,15075.00000,149373.00000,333779.00000,88657.00000,50074.00000,40617.00000,103134.00000,191791.00000,83111.00000,57055.00000,1822.00000,141988.00000,333779.00000
2020-06-30,136527.00000,32011.00000,1895.00000,11482.00000,181915.00000,44151.00000,2965.00000,50389.00000,13138.00000,119396.00000,301311.00000,72310.00000,59578.00000,40064.00000,110697.00000,183007.00000,80552.00000,34566.00000,3186.00000,118304.00000,301311.00000
2019-06-30,133819.00000,29524.00000,2063.00000,10146.00000,175552.00000,36477.00000,2649.00000,49776.00000,14723.00000,111004.00000,286556.00000,69420.00000,66662.00000,37193.00000,114806.00000,184226.00000,78520.00000,24150.00000,-340.00000,102330.00000,286556.00000
2018-06-30,133768.00000,26481.00000,2662.00000,6751.00000,169662.00000,29460.00000,1862.00000,43736.00000,7442.00000,89186.00000,258848.00000,58488.00000,72242.00000,35476.00000,117642.00000,176130.00000,71223.00000,13682.00000,-2187.00000,82718.00000,258848.00000
2017-06-30,132981.00000,22431.00000,2181.00000,5103.00000,162696.00000,23734.00000,6023.00000,45228.00000,6076.00000,87616.00000,250312.00000,55745.00000,76073.00000,17034.00000,106856.00000,162601.00000,69315.00000,17769.00000,627.00000,87711.00000,250312.00000
2016-06-30,113240.00000,18277.00000,2251.00000,5892.00000,139660.00000,18356.00000,10431.00000,21605.00000,3416.00000,53808.00000,193468.00000,59357.00000,40557.00000,13640.00000,62114.00000,121471.00000,68178.00000,2282.00000,1537.00000,71997.00000,193468.00000
2015-06-30,96526.00000,17908.00000,2902.00000,5461.00000,122797.00000,14731.00000,12053.00000,21774.00000,3117.00000,51675.00000,174472.00000,49647.00000,27808.00000,13544.00000,44742.00000,94389.00000,68465.00000,9096.00000,2522.00000,80083.00000,174472.00000
2014-06-30,85709.00000,19544.00000,2660.00000,4392.00000,114246.00000,13011.00000,14597.00000,27108.00000,3422.00000,58138.00000,172384.00000,45625.00000,20645.00000,11594.00000,36975.00000,82600.00000,68366.00000,17710.00000,3708.00000,89784.00000,172384.00000
2013-06-30,77022.00000,17486.00000,1938.00000,3388.00000,101466.00000,9991.00000,10844.00000,17738.00000,2392.00000,40965.00000,142431.00000,37417.00000,12601.00000,10000.00000,26070.00000,63487.00000,67306.00000,9895.00000,1743.00000,78944.00000,142431.00000
2012-06-30,63040.00000,15780.00000,1137.00000,3092.00000,85084.00000,8269.00000,9776.00000,16622.00000,1520.00000,36187.00000,121271.00000,32688.00000,10713.00000,8208.00000,22220.00000,54908.00000,65797.00000,-856.00000,1422.00000,66363.00000,121271.00000
2011-06-30,52772.00000,14987.00000,1372.00000,3320.00000,74918.00000,8162.00000,10865.00000,13325.00000,1434.00000,33786.00000,108704.00000,28774.00000,11921.00000,8072.00000,22847.00000,51621.00000,63415.00000,-6332.00000,,57083.00000,108704.00000
2010-06-30,36788.00000,13014.00000,740.00000,2950.00000,55676.00000,7630.00000,7754.00000,13552.00000,1501.00000,30437.00000,86113.00000,26147.00000,4939.00000,7445.00000,13791.00000,39938.00000,62856.00000,-16681.00000,,46175.00000,86113.00000
2009-06-30,31447.00000,11192.00000,717.00000,3711.00000,49280.00000,7535.00000,4933.00000,14262.00000,1599.00000,28608.00000,77888.00000,27034.00000,3746.00000,6269.00000,11296.00000,38330.00000,62382.00000,-22824.00000,,39558.00000,77888.00000
