,cash-on-hand,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1094.55300,1771.76000,11326.02000,135.80500,1480.58500,13024.75000,14796.51000,2837.88800,2045.52700,783.55600,3044.52900,5882.41700,2.25800,5581.70200,,8914.09800,14796.51000
2021-12-31,1833.56500,2780.70400,9047.56900,146.92300,1238.39700,10571.93000,13352.63000,2823.76900,2029.04300,844.78500,3039.34700,5863.11600,2.49300,4196.27600,-0.04500,7489.51500,13352.63000
2020-12-31,2632.23500,3197.21400,7721.79800,163.42500,986.79400,9008.28400,12205.50000,2330.18500,2752.30200,449.47400,3305.32400,5635.50900,2.66500,3306.05700,-0.14500,6569.98900,12205.50000
2019-12-31,1251.45600,1760.42300,7680.61400,124.99200,979.46090,8955.17400,10715.60000,2197.95000,2765.04000,294.42700,3059.46700,5257.41700,2.70200,2220.57400,-0.24500,5458.18000,10715.60000
2018-12-31,1133.70000,1595.05400,7253.35300,127.19200,921.79800,8577.92200,10172.98000,2060.92400,3028.06600,266.20400,3294.27000,5355.19400,2.77100,1613.92900,-0.34500,4817.78200,10172.98000
2017-12-31,306.16800,876.76790,7147.13000,140.99200,876.46400,8809.88100,9686.64900,2187.95200,3006.96700,337.70400,3344.67100,5532.62300,2.86800,980.06100,-0.44500,4154.02600,9686.64900
2016-12-31,723.24800,1262.74400,6770.65500,154.79200,940.60110,8915.45500,10178.20000,2166.78800,3129.29800,222.75100,3352.04900,5518.83700,3.19100,1540.20800,-0.52600,4659.36300,10178.20000
2015-12-31,775.43500,1218.15000,5450.05800,110.21500,1016.10400,7971.25600,9189.40600,2112.38500,2074.50500,243.19100,2317.69600,4430.08100,3.49100,1662.64100,-0.60900,4759.32500,9189.40600
2014-12-31,1309.22000,1648.75100,4392.10000,123.11500,684.77600,6920.65900,8569.41000,1754.53100,1818.56100,191.36400,2009.92500,3764.45600,3.69500,1728.95300,-0.69000,4804.95400,8569.41000
2013-12-31,1653.04400,1940.97700,3978.56100,136.14800,591.70300,6793.16600,8734.14300,1686.15000,2058.16800,340.87300,2399.04100,4085.19100,3.81300,1593.91800,-0.79500,4648.95200,8734.14300
2012-12-31,1476.71000,1795.64100,4214.04600,149.24800,575.47400,4938.76800,6734.40900,1735.13200,2509.61300,300.04800,2809.66100,4544.79300,3.86600,-844.14700,-0.99200,2189.61600,6734.40900
2011-12-31,1184.93100,1443.00600,4636.46800,162.34800,643.79800,5442.61400,6885.62000,1608.38800,3088.34400,250.27300,3338.61700,4947.00500,3.82600,-1050.14500,-1.30600,1938.61500,6885.62000
2010-12-31,1507.99100,1684.15500,4781.81300,415.98900,817.41900,6015.22100,7699.37600,1826.40600,3391.66800,346.13500,3737.80300,5564.20900,3.82000,-840.05300,-1.51900,2135.16700,7699.37600
2009-12-31,1890.61000,2057.42700,4940.35800,1084.46600,1968.97100,7993.79500,10051.22000,2140.27200,4281.53200,434.97800,4716.51000,6856.78200,3.80700,257.14500,-2.24900,3194.44000,10051.22000
