,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,993.56400,663.23600,91.17400,1747.97400,53.85300,214.38900,2788.18700,37.34100,3249.56100,4997.53500,1250.52700,4503.23300,91.02700,4754.93300,6005.46000,1.33600,3473.19200,-60.21100,-1007.92500,4997.53500
2021-12-31,1421.44900,664.51100,57.45000,2143.41000,66.71500,218.76300,2829.72700,63.38500,3363.29300,5506.70300,1250.93700,4161.42200,104.13200,4419.23200,5670.17000,1.33200,2976.51700,-58.79500,-163.46700,5506.70300
2020-12-31,1300.52100,558.56900,66.50800,1925.59800,80.44600,190.89800,1800.77000,23.97800,2273.04900,4198.64700,1021.76900,3366.77700,88.21900,3620.11200,4641.88100,1.32800,2554.29500,-58.85900,-443.23400,4198.64700
2019-12-31,1506.56700,499.26800,75.94200,2081.77700,90.70800,,1824.35500,20.28200,2122.66200,4204.43900,900.78600,3071.92600,77.65800,3380.36700,4281.15300,1.32400,2199.29400,-62.57900,-76.71400,4204.43900
2018-12-31,904.17600,473.43300,57.48000,1435.08900,90.87700,,1826.56400,20.51900,1952.86300,3387.95200,809.00800,2575.50200,87.92800,2745.43800,3554.44600,1.30000,1856.95100,-58.39900,-166.49400,3387.95200
2017-12-31,889.50200,327.59700,50.03000,1267.12900,94.43700,,1882.45700,19.63200,2008.53900,3275.66800,607.67100,2078.09300,110.86500,2266.98500,2874.65600,1.29500,1505.20400,-48.34700,401.01200,3275.66800
2016-12-31,791.83400,221.50400,42.33200,1055.67000,95.58500,,1903.49000,18.30200,2026.90800,3082.57800,536.57000,2075.20100,59.13500,2228.40300,2764.97300,1.29000,1322.22400,-60.73500,317.60500,3082.57800
2015-12-31,777.70600,208.23900,77.32600,1063.27100,98.92600,,1957.11100,18.49900,2083.71600,3146.98700,498.11600,1579.40400,57.04300,1747.38400,2245.50000,1.28200,1158.46200,-35.74500,901.48700,3146.98700
2014-12-31,508.79900,178.71700,59.73300,769.45800,94.07400,,1998.53200,16.52500,2113.07500,2882.53300,472.91200,788.35800,50.59200,976.78800,1449.70000,1.26600,1022.69500,-24.97100,1432.83300,2882.53300
2013-12-31,358.43400,169.49000,43.45800,624.27000,85.58800,,2408.87100,17.38600,2511.84500,3136.11500,503.04100,788.01000,46.06800,1068.72700,1571.76800,1.25600,758.97500,-0.65000,1564.34700,3136.11500
2012-12-31,254.20700,153.55700,57.51900,514.83500,67.41900,,2424.48400,12.90100,2504.80400,3019.63900,509.94500,811.62300,38.59500,1084.46300,1594.40800,1.24000,547.69900,-2.79600,1425.23100,3019.63900
2011-12-31,392.70100,180.56600,63.72400,677.94300,37.62300,,2353.46600,23.96400,2415.05300,3092.99600,452.80500,1066.54800,27.75500,1334.75900,1787.56400,1.22700,363.46100,-5.09400,1305.43200,3092.99600
2010-12-31,342.24000,137.98800,37.20900,574.96200,35.72300,,2417.35700,29.43900,2482.51900,3057.48100,466.08400,1207.96600,27.11400,1489.22700,1955.31100,1.20700,190.00700,-0.84300,1102.17000,3057.48100
2010-11-30,300.46600,147.66200,40.34400,536.28300,34.36800,,2422.92100,29.59400,2486.88300,3023.16600,466.92400,1207.88100,27.30000,1476.12500,1943.04900,1.20500,176.18300,-1.96600,1080.11700,3023.16600
2009-11-30,471.32800,77.18000,29.39900,602.48400,29.38100,,561.81200,6.59200,597.78500,1200.26900,292.50000,337.62200,23.01100,400.71300,693.21300,1.05400,84.01300,-7.59000,507.05600,1200.26900
