,cash-on-hand,receivables-total,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-06-30,1472.24400,308.66800,58.07700,1899.25400,98.55400,159.06400,833.50600,60.74000,1461.95200,3361.20600,1594.05600,999.41900,14.61600,1431.54700,3025.60300,25.48500,-2428.57500,2277.64900,335.60300,3361.20600
2021-06-30,1359.71400,175.80500,48.32200,1627.50600,66.22100,122.15900,850.34800,37.63600,1317.83800,2945.34400,2310.01100,,15.03900,340.41900,2650.43000,25.16400,-1812.70700,1621.44100,294.91400,2945.34400
2020-06-30,2483.52800,113.52800,46.73000,2643.78600,97.64800,,774.83000,124.77400,1250.28600,3894.07200,3018.77900,,11.66600,299.98700,3318.76600,24.74400,-1116.39200,1207.06200,575.30600,3894.07200
2019-06-30,1928.64300,83.23200,30.23600,2042.11100,81.45900,,759.88200,76.72200,935.14690,2977.25800,2329.70800,,40.34500,82.08300,2411.79100,24.19900,-765.63700,848.73900,565.46700,2977.25800
2018-06-30,1733.53300,58.76300,29.73500,1822.03100,51.65600,99.93500,375.52000,13.46600,599.79690,2421.82800,444.88600,819.63700,219.34800,1069.62200,1514.50800,23.53100,-128.01600,557.03900,907.32000,2421.82800
2017-06-30,549.91900,39.25200,23.31700,612.48800,41.17300,,432.68900,9.26900,671.37000,1283.85800,326.86700,,8.30200,62.94300,389.81000,22.72600,-23.22900,443.59200,894.04800,1283.85800
2016-06-30,743.11400,21.24600,14.17800,778.53800,58.76200,,20.71500,5.54700,212.43500,990.97300,236.50000,,8.71500,22.81000,259.31000,21.62000,19.27500,249.03400,731.66300,990.97300
2015-06-30,217.34500,12.68600,8.60000,238.63100,41.94800,,28.25100,6.81200,158.53000,397.16100,188.15400,,8.70000,18.95300,207.10700,18.46100,14.90200,150.94700,190.05400,397.16100
2014-06-30,162.00100,6.16200,3.04000,171.20300,16.03800,,20.70800,5.86700,90.83500,262.03800,126.52900,,3.32300,10.18000,136.70900,18.19000,8.12700,96.33500,125.32900,262.03800
2013-06-30,,,,,,,0.00000,,,0.00000,,,,,0.00000,0.00000,,0.00000,0.00000,0.00000
