,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,102.81800,2017.72200,218.51700,198.28300,2537.34000,5918.45800,3909.45600,599.62300,10956.85000,13494.19000,1914.41900,4726.53300,487.66900,5614.41900,7528.84000,0.71000,6533.66700,-9.66800,-604.12700,5965.35000,13494.19000
2021-12-31,115.30100,1746.63500,206.83900,194.78100,2263.55600,5874.27500,3962.62400,573.37900,10829.99000,13093.54000,1984.10900,4141.87900,464.75900,4916.38100,6900.49000,0.77100,6604.08900,30.29100,-545.48700,6193.05300,13093.54000
2020-12-31,1224.49000,1728.92800,190.41700,138.03400,3281.86900,5373.12400,3882.71500,574.98400,10195.01000,13476.88000,2481.03900,3524.25300,781.16600,4593.87300,7074.91200,0.85100,6747.67800,48.12000,-479.50300,6401.96700,13476.88000
2019-12-31,61.26800,1560.84700,159.88900,133.93000,1915.93400,5016.69800,3869.76000,516.77800,9752.31600,11668.25000,1563.39000,3896.57700,329.93200,4525.98900,6089.37900,0.86700,5933.50400,31.89300,-462.15900,5578.87100,11668.25000
2018-12-31,105.22000,1509.90900,148.20600,174.46700,1937.80200,4847.94000,3844.62800,621.05800,9327.67900,11265.48000,1448.73800,3935.18700,361.80900,4350.94900,5799.68700,0.91400,5793.26200,4.24200,-409.15600,5465.79300,11265.48000
2017-12-31,74.42300,1500.89800,136.17700,86.50400,1798.00200,4571.83700,3825.15700,554.03800,8963.82600,10761.83000,1848.03400,3494.39000,306.30400,3862.35800,5710.39200,0.94200,5353.20900,7.17700,-371.81400,5051.43600,10761.83000
2016-12-31,33.74700,1439.55300,125.36500,82.70600,1681.37100,4330.95600,3784.10600,506.61500,8636.43100,10317.80000,1317.37300,4030.23000,275.16700,4402.83500,5720.20800,0.96600,4891.27400,-25.41700,-333.60300,4597.59400,10317.80000
2015-12-31,61.22800,1302.42900,116.03700,103.49000,1718.30400,3835.97800,3596.11400,448.36000,7897.14000,9615.44400,1100.40600,3368.63400,278.83400,4205.87700,5306.28300,0.98300,4566.52100,-23.12900,-294.72800,4309.16100,9615.44400
2014-12-31,32.06900,1282.73500,108.11500,77.65400,1615.13800,3679.68900,3291.21300,348.08400,7359.30500,8974.44300,1182.82700,3210.21500,268.55500,4000.53600,5183.36300,0.98700,4015.38700,-25.23200,-255.19600,3791.08000,8974.44300
2013-12-31,17.23800,1116.96100,101.78100,76.44600,1432.32900,3442.16900,3049.01600,330.32800,6879.39400,8311.72300,1059.88800,3209.76200,284.58900,3951.60600,5011.49400,0.98300,3499.33700,-24.81000,-225.53100,3300.22900,8311.72300
2012-12-31,23.47100,1067.19700,99.00000,113.36700,1407.49600,3382.23500,3036.76500,298.45900,6793.34700,8200.84300,894.05800,3727.43100,395.35500,4540.83600,5434.89400,0.97600,2962.43300,-44.15400,-205.91000,2765.94900,8200.84300
2011-12-31,41.22900,969.80200,96.77500,148.77500,1364.90500,3287.98000,2627.60200,272.97800,6300.34000,7665.24500,836.93300,3651.42800,401.90800,4481.19400,5318.12700,0.96600,2494.07600,-51.17500,-147.51500,2347.11800,7665.24500
2010-12-31,29.47400,837.82000,94.33000,248.65800,1331.11600,3252.96700,2589.91400,245.27900,6196.82000,7527.93600,826.29900,3912.10200,380.64900,4677.86600,5504.16500,0.97100,2125.98900,-20.13900,-128.04900,2023.77100,7527.93600
2009-12-31,9.18000,602.55900,84.27200,48.85000,796.19700,2315.23800,732.68500,111.70000,3168.26600,3964.46300,582.81700,956.42900,375.58000,1589.25200,2172.06900,0.97000,1879.98100,-21.25300,-108.62700,1792.39400,3964.46300
