,cash-on-hand,receivables-total,inventory,pre-paid-expenses,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,999.58400,859.68500,338.75200,226.37000,2424.39100,1231.85500,41.97800,503.27100,55.82600,3523.55600,5947.94700,1925.88700,320.36800,420.70200,2346.58900,0.00800,2566.68800,-10.28400,3601.35800,5947.94700
2021-12-31,1171.34200,897.19800,230.23000,195.30500,2494.07500,1081.92600,125.32000,528.25600,57.50900,3448.03500,5942.11000,1924.07100,292.66900,395.32500,2319.39600,0.00800,2619.37400,4.32600,3622.71400,5942.11000
2020-12-31,960.84300,657.70400,139.23700,91.75400,1849.53800,734.72100,,574.88900,35.15100,2980.14500,4829.68300,1325.60100,205.77200,270.21700,1595.81800,0.00800,2215.80000,43.50100,3233.86500,4829.68300
2019-12-31,868.62700,550.29100,112.05100,102.45000,1633.41900,631.73000,,75.69200,39.61000,867.28300,2500.70200,970.97000,140.10000,183.56300,1154.53300,0.00800,439.91200,-0.68800,1346.16900,2500.70200
2018-12-31,735.35900,439.00900,55.64100,72.47000,1302.47900,521.32900,55.02500,81.94900,26.98700,749.97900,2052.45800,692.07300,107.49400,107.49400,799.56700,0.00800,378.14300,-2.77400,1252.89100,2052.45800
2017-12-31,721.54200,324.18900,31.68800,80.94800,1158.36700,348.79300,94.55400,89.06800,43.89300,625.64200,1784.00900,500.05100,129.67000,129.67000,629.72100,0.00800,267.27400,0.57100,1154.28800,1784.00900
2016-12-31,640.25600,247.41500,27.13100,38.17600,952.97800,175.16700,104.84400,81.99800,13.32000,443.17300,1396.15100,354.33500,46.42700,46.42700,400.76200,0.00800,131.44800,-0.93800,995.38900,1396.15100
2015-12-31,527.29500,158.55000,19.46500,26.70000,732.01000,136.47300,151.37000,79.16200,8.20200,426.62300,1158.63300,271.67200,39.03500,39.03500,310.70700,0.00800,27.39100,-0.98000,847.92600,1158.63300
2014-12-31,454.65800,129.75100,15.92800,19.77000,657.16000,90.12500,147.89200,82.05600,7.66500,330.83700,987.99700,201.81100,33.41500,33.41500,235.22600,0.00800,-30.50700,-0.14000,752.77100,987.99700
2013-12-31,369.99300,113.25000,13.96800,18.82900,544.67600,75.74300,101.97800,85.36200,8.62200,287.47100,832.14700,175.33800,22.83900,22.83900,198.17700,0.00800,-95.91000,0.29400,633.97000,832.14700
2012-12-31,334.87100,98.99200,15.12200,36.80800,485.79300,79.19100,21.25200,145.01300,3.45400,270.51900,756.31200,155.77100,19.22400,19.22400,174.99500,0.00800,-89.62600,0.20300,581.31700,756.31200
2011-12-31,252.09600,91.53700,9.40200,31.78100,384.81600,53.96500,,185.40500,2.74100,264.44800,649.26400,148.11700,10.36600,10.36600,158.48300,0.00800,-116.51300,0.04600,490.78100,649.26400
2010-12-31,303.27900,65.43000,2.54400,17.35800,388.61100,30.68400,9.08900,2.66600,3.45400,88.33200,476.94300,92.97400,6.22200,6.22200,99.19600,0.00800,-178.24600,0.13400,377.74700,476.94300
2009-12-31,186.46500,54.53700,2.04600,18.25100,261.29900,24.97100,,5.46600,1.96900,93.94100,355.24000,81.24300,0.96100,0.96100,82.20400,0.00700,-252.49900,0.45500,273.03600,355.24000
