,cash-on-hand,receivables-total,inventory,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,271.00000,643.30000,402.50000,201.40000,1518.20000,219.00000,4636.00000,336.20000,5750.80000,7269.00000,1462.10000,1220.00000,175.30000,1756.70000,3218.80000,0.20000,2230.00000,-234.90000,4050.20000,7269.00000
2021-12-31,325.70000,624.80000,363.30000,136.80000,1450.60000,233.20000,4488.10000,284.70000,5649.00000,7099.60000,1188.60000,1293.20000,205.60000,1966.30000,3154.90000,0.30000,2170.50000,-161.70000,3944.70000,7099.60000
2020-12-31,237.70000,620.50000,301.70000,121.50000,1281.40000,251.80000,4456.60000,248.00000,5595.50000,6876.90000,1311.30000,1291.40000,212.80000,1967.00000,3278.30000,0.30000,1893.40000,-98.50000,3598.60000,6876.90000
2019-12-31,189.20000,608.20000,312.10000,102.30000,1211.80000,241.40000,4359.30000,212.40000,5428.90000,6640.70000,1190.30000,1624.20000,222.00000,2330.00000,3520.30000,0.20000,1602.80000,-176.80000,3120.40000,6640.70000
2018-12-31,172.50000,512.60000,298.00000,106.00000,1089.10000,212.90000,4284.30000,177.90000,4687.30000,5776.40000,1055.20000,1712.30000,221.50000,2046.40000,3101.60000,0.30000,1268.30000,-186.10000,2674.80000,5776.40000
2017-12-31,537.40000,470.50000,264.60000,39.20000,1311.70000,174.00000,2651.90000,143.70000,3004.60000,4316.30000,773.40000,785.50000,256.10000,1128.40000,1901.80000,0.20000,1084.60000,-131.40000,2414.50000,4316.30000
2016-12-31,327.20000,390.20000,218.80000,42.50000,978.70000,144.20000,2410.90000,140.00000,2695.10000,3673.80000,688.20000,489.60000,113.80000,679.90000,1368.10000,0.30000,1177.10000,-219.90000,2305.70000,3673.80000
2015-12-31,116.00000,376.80000,261.10000,44.50000,798.40000,159.20000,2593.50000,129.60000,2882.30000,3680.70000,660.90000,611.40000,106.50000,799.20000,1460.10000,0.30000,1148.20000,-166.80000,2220.60000,3680.70000
2014-12-31,148.00000,391.50000,278.10000,39.10000,902.30000,157.40000,2680.30000,115.90000,2953.60000,3855.90000,588.30000,671.00000,95.80000,914.20000,1502.50000,1207.30000,1211.00000,-76.70000,2353.40000,3855.90000
2013-12-31,147.22700,361.07500,254.31100,35.80700,837.01700,142.97500,2608.86900,111.97900,2863.82300,3700.84000,576.99000,652.05600,80.98200,889.86800,1466.85800,1106.01700,1081.69500,33.19400,2233.98200,3700.84000
2012-12-31,157.77100,340.80400,240.52900,33.39600,815.97300,96.89000,2460.11800,96.12300,2653.13100,3469.10400,468.67000,873.06600,58.32200,1086.91000,1555.58000,1006.81800,868.02600,22.61100,1913.52400,3469.10400
2011-12-31,154.62100,282.30400,232.06300,19.43700,733.05700,62.72400,1774.48300,82.21100,1919.41800,2652.47500,411.32300,498.51800,45.02500,652.25010,1063.57300,878.51400,685.63900,5.14000,1588.90200,2652.47500
2010-12-31,220.78800,243.88900,192.85200,19.91700,714.37000,50.69200,1033.68500,68.14500,1152.52200,1866.89200,251.81500,151.16000,42.84300,229.37800,481.19300,781.77900,536.35000,48.02700,1385.69900,1866.89200
2009-12-31,273.84800,214.14900,144.01200,18.38300,690.07800,44.63500,966.97500,51.58900,1063.19900,1753.27700,223.24500,151.03800,59.98300,265.47700,488.72200,720.24800,491.36700,48.29700,1264.55500,1753.27700
