,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,2577.00000,7494.00000,978.00000,1439.00000,,12488.00000,8800.00000,17900.00000,2594.00000,31267.00000,43755.00000,11587.00000,11805.00000,1907.00000,16856.00000,28443.00000,153.00000,15312.00000,-153.00000,15312.00000,43755.00000
2021-12-31,3530.00000,6959.00000,811.00000,1126.00000,,12426.00000,7894.00000,18093.00000,2311.00000,30153.00000,42579.00000,9530.00000,12777.00000,1997.00000,20123.00000,29653.00000,156.00000,12913.00000,-143.00000,12926.00000,42579.00000
2020-12-31,4907.00000,6641.00000,759.00000,1402.00000,1635.00000,15344.00000,7071.00000,18301.00000,1909.00000,29125.00000,44469.00000,9580.00000,14261.00000,2208.00000,24310.00000,33890.00000,167.00000,10482.00000,-128.00000,10579.00000,44469.00000
2019-12-31,2245.00000,6660.00000,783.00000,997.00000,,10685.00000,6912.00000,19748.00000,1725.00000,30404.00000,41089.00000,9434.00000,12770.00000,1779.00000,22836.00000,32270.00000,168.00000,8748.00000,-97.00000,8819.00000,41089.00000
2018-12-31,1579.00000,6474.00000,654.00000,973.00000,,9680.00000,6372.00000,20044.00000,1463.00000,27973.00000,37653.00000,8274.00000,13883.00000,1446.00000,21192.00000,29466.00000,171.00000,8068.00000,-52.00000,8187.00000,37653.00000
2017-12-31,11225.00000,4519.00000,398.00000,445.00000,,16587.00000,4225.00000,12507.00000,1362.00000,18541.00000,35128.00000,7092.00000,14399.00000,994.00000,20904.00000,27996.00000,174.00000,6913.00000,1.00000,7132.00000,35128.00000
2016-12-31,2541.00000,3299.00000,816.00000,200.00000,,6856.00000,3588.00000,12450.00000,1258.00000,18758.00000,25614.00000,5630.00000,7058.00000,849.00000,14725.00000,20355.00000,175.00000,10630.00000,-5546.00000,5259.00000,25614.00000
2015-12-31,2319.00000,2841.00000,807.00000,367.00000,,6334.00000,3064.00000,12460.00000,1157.00000,18090.00000,24424.00000,5457.00000,6386.00000,887.00000,13445.00000,18902.00000,181.00000,10661.00000,-5320.00000,5522.00000,24424.00000
2014-12-31,3863.00000,2806.00000,742.00000,369.00000,,7780.00000,2991.00000,12466.00000,1309.00000,18792.00000,26572.00000,5892.00000,5925.00000,965.00000,13445.00000,19337.00000,199.00000,12392.00000,-5356.00000,7235.00000,26572.00000
2013-12-31,5150.00000,2685.00000,698.00000,350.00000,,9488.00000,2806.00000,12438.00000,1440.00000,16893.00000,26381.00000,5815.00000,5928.00000,1064.00000,9946.00000,15761.00000,218.00000,12538.00000,-2984.00000,10620.00000,26381.00000
2012-12-31,3862.00000,2858.00000,798.00000,300.00000,,8392.00000,2887.00000,12431.00000,1291.00000,18151.00000,26543.00000,6056.00000,3930.00000,958.00000,10973.00000,17029.00000,239.00000,11138.00000,-4787.00000,9514.00000,26543.00000
2011-12-31,3002.00000,2964.00000,873.00000,411.00000,,7746.00000,3047.00000,12374.00000,1344.00000,17665.00000,25411.00000,6135.00000,3935.00000,926.00000,8940.00000,15075.00000,254.00000,9699.00000,-3490.00000,10336.00000,25411.00000
2010-12-31,3701.00000,3329.00000,896.00000,244.00000,5212.00000,13774.00000,3045.00000,12568.00000,1075.00000,17636.00000,31410.00000,10027.00000,3940.00000,918.00000,7947.00000,17974.00000,291.00000,8124.00000,-2757.00000,13436.00000,31410.00000
2009-12-31,3275.00000,3394.00000,1170.00000,272.00000,,8635.00000,4868.00000,14390.00000,1049.00000,21617.00000,30252.00000,6985.00000,4191.00000,1515.00000,10580.00000,17565.00000,307.00000,6737.00000,-3014.00000,12687.00000,30252.00000
