,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-05-31,420.60000,72.00000,270.60000,416.20000,,1179.40000,3356.00000,1843.70000,291.60000,8956.40000,10135.80000,1847.50000,901.00000,1232.20000,6090.10000,7937.60000,2226.00000,-25.90000,-1.90000,,2198.20000,10135.80000
2021-05-31,1214.70000,68.20000,190.80000,397.40000,,1871.10000,2869.20000,1843.70000,295.70000,8785.00000,10656.10000,1848.30000,929.80000,754.80000,5994.70000,7843.00000,2286.60000,522.30000,4.20000,,2813.10000,10656.10000
2020-05-31,763.30000,49.80000,206.90000,81.40000,,1101.40000,2756.90000,1843.30000,275.30000,8844.70000,9946.10000,1792.80000,928.80000,560.90000,5822.10000,7614.90000,2205.30000,143.50000,-17.60000,,2331.20000,9946.10000
2019-05-31,457.30000,88.30000,207.30000,139.70000,,892.60000,2552.60000,2134.50000,313.10000,5000.20000,5892.80000,1474.10000,927.70000,587.10000,2026.10000,3500.20000,1685.00000,806.60000,-98.20000,,2392.60000,5892.80000
2018-05-31,146.90000,83.70000,205.30000,105.80000,11.90000,553.60000,2429.80000,2134.50000,351.70000,4916.00000,5469.60000,1384.50000,926.50000,531.80000,1890.30000,3274.80000,1631.90000,657.60000,-85.20000,,2194.80000,5469.60000
2017-05-31,233.10000,75.90000,178.90000,86.80000,13.20000,587.90000,2272.30000,2151.90000,280.20000,4704.40000,5292.30000,1289.20000,936.60000,536.40000,1901.40000,3190.60000,1614.60000,560.10000,-62.90000,,2101.70000,5292.30000
2016-05-31,274.80000,64.00000,175.40000,122.50000,20.30000,820.30000,2041.60000,1446.90000,273.80000,3762.30000,4582.60000,1187.10000,440.00000,498.60000,1443.50000,2630.60000,1502.60000,547.50000,-87.00000,,1952.00000,4582.60000
2015-05-31,535.90000,78.00000,163.90000,88.30000,32.90000,1056.40000,3215.80000,1447.00000,275.50000,4938.30000,5994.70000,1196.70000,1452.30000,444.50000,2464.50000,3661.20000,1405.90000,1026.00000,-86.60000,,2333.50000,5994.70000
2014-05-31,98.30000,83.80000,196.80000,82.60000,1390.30000,1975.80000,3381.00000,1447.10000,278.80000,5106.90000,7082.70000,1618.50000,2463.40000,351.60000,3307.30000,4925.80000,1302.20000,995.80000,-128.10000,,2156.90000,7082.70000
2013-05-31,88.20000,85.40000,356.90000,89.80000,,764.90000,4391.10000,1482.10000,298.80000,6172.00000,6936.90000,1416.40000,2548.70000,325.40000,3461.00000,4877.40000,1207.60000,998.90000,-132.80000,,2059.50000,6936.90000
2012-05-31,70.50000,71.40000,404.10000,87.10000,,757.60000,3951.30000,1003.50000,231.80000,5186.60000,5944.20000,1774.10000,1508.10000,302.70000,2328.10000,4102.20000,2518.80000,3172.80000,-146.60000,,1842.00000,5944.20000
2011-05-31,70.50000,65.40000,300.10000,82.20000,,663.80000,3622.00000,971.10000,209.70000,4802.80000,5466.60000,1286.80000,1463.30000,248.70000,2243.60000,3530.40000,2408.80000,2921.90000,-59.80000,,1936.20000,5466.60000
2010-05-31,248.80000,59.40000,220.80000,59.40000,,690.20000,3403.70000,971.30000,210.90000,4585.90000,5276.10000,1209.80000,1466.30000,267.30000,2172.30000,3382.10000,2297.90000,2621.90000,-71.10000,,1894.00000,5276.10000
2009-05-31,62.90000,37.10000,247.00000,97.40000,,554.80000,3306.70000,973.10000,190.60000,4470.40000,5025.20000,1096.10000,1691.20000,180.30000,2323.10000,3419.20000,2183.10000,2357.40000,-57.20000,-0.10000,1606.00000,5025.20000
