,cash-on-hand,receivables-total,inventory,pre-paid-expenses,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,other-share-holders-equity,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,395.60000,1231.00000,5861.10000,441.40000,45.60000,7974.70000,2353.10000,12977.50000,1658.00000,16988.60000,24963.30000,6569.20000,5352.90000,2263.90000,8679.90000,15249.10000,442.30000,9333.30000,-2119.50000,,9714.20000,24963.30000
2021-12-31,142.10000,1481.70000,5419.90000,507.00000,975.70000,8526.40000,2336.80000,13285.70000,4031.10000,19653.60000,28180.00000,8767.40000,4353.60000,2281.30000,7820.20000,16587.60000,442.30000,8742.40000,-1845.60000,,11592.40000,28180.00000
2020-12-31,1241.90000,1164.50000,2638.90000,326.80000,663.90000,6036.00000,1973.10000,11924.20000,3633.00000,17530.30000,23566.30000,4558.30000,4245.40000,2566.30000,7941.60000,12499.90000,442.30000,7542.20000,-1713.70000,,11066.40000,23566.30000
2019-12-31,297.70000,1454.60000,2255.00000,395.40000,53.90000,4456.60000,1959.50000,12859.50000,1321.00000,16140.00000,20596.60000,4405.70000,3176.40000,2531.70000,7048.70000,11454.40000,442.30000,6768.10000,-1884.60000,-2.30000,9142.20000,20596.60000
2018-12-31,288.70000,1607.80000,2373.50000,240.50000,58.90000,4569.40000,1915.20000,12441.10000,482.30000,14838.60000,19408.00000,4001.60000,3819.80000,2446.00000,7566.50000,11568.10000,442.30000,6219.00000,-1814.30000,-10.50000,7839.90000,19408.00000
2017-12-31,637.50000,1628.70000,2018.40000,234.60000,39.80000,4559.00000,1742.50000,12283.50000,512.70000,14538.70000,19097.70000,4391.50000,2828.20000,2507.00000,6401.20000,10792.70000,442.30000,5998.70000,-1589.10000,-18.80000,8305.00000,19097.70000
2016-12-31,1131.80000,1302.80000,1478.00000,193.20000,682.70000,4788.50000,1451.20000,8993.50000,401.70000,10846.40000,15634.90000,2807.50000,3815.30000,1258.80000,6453.80000,9261.30000,442.30000,5127.30000,-1921.20000,-25.90000,6373.60000,15634.90000
2015-12-31,465.40000,1331.80000,1526.40000,172.40000,166.10000,3662.10000,1450.20000,9625.80000,389.70000,11465.70000,15127.80000,2802.60000,3792.10000,1178.60000,6466.00000,9268.60000,442.30000,4491.70000,-1694.20000,-34.90000,5859.20000,15127.80000
2014-12-31,496.60000,1396.70000,1562.70000,180.50000,312.30000,3948.80000,1454.10000,10027.20000,419.00000,11900.30000,15849.10000,2832.00000,3839.80000,922.80000,6505.20000,9337.20000,442.30000,3926.30000,-1270.20000,-43.60000,6511.90000,15849.10000
2013-12-31,496.20000,1578.50000,1473.30000,170.60000,298.00000,4016.60000,1478.60000,10600.00000,439.90000,12518.50000,16535.10000,3236.00000,3799.40000,975.50000,6418.60000,9654.60000,442.30000,3484.90000,-499.00000,-53.20000,6880.50000,16535.10000
2012-12-31,716.00000,1525.80000,1304.60000,199.10000,365.80000,4111.30000,1329.90000,9947.00000,455.80000,11732.70000,15844.00000,3074.70000,3526.50000,753.60000,6042.20000,9116.90000,442.30000,3299.50000,-388.00000,-62.80000,6727.10000,15844.00000
2011-12-31,906.90000,1445.00000,1270.90000,201.90000,1264.80000,5089.50000,1142.60000,9382.10000,334.80000,10859.50000,15949.00000,3329.90000,2925.80000,1051.70000,5552.30000,8882.20000,440.70000,2707.30000,-349.20000,-68.50000,7066.80000,15949.00000
2010-12-31,1742.80000,1399.70000,1262.00000,222.90000,223.80000,4851.20000,1156.00000,8793.40000,338.80000,10288.20000,15139.40000,2747.40000,3018.10000,763.40000,5322.30000,8069.70000,440.70000,2301.80000,-116.30000,-74.50000,7069.70000,15139.40000
2009-12-31,400.70000,532.00000,366.20000,73.20000,39.80000,1411.90000,575.90000,2594.80000,186.50000,3357.20000,4769.10000,1192.00000,1084.70000,223.80000,1565.60000,2757.60000,230.90000,2295.50000,-76.50000,-80.80000,2011.50000,4769.10000
