,cash-on-hand,receivables-total,other-current-assets,total-current-assets,net-property-plant-equipment,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,1442.00000,5852.00000,1005.00000,8299.00000,871.00000,18788.00000,1449.00000,23593.00000,33454.00000,7172.00000,11227.00000,1718.00000,15533.00000,22705.00000,561.00000,20301.00000,-5314.00000,10749.00000,33454.00000
2021-12-31,1752.00000,5586.00000,926.00000,8264.00000,847.00000,19127.00000,1461.00000,24256.00000,34388.00000,6654.00000,10933.00000,2067.00000,16512.00000,23166.00000,561.00000,18389.00000,-4575.00000,11222.00000,34388.00000
2020-12-31,2089.00000,5326.00000,740.00000,8155.00000,856.00000,18216.00000,1458.00000,23000.00000,33049.00000,6556.00000,10796.00000,1851.00000,17233.00000,23789.00000,561.00000,16272.00000,-5110.00000,9260.00000,33049.00000
2019-12-31,1155.00000,5236.00000,677.00000,7068.00000,858.00000,17445.00000,1757.00000,22368.00000,31357.00000,6679.00000,10741.00000,1732.00000,16735.00000,23414.00000,561.00000,15199.00000,-5055.00000,7943.00000,31357.00000
2018-12-31,1066.00000,4317.00000,551.00000,5934.00000,701.00000,11036.00000,1539.00000,15644.00000,21578.00000,4924.00000,5510.00000,1649.00000,9070.00000,13994.00000,561.00000,14347.00000,-4647.00000,7584.00000,21578.00000
2017-12-31,1205.00000,4133.00000,224.00000,5562.00000,712.00000,10363.00000,1430.00000,14867.00000,20429.00000,4262.00000,5225.00000,1612.00000,8725.00000,12987.00000,561.00000,13140.00000,-4043.00000,7442.00000,20429.00000
2016-12-31,1026.00000,3643.00000,215.00000,4884.00000,725.00000,9495.00000,1213.00000,13306.00000,18190.00000,4082.00000,4495.00000,1265.00000,7836.00000,11918.00000,561.00000,12388.00000,-5093.00000,6272.00000,18190.00000
2015-12-31,1374.00000,3471.00000,199.00000,5044.00000,773.00000,8925.00000,1177.00000,13172.00000,18216.00000,3708.00000,4402.00000,1446.00000,7906.00000,11614.00000,561.00000,11302.00000,-4220.00000,6602.00000,18216.00000
2014-12-31,1958.00000,3377.00000,198.00000,5533.00000,809.00000,7933.00000,1193.00000,12260.00000,17793.00000,3677.00000,3368.00000,1371.00000,6983.00000,10660.00000,561.00000,10335.00000,-3847.00000,7133.00000,17793.00000
2013-12-31,2303.00000,3310.00000,205.00000,6300.00000,828.00000,7365.00000,882.00000,10680.00000,16980.00000,3809.00000,2621.00000,1425.00000,5196.00000,9005.00000,561.00000,9452.00000,-2621.00000,7975.00000,16980.00000
2012-12-31,2301.00000,3058.00000,194.00000,5963.00000,809.00000,7261.00000,772.00000,10325.00000,16288.00000,3564.00000,2658.00000,1366.00000,6118.00000,9682.00000,561.00000,8628.00000,-3307.00000,6606.00000,16288.00000
2011-12-31,2113.00000,2906.00000,253.00000,5648.00000,804.00000,6963.00000,795.00000,9806.00000,15454.00000,3739.00000,2668.00000,1452.00000,5775.00000,9514.00000,561.00000,7949.00000,-3188.00000,5940.00000,15454.00000
2010-12-31,1894.00000,3035.00000,170.00000,5276.00000,822.00000,6823.00000,919.00000,10034.00000,15310.00000,3105.00000,3026.00000,1553.00000,5790.00000,8895.00000,561.00000,7436.00000,-2300.00000,6415.00000,15310.00000
2009-12-31,1707.00000,2724.00000,279.00000,4931.00000,850.00000,6219.00000,924.00000,10406.00000,15337.00000,3715.00000,3034.00000,1543.00000,5759.00000,9474.00000,561.00000,7033.00000,-2171.00000,5863.00000,15337.00000
