,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,13803.00000,90499.00000,394.00000,120054.00000,511.00000,120959.00000,211793.00000,186674.00000,5370.00000,3041.00000,8411.00000,195498.00000,0.00000,8951.00000,-1911.00000,16295.00000,211793.00000
2021-12-31,14586.00000,82231.00000,270.00000,127959.00000,535.00000,128764.00000,211308.00000,189274.00000,2570.00000,2467.00000,5037.00000,194699.00000,0.00000,7442.00000,-9.00000,16609.00000,211308.00000
2020-12-31,17675.00000,65614.00000,176.00000,49307.00000,204.00000,49687.00000,115511.00000,102003.00000,844.00000,3972.00000,4816.00000,107078.00000,0.00000,5672.00000,623.00000,8433.00000,115511.00000
2019-12-31,6781.78300,41386.73000,161.87600,29071.69000,187.24000,29420.81000,71004.91000,61775.24000,347.98700,2041.75200,2389.73900,64383.82000,0.05200,4575.60100,84.44500,6621.08000,71004.91000
2018-12-31,3571.53900,32580.18000,129.21300,24218.59000,,24347.80000,56927.98000,49960.31000,696.46500,1006.35900,1702.82400,51663.14000,0.05300,3791.83800,-54.12000,5264.84300,56927.98000
2017-12-31,2923.07500,26650.61000,128.68200,24435.17000,,24563.85000,51214.47000,45287.80000,695.49200,911.75500,1607.24700,46895.05000,0.05300,2866.83700,-1.47200,4319.41500,51214.47000
2016-12-31,2545.75000,22893.02000,120.68300,21669.96000,,21790.64000,44683.66000,39492.54000,795.70400,618.38300,1414.08700,40906.62000,0.05200,2376.33100,23.43000,3777.03700,44683.66000
2015-12-31,1503.25700,18737.42000,102.62500,25846.66000,,25949.28000,44686.70000,39917.68000,796.70200,639.09400,1435.79600,41353.47000,0.05200,1993.64600,15.40400,3333.23100,44686.70000
2014-12-31,1796.06200,16568.19000,79.84500,22689.84000,,22769.68000,39337.87000,34351.28000,451.36200,483.49300,934.85500,35286.14000,0.05100,1649.96700,42.70400,4051.73400,39337.87000
2013-12-31,1538.77900,12767.39000,67.48500,13582.32000,,13649.80000,26417.19000,22478.06000,455.21600,404.58600,859.80200,23337.86000,0.04600,1390.73200,-48.76400,3079.32800,26417.19000
2012-12-31,1008.98300,10172.14000,66.54500,12527.44000,,12593.99000,22766.12000,19342.56000,457.76200,360.56600,818.32800,20160.89000,0.04500,1174.87800,108.55300,2605.23300,22766.12000
2011-12-31,1114.94800,8371.93700,56.47100,11540.49000,,11596.96000,19968.89000,16709.54000,603.64800,405.32100,1008.96900,17718.51000,0.04400,999.73300,85.39900,2250.38900,19968.89000
2010-12-31,3076.43200,8843.72900,44.54500,8639.48700,,8684.03200,17527.76000,14374.19000,1209.26000,196.03700,1405.29700,15779.48000,0.04200,827.83100,24.14300,1748.27800,17527.76000
2009-12-31,3512.85300,8317.94300,31.73600,4491.71900,,4523.45500,12841.40000,10370.69000,856.65000,139.94700,996.59700,11367.29000,0.04100,732.90700,5.90500,1474.11000,12841.40000
