,cash-on-hand,receivables-total,inventory,total-current-assets,net-property-plant-equipment,long-term-investments,goodwill-intangible-assets-total,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-09-30,4958.90000,,21655.70000,26614.60000,471.60000,,163.50000,2960.30000,3736.50000,30351.10000,4498.60000,6066.90000,6066.90000,10565.50000,4.00000,19185.30000,,19785.60000,30351.10000
2021-09-30,5264.50000,,16479.10000,21743.60000,392.90000,,163.50000,1560.60000,2272.30000,24015.90000,3387.30000,5412.40000,5412.40000,8799.70000,4.00000,13644.30000,,15216.20000,24015.90000
2020-09-30,4569.10000,,12237.40000,16806.50000,683.70000,,163.50000,1113.70000,2105.80000,18912.30000,2507.50000,4283.30000,4283.30000,6790.80000,3.90000,9757.80000,,12121.50000,18912.30000
2019-09-30,2586.00000,,11282.00000,13868.00000,499.20000,,163.50000,912.80000,1738.60000,15606.60000,1912.10000,3399.40000,3399.40000,5311.50000,3.90000,7640.10000,,10295.10000,15606.60000
2018-09-30,2302.40000,,10395.00000,12697.40000,401.10000,11.00000,109.20000,701.90000,1417.20000,14114.60000,1752.20000,3203.50000,3203.50000,4955.70000,3.90000,6217.90000,,9158.90000,14114.60000
2017-09-30,1611.60000,,9237.10100,10848.70000,325.00000,,80.00000,565.90000,1335.90000,12184.60000,1565.40000,2871.60000,2871.60000,4437.00000,3.80000,4946.00000,,7747.60000,12184.60000
2016-09-30,1966.70000,,8340.90000,10307.60000,195.40000,,80.00000,499.60000,1251.30000,11558.90000,1494.60000,3271.30000,3271.30000,4765.90000,3.80000,4057.20000,,6793.00000,11558.90000
2015-09-30,2024.50000,,7807.00000,9831.50000,146.90000,,87.20000,527.30000,1319.50000,11151.00000,1444.10000,3811.50000,3811.50000,5255.60000,3.80000,3289.60000,1.40000,5895.40000,11151.00000
2014-09-30,1148.70000,,7700.50000,8849.20000,190.80000,,94.80000,485.60000,1336.20000,10185.40000,1400.00000,3665.70000,3665.70000,5065.70000,3.70000,2630.50000,2.20000,5119.70000,10185.40000
2013-09-30,1450.30000,,6197.40000,7647.70000,106.70000,,38.90000,476.50000,1208.70000,8856.40000,1286.00000,3509.00000,3509.00000,4795.00000,3.30000,2145.60000,1.90000,4061.40000,8856.40000
2012-09-30,1740.30000,14.40000,4165.20000,5919.90000,72.60000,,38.90000,507.30000,1328.30000,7248.20000,1160.40000,2493.10000,2493.10000,3653.50000,3.30000,1743.10000,0.20000,3594.70000,7248.20000
2011-09-30,1373.40000,12.40000,3449.70000,4835.50000,57.60000,,15.90000,449.40000,522.90000,5358.40000,1030.30000,1704.60000,1704.60000,2734.90000,3.20000,834.60000,0.10000,2623.50000,5358.40000
2010-09-30,1914.50000,16.00000,3449.00000,5379.50000,60.50000,,15.90000,482.70000,559.10000,5938.60000,1143.90000,2171.80000,2171.80000,3315.70000,3.20000,810.60000,0.30000,2622.90000,5938.60000
2009-09-30,2233.30000,293.10000,3666.70000,6193.10000,57.80000,,15.90000,490.00000,563.70000,6756.80000,1210.90000,3145.30000,3145.30000,4356.20000,3.20000,613.20000,,2400.60000,6756.80000
