,cash-on-hand,total-current-assets,net-property-plant-equipment,long-term-investments,other-long-term-assets,total-long-term-assets,total-assets,total-current-liabilities,long-term-debt,other-non-current-liabilities,total-long-term-liabilities,total-liabilities,common-stock-net,retained-earnings-accumulated-deficit,comprehensive-income,total-share-holder-equity,total-liabilities-share-holders-equity
2022-12-31,33914.00000,200872.00000,5215.00000,4578.00000,17689.00000,27482.00000,228354.00000,123720.00000,42573.00000,37350.00000,79923.00000,203643.00000,149.00000,16279.00000,-3210.00000,24711.00000,228354.00000
2021-12-31,22028.00000,163725.00000,4988.00000,2591.00000,17244.00000,24823.00000,188548.00000,97199.00000,38675.00000,30497.00000,69172.00000,166371.00000,153.00000,13474.00000,-2945.00000,22177.00000,188548.00000
2020-12-31,32965.00000,147042.00000,5015.00000,21631.00000,17679.00000,44325.00000,191367.00000,98197.00000,42952.00000,27234.00000,70186.00000,168383.00000,161.00000,13837.00000,-2895.00000,22984.00000,191367.00000
2019-12-31,24446.00000,170864.00000,4834.00000,8406.00000,14217.00000,27457.00000,198321.00000,92467.00000,57835.00000,24948.00000,82783.00000,175250.00000,163.00000,13871.00000,-2737.00000,23071.00000,198321.00000
2018-12-31,27445.00000,166161.00000,4416.00000,4647.00000,13378.00000,22441.00000,188602.00000,85315.00000,58423.00000,22574.00000,80997.00000,166312.00000,170.00000,12499.00000,-2597.00000,22290.00000,188602.00000
2017-12-31,32927.00000,163962.00000,4329.00000,3159.00000,9746.00000,17234.00000,181196.00000,84942.00000,55804.00000,22189.00000,77993.00000,162935.00000,172.00000,8307.00000,-2428.00000,18261.00000,181196.00000
2016-12-31,25208.00000,140742.00000,4433.00000,3157.00000,10561.00000,18151.00000,158893.00000,72625.00000,46990.00000,18777.00000,65767.00000,138392.00000,181.00000,10371.00000,-2784.00000,20501.00000,158893.00000
2015-12-31,22762.00000,143248.00000,4108.00000,3759.00000,10069.00000,17936.00000,161184.00000,74878.00000,48061.00000,17572.00000,65633.00000,140511.00000,194.00000,9665.00000,-2534.00000,20673.00000,161184.00000
2014-12-31,22288.00000,139392.00000,3938.00000,4431.00000,11342.00000,19711.00000,159103.00000,62624.00000,57955.00000,17851.00000,75806.00000,138430.00000,205.00000,9513.00000,-1919.00000,20673.00000,159103.00000
2013-12-31,19486.00000,133256.00000,3875.00000,5016.00000,11228.00000,20119.00000,153375.00000,61639.00000,55330.00000,16910.00000,72240.00000,133879.00000,213.00000,8507.00000,-1426.00000,19496.00000,153375.00000
2012-12-31,22250.00000,132473.00000,3635.00000,5614.00000,11418.00000,20667.00000,153140.00000,57724.00000,58973.00000,17557.00000,76530.00000,134254.00000,221.00000,7525.00000,-927.00000,18886.00000,153140.00000
2011-12-31,24893.00000,130168.00000,3367.00000,7147.00000,12655.00000,23169.00000,153337.00000,57816.00000,59570.00000,17157.00000,76727.00000,134543.00000,232.00000,7221.00000,-876.00000,18794.00000,153337.00000
2010-12-31,16356.00000,114406.00000,2905.00000,14010.00000,15368.00000,32283.00000,146689.00000,48450.00000,66416.00000,15593.00000,82009.00000,130459.00000,238.00000,4972.00000,-917.00000,16230.00000,146689.00000
2009-12-31,16599.00000,84813.00000,2782.00000,24337.00000,13213.00000,40332.00000,125145.00000,43671.00000,52338.00000,14730.00000,67068.00000,110739.00000,237.00000,3737.00000,-712.00000,14406.00000,125145.00000
